cityalsoknownas_inv_1,cityalsoknownas_inv_2
1465,1466
1466,1465
4978,2372
1647,9733
10211,1465
13009,1465
15498,13900
11664,17002
1020,1465
16107,16106
1465,22994
9936,9937
24870,1465
9404,29179
2802,25863
13491,1465
33635,2605
20698,20697
16106,16107
22117,2558
1647,6953
1647,1646
7220,1465
1647,4658
9462,2953
43220,9700
12260,1465
479,26171
1465,3563
4546,751
13900,15498
38401,38400
13568,6939
1648,1465
4658,1647
565,1465
31433,31434
1465,32691
46497,1465
1465,13491
5615,1465
16193,250
32691,1465
51768,29465
1465,5615
26239,917
53757,31542
1465,3737
1465,2078
29465,51768
9700,43220
59746,59747
1465,250
2558,22117
26171,479
9937,9936
44657,44656
17268,17267
4099,250
61678,61679
62308,62309
1465,1648
7921,13850
2372,4978
61679,61678
18928,29179
27893,27894
341,29179
4546,25425
66484,751
1465,1020
26750,4592
1647,62388
1465,24870
22994,1465
62388,1647
31434,31433
2078,1465
17267,17268
63677,60943
4045,29179
16193,4099
21730,1465
46351,1465
27688,250
1646,1647
36297,1465
53531,71643
1465,21730
1465,36297
25863,2802
33962,1465
49201,49200
59747,59746
52990,751
25425,751
3737,1465
3563,1465
13394,28061
6939,6938
250,1465
59656,1465
73241,1647
42498,1465
13850,7921
17002,11664
54882,54883
6939,13568
46846,1646
38400,38401
2372,183
1465,2219
10641,1465
27894,27893
28061,13394
31542,53757
49200,49201
39352,3026
1465,13009
1465,12260
44656,44657
4546,21932
1465,565
2219,1465
22117,2514
1465,46351
1465,33962
2607,4592
54883,54882
