agentcompeteswithagent_inv_1,agentcompeteswithagent_inv_2
1072,895
1274,1275
1470,791
824,1507
1511,1512
1805,1806
1512,2089
1275,2178
2664,2665
3310,3311
3669,632
895,3693
3451,3795
4284,4285
895,4343
1512,4374
2900,871
784,4542
4330,895
5375,791
3350,895
342,342
4943,54
2825,6400
633,6927
6060,6967
217,7077
7467,107
8477,895
8538,617
9226,895
824,9799
895,10280
4911,1512
10954,10955
11347,1512
4284,11371
11428,914
11927,11928
11951,6810
12115,10278
2064,4442
13162,1512
895,13601
3893,8025
486,1597
14429,895
895,14674
1512,14823
14878,895
11109,15008
12032,12033
895,5737
895,15890
15577,675
895,16298
250,791
16371,107
5952,1275
895,16417
1512,10303
486,2064
16945,895
17246,1512
10991,3491
107,17799
10778,895
525,895
18110,8748
8181,8180
18410,3311
18651,895
2277,18969
19038,1512
982,1337
17498,1512
895,20113
4284,20137
20630,8748
1086,1086
1627,791
1275,21878
784,21901
895,9490
9075,4284
23099,23100
23108,895
895,23300
7309,791
1512,23733
5268,1512
107,24180
24276,895
24802,895
824,24878
24903,895
784,25148
8179,791
9663,791
25431,500
1336,1337
895,2277
11928,11927
25966,6248
9478,4694
26163,107
1275,2089
4284,8150
2010,895
26442,1337
784,4324
11214,16255
26975,11062
1512,2075
11927,27167
27279,1512
1512,27430
6635,1512
446,172
11199,895
895,27973
1512,7176
486,15008
28686,7176
6913,791
4647,4284
895,29072
14221,1512
29072,895
27351,791
1424,3152
7462,4284
10480,1512
1805,719
4306,107
633,632
9816,1512
257,257
30559,791
114,791
500,30640
4284,1962
2064,486
895,30850
1275,31074
2205,895
895,17692
1546,784
3689,791
28093,2287
16298,895
871,2900
31982,107
11927,7778
1512,19038
2079,791
27,32490
32670,10954
2178,1275
2665,7177
824,28350
107,19195
31071,895
1512,33452
3152,1424
4284,33953
1512,19457
959,7923
784,971
4284,377
34988,882
8181,1546
35146,1337
824,35215
25160,25159
1512,1698
29262,4284
895,25245
824,6640
895,2444
13952,791
895,3969
2205,12166
33003,33003
10954,37181
23941,107
8180,2825
1512,14221
1512,9452
2399,25148
5129,895
7177,895
2399,19616
37055,10278
824,8408
784,8871
38993,4006
3669,600
572,6927
28608,37055
11927,39422
8025,3893
6248,25966
9262,27707
4284,6302
27,8612
40360,895
4284,8073
40660,107
13971,791
1512,23024
40746,10954
2277,895
40858,895
1512,40937
21878,1275
2900,7077
32081,1512
1512,19413
1275,14222
2415,15761
35790,107
4284,4647
1512,41886
895,10778
2755,791
895,25266
42122,108
4442,2064
1275,17446
3225,895
784,19575
10955,10954
42638,1275
895,28768
895,40933
824,34749
42876,4284
895,31071
8812,39990
895,43303
30679,107
633,617
6248,3034
1512,43475
824,43740
895,44012
824,19999
44028,1512
217,871
1833,895
895,41697
3006,895
19171,44377
6060,37523
895,44478
37986,895
12624,791
14342,476
32720,7821
1512,44028
1512,28174
11570,791
1512,30267
44887,895
4284,5129
8471,8472
16656,675
895,31330
2399,784
19295,1512
1512,40807
6810,22767
107,40660
3558,791
5129,32719
26061,1512
572,46399
633,24863
895,46632
11615,172
2415,15314
4757,895
27513,895
4284,47178
895,4757
4284,38319
2105,791
11586,791
2269,895
895,33729
784,8180
4284,4394
1943,675
895,7177
2825,12792
26532,31282
41876,42526
28819,48419
11716,791
4284,48755
4284,4330
895,26651
895,49176
17385,8812
19997,1512
604,604
895,24276
5138,1805
33465,895
789,2900
4284,47326
11927,3034
1512,5952
1512,23995
1512,2252
172,446
50111,107
50159,719
107,31982
25917,895
895,19900
340,40738
33169,895
1512,40610
824,47834
9871,4284
4284,31200
2089,2205
2825,11815
35077,1275
51054,895
14222,1512
895,24903
3451,6927
784,1337
36,791
4284,8114
47869,895
2399,2400
30730,1512
6061,6060
22804,3900
824,51747
1512,51960
3669,5588
895,29361
6536,24863
11543,107
824,29843
1512,27988
500,20260
4284,21732
895,52663
40898,1512
17385,37512
1512,14222
16644,5485
38204,895
41792,895
1512,52993
53028,895
41876,25551
1372,791
6060,6061
895,50435
20137,895
6810,11951
958,53881
1512,44743
4284,13772
2825,53989
13021,1512
50177,1512
4284,48625
25148,107
30640,500
895,54723
1512,54825
1275,895
1274,4943
36596,895
13580,791
29670,29670
3669,250
1275,8812
2276,107
15890,895
33452,1512
4284,3959
392,392
895,17528
895,47869
784,2399
1275,1833
56010,895
8025,3567
18133,791
56306,1512
10954,3346
4394,895
895,56362
824,24143
895,18180
10303,1512
26796,1512
18110,572
10953,1805
56591,56592
45885,19408
1373,1373
9435,895
871,22767
48135,895
25148,784
1275,56971
3730,22767
4943,7177
3669,24863
4284,44711
41886,1512
895,26877
11214,20107
895,5067
4284,51054
2900,789
824,48048
1512,17269
895,57925
107,30679
54,4943
1512,54
2659,3311
895,1790
2202,1275
107,2276
14184,2665
1632,895
56362,895
26442,7077
4284,11199
6970,58620
4284,11738
31200,895
7143,895
39422,11927
2173,791
1275,35077
5032,1805
3669,617
25266,895
10908,1512
3669,2304
27150,8748
4284,20643
37636,895
18969,2277
59734,895
40610,1512
44377,5129
32554,791
25659,1512
27045,791
107,35790
1512,1511
27072,22636
32720,32719
60079,10954
895,6826
895,33016
40937,1512
39508,791
895,32707
20068,791
9287,1512
2178,2277
41876,1993
28719,895
4284,5677
1512,60387
6718,1805
824,60462
895,4158
9452,1275
