drugworkedonbyagent_1,drugworkedonbyagent_2
316,317
2046,2047
3337,3338
5393,5394
6195,6196
6520,6521
7794,3338
8574,8575
9854,8417
10250,10251
11577,11578
12497,12498
3149,12742
13115,13116
13186,13187
3426,13326
12875,2521
14799,14800
15092,15093
15169,13187
15186,13326
16576,16577
16766,16767
17571,3338
17755,6622
18391,2521
18517,317
11997,2521
18864,10087
19043,19044
19149,19150
19152,317
19555,13326
20744,2521
21019,3338
21307,21308
21421,8417
12932,12931
21674,21675
21679,21680
21688,10087
21706,8417
21709,11578
22103,8575
23397,23398
23520,23521
24290,20010
23156,16265
23063,17921
25035,22074
8945,8417
25201,10251
25312,8417
26294,26295
26691,26692
26891,317
25701,11578
27510,8575
28326,26381
28520,28521
20956,10087
26382,26381
28876,28877
21466,6622
28978,317
29565,3338
29691,6622
29752,20010
30412,10251
30550,14891
955,954
12694,8002
32516,15552
23722,6988
33261,33262
14976,17921
24801,8417
33897,33898
8003,33918
34048,34049
34964,317
35459,317
33908,29899
36133,36134
26031,25141
7794,13557
36541,36542
36615,25141
36883,21680
8131,4232
14454,14453
37583,25141
37613,37614
37717,169
38055,38056
36789,13326
38221,38222
38269,3338
25941,8417
17772,8417
39070,3338
39194,39195
39379,28877
33671,39965
33504,1216
830,15410
14892,14891
40928,6622
15411,15410
41743,31762
41866,41867
32274,25141
11614,37544
42667,42668
42682,23505
43050,3338
43054,29899
43447,22074
12408,10087
27526,43854
6474,37600
19004,10087
40774,2521
13247,169
9592,10251
33504,19150
13882,22074
45135,3338
12694,169
45624,21308
46076,46077
46146,10251
46151,169
46191,3338
20744,4232
16030,46841
8131,2521
35968,3338
5999,46356
47632,317
47669,47670
47896,13326
48016,6622
48070,13326
48346,945
18658,9951
48652,22074
45934,3338
28059,49195
49202,13326
45206,2521
49288,169
22424,16652
23359,8575
6336,2521
5400,44385
50450,317
6850,50626
29186,10251
50641,317
33991,45103
22103,50970
51068,25141
25142,25141
29789,1216
19375,2521
46191,13557
51178,39491
51920,23505
30382,13326
26048,26047
26724,13326
16486,39195
35412,13326
37433,11578
16963,3338
29789,3338
25578,25577
49756,17921
53546,13326
46720,46719
53558,28521
53831,53832
17291,2521
53885,46415
11614,31762
23344,23343
26764,10251
22133,37009
20196,10087
54243,6196
47021,28536
53191,2521
29900,29899
54711,29739
14895,13875
48328,17921
51893,51892
10239,13326
20786,317
28981,55949
56190,45103
23063,10087
47094,10251
18832,10251
41561,9951
38932,56619
18010,6622
29789,19150
4001,169
57335,2521
31763,31762
57839,22074
2141,2140
22311,13326
6037,317
23044,8417
17772,46356
51705,6622
27526,14891
46433,317
28537,28536
51586,55138
17922,17921
45104,45103
58762,42293
33541,2521
39889,6622
1695,24726
5085,10087
59034,59035
22863,22862
33129,59223
11614,11613
39146,3338
49230,49229
42749,15093
39610,15093
48971,317
60091,29739
29853,317
60221,3338
18864,17921
5400,40908
16793,11613
44842,10251
6520,51079
27383,44635
46722,23398
61025,61026
61176,21308
61185,61186
29516,20964
61258,29899
39492,39491
18550,44354
54022,54021
13876,13875
31217,6988
35713,20964
36556,22074
10088,10087
11500,3338
61932,31762
6474,31762
49381,10251
62244,317
60652,3338
20956,41095
16576,13326
47303,6622
25035,42293
62800,10251
6474,58296
27341,62893
5827,2521
42461,30939
61802,10087
58745,45103
63209,21675
47939,10251
63335,21675
55431,6622
62287,8417
7926,3338
55481,22074
22075,22074
47536,2521
39889,46998
13214,60875
63816,42400
20526,28521
64068,169
21110,8417
52331,6196
45723,169
45061,45060
64491,317
31989,8417
57160,954
64644,64645
43661,29899
36661,10087
64836,28536
38588,25141
24727,24726
34451,13326
29789,7607
59829,23521
64097,28536
5999,65143
39905,32053
2280,32053
9952,9951
28237,60875
9827,8417
64534,64533
15875,60875
46523,2521
65038,13326
44108,66265
50839,2521
66333,8417
51870,3338
1306,8575
43989,317
57488,8417
2042,8417
40676,3338
21383,6988
63321,21308
13890,2521
20851,169
41140,39965
22318,21308
46523,46522
12408,17921
67353,49195
20011,20010
50620,10251
32801,51594
20338,29739
29500,63056
49774,3338
53515,13326
35594,1216
53806,13326
45135,39387
35116,35778
64917,64916
750,68074
5688,13326
37170,37169
34198,49195
34811,8417
68234,68235
35977,3338
29818,3338
23031,10087
30940,30939
68881,11613
68977,6622
38859,8417
5999,15552
66375,317
69278,69279
69289,69290
29789,37463
28017,65297
23781,20010
52353,317
67557,29739
36637,36636
44636,44635
16653,28980
6631,6630
65463,49195
24363,3338
29789,33503
31196,25141
69182,11578
46609,14891
10631,169
65577,9951
46309,13326
21859,6622
20956,17921
27526,7747
15553,15552
20956,64975
51069,10087
7275,6622
46930,10251
67630,3338
36556,42293
