countrycurrency_1,countrycurrency_2
89,2215
4884,4885
843,1551
7679,3138
8554,8555
614,3138
9274,5274
7660,20773
912,2215
1061,26270
5108,9711
10796,28645
494,3138
1552,1551
3273,33642
6071,34109
7473,3138
90,3138
1824,38463
7394,3138
12164,40582
349,42354
42885,3138
13134,3138
44040,1551
45330,3138
2626,3138
128,46898
901,47478
1884,3138
18682,31016
9,14541
2701,48863
3307,4085
13569,3138
9393,16081
13230,1551
10982,4885
51353,3138
8749,46898
987,14541
5752,20773
7836,5274
9390,3138
5010,1551
8036,54149
10172,37584
25949,1551
54742,3138
8075,3138
39132,11958
17027,3138
319,9711
3040,44551
15355,2215
27083,3138
116,1551
59499,59500
8459,3138
5043,60220
1811,1551
3124,4885
137,3138
16976,31016
772,64955
6432,3138
1098,3138
81,3138
103,16081
2342,20773
9979,67876
6431,48425
4133,5274
15152,11958
19288,3138
17461,62797
13037,3138
3975,9711
678,69950
43461,1551
3804,9711
2129,5274
2288,4019
9840,11958
62973,3138
20204,71663
12194,3138
703,3138
5863,3138
67310,14541
9239,72254
1901,9711
2216,2215
977,3138
5505,72633
5889,9711
1062,65873
65645,3138
4020,4019
6097,50703
700,52693
33108,31016
1256,1551
4915,59500
16675,70519
11959,11958
17726,20773
3019,65037
12277,38463
6044,52693
465,46898
3161,9711
787,9349
12015,52693
17850,3138
14018,3138
13099,1551
13865,37584
29078,48425
8943,52693
11628,3138
4556,16081
3078,11958
9302,40582
642,11958
51910,5274
1885,1551
10895,61078
17523,46898
1188,67113
295,46367
14110,3138
2204,75468
8027,3138
