academicprogramatuniversity_in_1,academicprogramatuniversity_in_2
439,440
439,469
188,543
439,737
439,1101
439,1487
1751,573
2146,573
2200,1594
439,3289
439,3830
2525,4029
4209,4210
439,4747
439,4793
439,4887
188,5239
439,5306
439,5358
439,5489
439,5781
5842,5843
439,5862
6468,4029
439,6717
439,6851
5880,573
439,7047
439,7337
439,7581
439,7657
439,7970
188,8383
9200,9201
439,9333
2525,9496
439,9604
439,9615
2525,9909
10716,573
188,10877
439,10898
2525,11011
439,11398
439,9187
439,11516
439,11803
439,11841
2525,11961
188,10431
2525,12488
8438,12801
439,12914
439,13484
13650,5566
439,13680
439,13698
8438,5829
439,13967
14134,2891
14261,10652
14626,1594
439,14763
4209,1594
3252,4029
439,14986
2525,15367
439,15426
439,2359
16185,16186
439,16300
439,16422
439,16474
439,16485
188,16878
2525,17048
439,17141
12269,5566
439,17545
14395,10445
439,17862
439,12786
439,18088
14395,4029
439,18477
2525,18880
439,18984
188,10445
619,19049
439,19248
1751,6362
2525,19582
1649,4029
188,20216
439,20250
6784,5056
439,20714
439,17944
439,17397
439,21243
439,21254
1751,10652
439,8667
22007,5056
439,22233
439,22240
439,22265
439,7078
2525,22493
22745,573
2525,2891
439,23597
23779,573
23829,23830
188,10652
439,24045
439,24127
17467,5828
439,25319
439,25498
439,25571
188,25580
439,8633
25700,1594
2525,25993
439,23122
26470,6362
2525,26561
26611,21607
2525,13990
2525,17141
188,27051
188,27444
439,24017
439,27556
439,27631
439,27678
439,27726
188,26289
439,28029
439,28128
28281,9187
28327,13838
188,28351
188,28574
439,1594
28884,13838
439,28932
2525,29228
29290,10652
8293,5056
439,16344
439,29450
439,16462
17168,9201
439,30155
619,17545
439,30431
13650,11841
439,30485
188,9600
30641,6362
14701,1594
619,30727
439,30815
439,30975
2525,31028
439,31029
17605,573
439,30085
439,31539
439,31910
439,31970
2525,16462
439,32231
439,32380
439,23330
188,573
439,31371
619,10652
439,32937
439,33116
2525,2529
439,33304
439,33373
439,33469
21588,573
1751,28586
2525,33867
33894,10445
439,3899
439,33937
2525,28495
9770,573
188,19833
34091,34092
24041,573
15213,573
2525,16344
25850,5056
439,34380
188,15468
439,34673
188,33867
34792,927
439,34812
3252,1594
34985,16232
619,30431
439,35124
439,22493
439,26988
35811,573
8438,14449
27118,10652
439,36436
439,36740
439,12356
439,36844
439,2484
2525,37028
439,25435
8171,927
439,27030
439,37621
439,37651
439,9520
188,37719
188,10969
439,38070
439,38097
439,38236
439,38485
38593,38594
439,38708
619,22910
2525,2790
2525,31829
439,39241
439,39397
35327,573
439,39577
17467,10682
8438,10652
439,14984
2525,27678
13839,13838
188,32698
619,34673
188,39802
439,24455
439,37719
439,40233
188,32373
439,40533
439,40612
439,11396
439,40742
1751,5829
439,10396
2525,40891
30900,23830
