agriculturalproductcamefromcou_1,agriculturalproductcamefromcou_2
244,245
1139,642
2885,1901
1139,9390
294,772
1139,8036
3620,5010
3076,700
294,349
1146,1901
294,19665
1139,11663
1139,1059
244,10895
294,21584
14987,700
1139,678
37419,614
11635,901
4407,614
1139,2626
1139,295
1139,23990
3620,7473
1139,8027
1139,13865
1139,6044
3620,10296
1139,12277
1139,2701
3620,9390
1139,6097
1139,5043
1139,33108
1139,10172
1139,20204
1139,3804
1139,7271
3620,787
11635,11665
294,13569
1139,7473
1139,657
1139,51910
1139,3124
1139,5593
294,3062
11635,642
13815,154
13815,14350
244,154
3076,1901
3620,1885
3620,349
1139,245
57018,614
294,103
1139,5505
33561,614
7634,901
2423,11663
3303,614
59827,614
1139,1061
1139,1188
244,90
1139,9302
11635,2626
1139,154
3620,13099
1139,137
294,11663
1139,700
1139,12164
7634,349
13815,700
37092,1901
244,1098
2423,1901
1139,14018
1139,2129
1139,11665
1139,4646
1139,494
1139,2723
244,8459
3620,4556
1139,3273
1139,17461
11635,3797
294,901
1301,700
1139,11628
56484,700
3303,1885
1139,10089
13815,977
1139,1062
11635,1885
17450,700
70412,700
1139,13569
294,2401
294,37443
1139,5108
1139,9393
1139,3975
12441,3307
1139,5501
244,1885
3620,13569
1139,14350
1139,4133
11635,636
4260,614
1139,10523
1139,8861
1139,103
58348,2288
11635,1098
294,5593
1139,13014
294,700
1139,13980
1139,1885
1139,8459
1139,4556
294,6044
294,657
1139,636
1139,4915
244,103
294,14350
1139,3161
263,4556
1139,16992
1139,9239
1139,787
294,3501
32902,700
3620,901
1139,3307
11165,614
1139,3797
3620,700
3620,2626
1139,6432
