citylocatedinstate_1,citylocatedinstate_2
458,459
2050,1627
2255,1627
2854,2855
3259,3005
3483,17
2307,819
3695,1844
4482,321
4583,2417
4676,3805
4925,2417
5629,2424
611,6
1020,5932
5979,1627
6570,1868
6946,6947
7004,3805
7338,7339
7972,904
8909,2625
8606,321
10152,819
10657,10658
11095,3726
5759,4089
12702,6947
12719,3805
12921,3055
4944,321
1454,13269
13291,13292
13517,8272
13614,321
13725,243
13818,243
14921,321
16366,321
16461,1568
5127,717
16916,321
18106,459
18377,3370
19101,904
20271,20088
3950,5802
20548,978
2732,2731
21317,270
649,17
2872,844
9417,3726
11722,459
22084,2417
22353,819
15578,243
22605,5802
23196,3805
8413,1844
3782,3726
22791,4047
17652,819
24888,1374
565,6329
18173,819
26062,3370
26236,321
26348,459
5080,17
12411,2424
27489,3055
6289,6288
21026,3726
27978,1953
28015,3726
10882,1568
28621,866
28937,978
29136,4047
29499,8272
20389,7905
3210,978
31487,31488
15365,2625
10768,1270
5019,3805
20604,270
32752,32753
10641,2639
28170,10888
6036,321
18911,8272
33478,3738
183,8882
12587,321
33601,8162
4649,321
7860,5802
33826,5802
27052,31215
34504,866
22117,1868
34649,270
29474,1868
35093,1270
35158,1868
4310,2417
35540,321
3966,1966
15011,3055
36125,243
36349,1868
36434,6416
24652,2079
36837,904
36904,819
37043,34000
3806,3805
22141,2349
37120,321
37173,321
37203,321
37509,37510
37554,6
36864,8272
38342,5802
38438,2366
3518,3005
38742,3538
38791,321
38968,844
7458,4299
13756,1627
39596,321
6386,904
34497,3538
250,18283
8040,1568
8308,8272
19960,2417
9581,866
40482,4299
40734,1868
33117,866
41139,6288
41159,3538
41338,1724
8543,1868
42107,1627
38571,1270
27603,6288
11711,1627
38961,819
460,1016
42558,3005
25896,17
42922,1953
5780,6
6496,4089
21088,321
44016,1868
37052,17
44084,3055
44251,3538
21266,1868
44434,1016
44746,270
23033,1724
410,2349
27598,6329
26569,2625
19212,17
35831,3738
18425,18424
16636,1672
29037,321
46629,819
46889,2625
323,5802
47231,13292
8687,904
4561,1627
21766,17
41691,2417
31439,819
45188,819
28622,8272
48511,2158
11010,1568
23667,866
48781,6
45508,1627
42776,1953
898,321
14914,904
49237,9355
7413,844
32808,23537
5245,844
18962,2158
50143,819
28843,1270
18506,3262
50397,2625
50421,1092
10742,4047
16950,1953
1465,1672
36576,2855
37,6288
1399,321
51067,1627
2607,978
30094,243
4833,6288
51416,1016
14289,1672
7452,3055
1601,4047
6415,6416
7793,819
51985,3726
51995,6288
45390,844
16482,1627
48261,3055
27904,2079
2155,1868
36822,8162
39352,9355
52504,3805
21080,7905
32747,13269
16638,1016
11061,844
53219,2079
15287,4089
53573,3370
22428,1374
13049,321
15067,2625
53876,3805
2862,321
13473,4047
40345,3726
30371,866
6532,978
4045,6288
55403,3726
55576,3538
11344,6288
1107,866
55977,1016
54272,2079
56014,6288
18087,1627
914,844
15237,34000
53722,3726
18419,1627
19131,866
56899,2424
56916,904
235,1627
57014,6
1647,30617
26773,1724
17328,3726
5017,6288
36739,6288
10314,459
16102,57828
57841,3726
57892,4299
16705,1568
3657,1868
7939,6288
11408,7339
35879,1092
58833,1374
42368,6
59060,17
18746,3726
20116,3055
7650,321
59203,20088
4393,2158
40324,2424
41411,1844
133,6
48299,904
59356,321
31710,3055
35794,3055
59837,866
46556,321
918,321
16136,321
60357,1016
41345,57228
60483,20088
5984,54350
30218,321
5756,18283
38360,866
58682,20088
46283,3738
40575,20088
41456,1627
3978,321
25929,6
8260,321
1786,321
46259,1627
3534,23537
59571,904
10032,2366
15526,4299
6330,1016
61661,20088
39998,13764
1816,22703
36184,8272
61187,819
18946,2366
62259,1016
751,321
917,866
30672,1953
16490,3738
556,20206
62734,819
3579,4047
31130,42369
7320,978
26337,1724
21306,978
63157,6
12092,1627
17072,2424
19433,1092
63344,904
40678,31488
19730,321
57555,3370
63987,819
64007,3805
64063,321
46480,3055
42,3538
64213,3726
18571,1868
29618,3726
5493,819
33710,17
15597,904
35465,866
8276,978
555,20206
30486,6288
65118,31488
26221,243
7220,819
10890,17
65292,1868
48661,866
56432,2424
19984,35231
65818,6329
4236,1568
44726,819
24282,1050
8746,1092
51509,270
8711,4299
10327,1953
21114,243
12308,1270
53645,31215
6017,61570
10414,243
66629,16683
9570,1868
2839,6
114,3726
29076,978
67065,1627
58134,2424
5788,4299
11420,3738
28301,3538
2372,7763
14610,13393
67432,1568
47833,20088
64085,2424
8310,270
25697,3262
54994,1627
44146,321
28966,321
49809,8272
22982,1016
35674,6
31509,1270
6116,1270
68155,2424
1131,321
33627,13393
68297,1016
14843,243
731,8272
35919,8672
36692,5802
35201,321
24714,6288
17642,321
9170,1724
30648,1050
9790,321
50173,1050
237,270
16440,1627
15256,17
68890,844
6233,6
24315,321
58736,17
64631,1966
69327,243
8745,2625
37923,9147
69473,1724
69536,4047
23058,717
34734,978
18261,6288
60077,904
3423,3005
30403,866
15785,1868
33531,3726
70043,3055
21909,1568
3767,17
62631,1270
18362,5802
3869,1844
21236,3538
66601,6288
207,1270
64173,1724
15538,844
60371,3538
42456,1627
20075,1953
21655,2079
31379,4089
21979,10584
49254,321
70861,6
63901,6329
1876,6288
69101,5802
7495,1627
48747,321
33035,1724
17744,28159
71281,904
63941,2366
35061,4047
16679,1627
56670,3738
19265,1966
3930,2424
70164,2855
66727,1868
2780,1092
45492,4299
61129,6288
71788,2424
26415,866
9970,321
23121,1627
35262,3726
7312,1270
72074,33159
9246,4047
72065,42369
31883,1627
1855,321
36673,866
72200,3538
53019,844
1915,1270
15527,321
34751,321
7690,2079
72370,243
8106,1844
6422,9147
16862,1844
61010,6
9037,270
3372,321
49752,17
2205,2424
54626,31488
33153,321
20995,904
12573,1724
25425,321
16414,321
7957,4089
4325,6
18563,2625
27688,7905
71068,41667
35253,13292
1329,4047
1421,2366
60732,10416
19487,321
3,57228
7001,1016
73186,1868
15947,866
8228,3055
2631,6
33212,321
1825,1092
18290,5802
4708,6
58693,3370
3026,7905
34784,844
800,321
52529,866
22967,2417
1377,8272
73639,1627
17595,50669
42444,3805
37311,34000
21927,13292
20358,5802
26286,1568
46154,1016
14340,2366
22351,3538
35891,819
43428,3055
54447,6329
27027,3805
13983,4047
13013,6288
58371,1627
60944,6288
17279,321
51226,2366
11702,8272
6954,4089
36099,3726
73414,978
53175,459
13280,1568
31420,321
68150,1868
73965,3726
35134,6
35066,17
64799,866
3840,5802
18039,717
66996,4047
21572,904
21392,1868
3488,4047
52964,17
1593,4299
32125,866
1936,321
32284,4047
63551,8672
2812,321
56429,717
31723,2349
4797,35122
59599,20088
54135,5802
16508,37510
32417,819
23691,1953
50894,321
49944,17
30273,866
28869,1844
25285,243
15803,1374
50769,3055
37303,1270
15401,243
2953,1953
49770,904
16942,8162
27814,35231
6325,1627
70616,844
18497,321
73067,6947
6748,243
29810,321
7401,2417
7426,819
39804,3538
18928,6288
19070,3805
8163,8162
18588,904
42609,978
74835,20088
14043,17
28016,3370
63178,1627
13684,3005
26563,321
36892,4047
57371,321
24255,321
70332,4299
13148,3726
34868,17
12223,1016
14475,2079
74757,12642
32291,1270
8647,866
37499,844
6124,819
75199,3370
67243,3538
1573,844
13011,17
2410,4089
56879,5802
31581,3055
71999,1016
6796,2079
7057,1016
19191,819
16432,321
75330,270
22098,1016
63294,6288
39330,1627
40837,2366
74956,3370
63601,1016
45540,1627
10090,13269
58733,3738
27610,9355
68041,2349
53954,866
74577,17
9742,7339
48810,1724
47296,6288
6335,243
7393,6288
27106,1627
44531,321
17750,2349
55094,5802
16613,3805
50973,1966
14704,3726
5577,2079
23136,1568
75422,978
69661,3726
25200,321
66340,3805
54609,2158
50437,819
35659,3726
50499,1627
7135,47539
4575,3726
