professionistypeofprofession_1,professionistypeofprofession_2
203,204
333,334
374,375
425,334
334,758
1083,1084
1392,1393
452,1420
1494,1036
1510,452
1563,1564
1569,1570
221,1420
1810,334
2181,2182
2434,334
1393,2479
334,2480
334,2509
334,2931
2480,334
758,3196
3267,334
452,3774
1510,334
4005,1393
3831,4039
1105,221
1083,4294
334,1392
758,334
4461,334
4463,3497
4718,4719
1105,4852
2434,1105
5039,334
5521,5522
452,1510
5591,5592
5855,221
5939,334
2181,6173
334,6457
7019,1393
5591,1036
7415,334
7503,7504
1563,4039
5365,7683
7764,1105
3196,5592
221,5855
1105,220
334,8125
5903,6173
8500,1105
8527,334
1036,5592
3774,1494
334,8859
221,9270
5592,9429
9550,334
9883,334
334,9907
1563,6173
9836,9946
10052,1494
3378,3377
10387,452
1393,4437
10692,334
10813,1854
10845,5855
10855,1105
10861,334
10975,2182
11018,452
1105,6054
11158,5855
334,7797
960,11211
11303,10387
221,10091
11320,334
334,11431
1854,11437
2355,11438
11303,1393
334,11506
5365,4039
2816,10813
10052,1036
203,11964
1083,10091
12279,10052
12507,1084
6457,10975
3267,1083
452,4437
12923,334
1393,1420
13006,1105
13191,334
2816,2182
13290,221
13413,203
8123,334
2822,7915
221,2181
221,2182
13714,1393
2479,1393
1494,4702
14172,334
14311,7668
221,14362
11893,1105
14675,334
4039,10975
14918,334
1105,2822
203,15108
9836,5592
14675,6054
1083,220
1420,221
15394,1494
334,15435
2816,15537
520,2697
7668,1083
2816,1084
452,15928
1494,14675
203,16269
1393,16540
1105,10548
13917,11303
1854,16749
4702,334
13671,10052
6173,6054
452,2182
17393,6173
17399,6173
10975,10813
334,17721
17830,5591
17919,452
5903,221
334,452
1510,221
1105,6173
14172,758
11303,18089
18122,334
452,11893
1036,16269
18308,1105
203,3378
3196,758
18467,452
7915,1494
18612,334
16540,1393
4702,452
1727,334
18740,334
203,5591
5385,334
4436,1420
334,5385
1036,2182
19141,334
1105,15928
1083,1393
19528,1393
7668,1854
19197,334
1083,19701
19825,334
16571,1494
220,1105
1494,9836
6874,2697
1564,10387
3683,6173
20496,4039
20536,221
334,7764
334,11211
520,334
20658,334
9836,1105
20936,452
5855,20998
21057,13191
5385,21120
11303,17919
7668,17919
334,221
221,11303
17919,5592
221,10975
11303,21444
21456,334
21544,334
12507,1854
2816,5592
221,758
1392,10387
22234,22235
221,20496
520,1083
22439,1494
1564,6173
15928,1393
7797,5592
1393,7668
22746,374
3683,334
17919,1036
1036,6054
334,23113
23208,7797
2479,1105
521,334
23348,334
7764,452
3497,4463
4039,1494
20496,6173
452,758
23795,4039
23916,23917
1105,2823
5591,10975
14364,14363
11964,334
6457,1036
221,24351
24474,334
2479,334
24659,334
334,1564
11553,221
2182,7668
15928,221
24962,334
452,24972
1510,4436
334,1105
334,7580
452,220
16438,334
10975,6173
7915,10813
221,1854
24972,1105
5592,452
6054,334
5592,5991
220,23318
452,25961
334,3267
11437,1084
7668,5365
18664,6173
9535,7668
2816,1494
11018,221
17919,1083
26534,334
334,14297
334,9836
22746,5855
17172,334
26818,1393
8500,334
3267,221
18919,1494
1036,27001
203,4039
17000,1105
221,15940
221,6874
8123,221
1494,2181
4463,1105
3774,4436
5592,13966
27376,4436
3267,452
5592,220
8500,6054
6054,221
520,4461
5855,2182
10813,2816
21602,4437
334,28210
2355,758
28278,1036
221,3267
3774,334
7668,11303
220,6457
16438,4436
5592,3774
5591,1494
13290,1393
28958,1105
334,28995
3788,452
12279,221
334,5635
9836,5591
6173,9836
11004,1393
1105,452
334,5699
334,2858
4436,220
10387,3196
10975,1393
1105,334
1854,10692
5365,1563
3788,334
2182,221
203,30080
1393,4702
4321,4322
1036,11303
30211,4436
30225,1393
30235,5855
334,30284
4436,15928
3774,452
30388,1494
4436,1494
334,15928
334,30461
221,334
1083,520
9535,334
4436,3774
334,30739
14154,221
452,1036
17000,334
2182,334
31002,334
334,11158
16271,1105
334,31068
8123,1494
5592,4436
334,26818
14311,18919
31567,334
1494,8500
11303,5365
334,32345
5991,5592
32443,4702
18467,4436
221,18919
32514,334
32541,7314
32597,4436
3378,4436
334,425
1854,1494
5365,1393
6055,6054
5365,33078
33082,221
13917,33099
8500,4436
1036,19197
11964,1105
1494,1393
374,5855
334,33226
5903,1494
1393,28210
24997,221
5365,3831
1563,1494
334,7504
334,9535
18308,334
4039,11303
334,2933
334,3774
24659,452
221,33923
221,10052
34082,34083
1420,4436
11893,4437
16571,221
1105,758
34414,34415
10692,1084
334,34572
334,34692
7580,452
1494,10387
334,2845
4294,221
6874,452
452,14172
17919,35005
11893,5591
11018,1105
334,2721
5591,10052
13917,10387
5699,35708
4437,1392
10813,5385
4294,334
11893,27770
1104,5592
204,334
36005,1105
31596,1393
10813,220
36077,2816
1104,1105
2822,220
1494,16730
36525,334
23318,1105
2182,1494
36589,36590
221,16730
1104,334
2816,221
6054,1105
2822,1036
11018,10975
1036,451
1420,1393
32345,334
452,23318
1494,221
334,37343
37381,33923
521,520
221,9535
1105,333
6173,334
8123,4039
1393,8859
5443,1393
29024,334
334,1854
1105,37842
33226,1105
3378,334
221,22234
334,4436
221,425
2816,10975
334,31714
29830,334
5592,1420
17919,6173
203,17830
334,18919
15537,33226
452,12934
1393,24736
3831,1105
221,38615
18308,452
7915,2845
4039,36711
4437,10387
21059,1105
12507,334
39142,334
9836,2816
8500,3196
334,24474
2182,1393
14311,1494
30225,1105
39615,4294
4039,24941
7915,1105
334,39829
2355,1393
2816,9965
451,1036
1494,2182
221,5365
5385,2816
2816,1393
3196,10813
11437,1854
374,25961
5365,1564
1105,24659
220,334
334,40550
40627,334
22799,1393
1036,452
40712,334
4719,4718
221,40930
1854,10813
7797,1393
221,4294
5365,6173
334,38864
40210,334
11893,221
334,41553
17919,15940
1564,334
7668,520
220,2822
758,452
334,11354
14172,4436
520,10052
11964,1393
334,13966
13191,21057
4437,452
13917,334
5592,1104
37842,1105
26818,1105
2182,4436
40200,28958
42725,5855
1105,3196
1036,1393
17135,1105
334,42825
334,42945
451,334
221,8500
334,40712
43111,1105
221,22235
1393,1105
1105,11438
6055,42066
6846,1494
16269,1036
1494,5385
334,19825
12934,1036
2816,5385
10975,4436
16620,1105
5039,1105
40200,5591
4322,34415
27001,1036
10975,2822
10975,1105
14154,4436
221,44085
28210,1393
44118,334
334,12309
21602,221
11438,2355
11303,221
334,41094
44254,452
10387,6173
3774,5592
22799,334
27001,220
10975,44577
15356,334
28278,220
