athletehomestadium_1,athletehomestadium_2
365,366
1028,683
1801,1802
2051,683
2135,2136
2966,683
3020,3021
4226,1080
5573,683
5904,5905
6275,6276
6303,6304
6667,683
7023,683
7045,7046
7217,4061
7516,4061
8718,4061
8878,6577
8991,8992
9303,3636
9400,9401
10083,1440
10101,5905
7168,4360
2471,683
11924,6276
12080,8839
12948,12949
13441,366
3578,3577
3394,5075
14361,3021
3694,1558
15518,15519
15609,15610
16419,8289
17066,17067
17155,4061
17244,4061
17627,5905
18204,4061
18279,683
18406,1080
18426,6577
18460,6256
18850,1080
18903,8839
19135,6304
2371,683
19588,4061
15868,1802
20433,683
5600,683
20834,3636
21641,8289
10825,18819
22907,1802
3424,6577
23638,19687
23864,17067
24057,5075
23806,1440
24147,683
22196,3636
5579,5075
13480,3021
25111,3636
25282,3636
25499,38
25530,6276
14053,2136
17606,5905
20115,6577
26114,26115
26480,4874
26689,3577
26728,1080
9929,4874
14846,17676
10237,14618
27531,19687
28610,5075
28724,17676
6257,6256
28771,1080
28985,1080
20582,17067
29220,8839
29293,6304
29906,1080
4828,366
4034,683
30555,17480
23791,14782
31607,869
378,4061
17424,31981
31764,5075
22506,1080
32477,17067
32611,19362
30871,366
26711,17067
5961,28917
6482,5905
33871,9359
33943,683
13605,1440
8292,8753
5987,32097
17309,17067
6068,2136
34733,366
29755,18819
8654,32212
35795,8839
22654,683
31240,8992
5333,8197
22143,5905
30540,36841
23342,5905
12519,683
37837,6276
23263,3636
34201,6256
3901,17676
38294,9359
38536,10488
38909,4874
24986,32097
23948,24960
15754,4874
40305,24960
30607,9461
18109,32097
40625,4360
40793,8753
27931,16130
41162,4788
26712,3636
37217,3636
7533,1802
18281,4874
27425,17067
3043,683
28114,1080
42669,26191
42940,5075
42991,42992
39591,4061
36100,683
28004,17676
18202,36841
5016,5015
16680,1440
30693,24960
44062,1080
44453,39780
27984,24960
14767,683
5507,21410
13028,15610
12198,17676
43604,683
1112,18819
4062,4061
38174,1080
31373,36354
46677,6304
35591,3636
19980,27604
18552,3021
43564,15610
17677,17676
35596,683
47818,8197
48080,8720
1416,4061
684,683
49274,1802
32256,18819
16523,22854
49931,366
50215,6304
17662,1080
50550,683
50573,683
5076,5075
23326,7046
46901,8992
46074,1080
8198,8197
45432,6256
9331,10705
34578,1080
12820,3577
8497,3636
3784,1440
18409,31981
16395,52643
8290,8289
24191,24960
23195,28917
7876,14782
25997,683
28745,17676
53292,14618
53542,5075
53583,6276
53614,15519
3894,1802
10056,3636
53465,1080
54060,5075
4185,4874
38787,683
10944,5075
28865,36841
50106,8289
48422,869
21994,4061
35307,3636
22679,1324
54765,17676
10197,17067
1872,6577
21134,46641
15897,6577
29005,6577
35440,2136
36370,1080
51009,24960
38731,16603
14955,1802
25694,1802
6929,16257
16110,14618
37118,3636
9099,9359
48849,32097
12644,4061
26260,5075
31663,1440
44437,5905
41894,4061
4536,14782
6538,18819
43653,5905
22559,17607
43945,683
27949,1080
15892,46641
14437,14782
58346,683
7360,4061
23333,6256
38587,17067
25433,6304
32548,6276
33673,46641
26145,3636
52750,8839
20282,12949
15815,44344
59648,52643
59699,683
12334,683
23553,1080
23154,6304
8690,2136
51116,683
32973,16130
16681,14782
3461,3021
12815,683
48843,8720
25049,5015
30328,46641
60428,17676
12570,18819
8881,1802
4200,18819
16445,10705
47161,8605
36441,1080
2590,683
34256,1080
40814,8839
24249,5905
26513,8289
39661,9401
17875,1080
61392,4360
14188,15424
23191,1080
4893,8753
