chemicalistypeofchemical_1,chemicalistypeofchemical_2
44,45
109,110
388,389
467,468
569,570
665,468
1170,1171
1231,1232
1332,1333
1467,1468
2027,492
109,2675
389,3190
3477,1171
1332,3576
1468,3644
4021,1468
4035,4036
468,3741
4608,570
109,4795
4954,492
1332,5009
1468,5054
5190,1171
585,4670
5237,4954
5267,492
4412,5303
1348,45
1332,5590
6008,1171
1332,6619
492,1468
7146,7147
7231,7232
1231,7329
3385,7147
1171,45
7231,8730
8742,468
8977,8978
9014,3541
9189,1468
389,9244
1623,3741
8977,9764
7926,9823
4954,570
10094,1468
10495,492
10563,10564
4954,8402
6665,45
11097,1468
11609,468
1332,10495
2256,1468
1468,3541
1332,12303
12549,12550
1468,12588
1231,3166
3575,1468
166,4795
10430,570
45,5237
468,13415
13620,1468
7147,3411
13809,1468
1332,13819
14057,389
9698,1468
1231,14371
4954,5237
14507,492
12588,1468
14849,492
1332,14882
4035,1171
3741,1232
15484,468
1231,13170
389,110
2725,492
1468,16029
16304,16305
3477,45
1623,5190
3493,1468
16846,110
1332,16851
16868,4954
1231,3190
17101,5303
3385,1171
12303,721
1468,9698
1522,4954
17865,492
1623,722
4954,9551
18055,45
18337,492
18390,1623
722,2256
1623,18603
468,3541
18650,1468
10902,3411
14443,389
14443,45
6867,1623
1468,19446
1468,19490
5237,3411
3741,2256
9551,18355
1332,4669
20055,721
1231,20145
9551,3411
1231,20294
20341,3541
3741,8906
4625,468
468,18603
1231,3477
1623,10430
3541,1468
21048,570
4954,569
492,20145
109,467
1468,13325
1468,21605
21656,570
1468,19809
8742,19428
492,722
1468,16896
14057,570
20151,1468
11185,492
22331,1171
21827,492
1468,3385
1468,585
1332,22611
5303,110
14443,1623
3385,1623
1231,19428
1332,23304
109,13415
1468,23367
1332,4130
1332,23472
166,165
492,3411
1332,9823
389,585
3494,492
24363,3541
20843,570
5088,467
8742,570
24492,492
1468,24515
12549,721
24558,5303
1332,44
389,1522
19867,2576
3741,7329
3477,19428
24952,8978
1332,25284
389,3541
20341,468
25405,1468
3494,24456
25489,1468
6008,492
3099,1522
570,1468
1522,3741
25991,3541
45,19428
1332,26459
1522,7231
1468,26776
1332,14443
3477,1468
24363,1332
492,5267
7147,1171
22528,1171
4412,110
1231,27300
4035,7147
1522,570
2725,1623
18650,11097
1468,14507
1332,12603
1468,8730
1468,28212
12178,1468
9546,570
3412,7147
28542,7147
1332,28680
7231,569
28949,165
12603,4795
1231,29040
1623,4130
1231,16868
29435,468
7926,24262
28731,8978
1332,27300
45,3411
4608,468
1231,389
389,1170
722,18355
25553,389
16304,3411
2576,1468
7843,722
30387,7231
665,492
9551,10495
1231,14752
30816,492
5190,1623
18055,389
30935,1468
4954,30936
468,665
31112,468
1231,1475
14443,492
31272,1623
3385,570
4412,721
3741,15700
1468,31465
31546,3411
22611,7147
492,3541
20145,2576
492,45
8977,9014
3477,1623
13572,492
4035,1468
721,20843
1231,32263
3385,1468
1468,4130
27288,1623
468,32559
5237,389
721,570
1171,492
3741,19428
492,31199
1332,585
7231,3494
13354,468
20251,570
20151,3541
13620,468
20145,2256
1231,2256
9258,1468
20843,110
3741,33657
388,1623
33774,721
28731,31453
19867,492
4670,570
31708,16001
1468,14404
3001,468
1332,6560
45,2256
1332,8742
34883,7231
1468,34885
7231,5590
1522,19867
1468,3493
10478,570
1468,35298
45,35309
35420,1468
9244,570
28034,28033
7231,3411
4954,3741
20720,8978
3494,110
8742,389
8977,36061
3541,570
33225,1332
36331,492
1231,36425
16501,1468
1468,20151
36642,12482
1468,15700
1231,34883
9551,721
1332,24751
36938,1468
1468,37168
37200,3541
492,4670
1171,1468
7231,4669
3494,165
1468,4669
1623,492
10902,16001
1231,37805
492,14057
109,1468
1231,38025
18598,8978
1332,36425
7231,30816
8402,1171
13654,1468
13170,468
38700,3541
19384,468
1332,19865
17101,110
389,19867
389,467
389,3493
5237,1171
29180,1623
19867,3541
468,722
109,39334
19867,45
8742,4954
1468,37805
39437,9244
7843,468
31708,721
492,18650
8977,12482
722,1468
1468,10495
585,7231
18745,3741
1468,39840
3494,389
14752,9244
109,7147
33774,3541
1623,3385
40111,1468
31708,3411
9244,19428
36642,10564
4625,40462
3741,3411
3741,110
3541,40650
40721,3541
40753,492
1623,467
33060,1332
1468,3190
3385,10495
1468,32914
4608,492
41173,468
20151,1171
110,3541
40650,468
389,570
45,21656
24363,16001
1332,37827
33876,1468
7231,492
1231,110
8977,721
14849,1623
1332,33657
8742,3541
389,1171
1332,41974
7231,4670
166,16001
1468,5590
5303,721
388,1624
3493,389
3494,1468
1468,34678
467,1623
17101,15700
19384,492
9258,3411
1332,388
20341,1171
1332,14507
9551,3741
1231,6832
1332,43308
1522,20843
35594,7147
3741,9244
19216,8978
3190,1171
468,20145
20145,43715
39061,165
1332,43814
4954,14752
33774,570
36213,570
1332,35594
3741,1332
28034,1468
8402,45
492,42565
36531,722
24515,492
585,28034
9551,20145
665,1623
21605,1468
4412,1623
18355,1623
31546,16305
44713,492
3099,44876
1332,30096
1332,5868
1332,44946
1468,10094
20843,16305
2725,721
1332,45001
16304,721
722,468
26283,3411
29180,492
17101,1623
7843,492
45223,492
3099,45279
40650,1332
20720,10564
1332,45737
721,3099
586,585
45847,3099
1231,45907
1623,1468
18355,389
388,570
45,467
4035,4795
570,1623
1231,14404
9551,19867
1231,40232
1332,24262
3541,110
3001,18355
42565,1468
4670,3099
4625,492
46748,585
1332,3190
492,21827
1231,28381
46989,1468
1468,492
47111,1522
18355,4036
1231,3411
1332,41855
18355,47221
3190,19428
16304,1171
4954,1231
1332,22528
45,47436
1332,11185
388,721
1332,9244
3494,8906
467,492
14443,1468
20843,1522
20151,721
36213,1171
40581,1468
47911,1468
467,389
1231,35309
45,8402
4670,492
3190,9244
22528,110
1231,109
389,45
20145,9244
12303,1623
18355,14057
1332,15700
1332,20151
570,2256
48453,1468
6832,1332
18603,468
14849,1332
3411,468
4954,39054
15700,1468
49053,1623
16304,7147
13170,492
9244,1623
35594,3411
45,721
20145,1623
5088,165
4412,1332
721,492
20843,3411
45336,1468
30096,1332
31465,1623
1231,44984
14518,1468
1231,15700
49774,468
1231,49922
468,31199
1332,468
468,39098
7147,721
1468,13415
1231,721
1332,43066
5088,3411
389,9551
4412,492
7231,8906
1332,16307
11609,1468
34698,1468
20843,50617
1231,16001
3477,7231
492,40753
3190,3411
1332,165
42282,570
492,4412
50755,1468
3575,468
1332,13170
3190,570
14849,3541
1231,3575
51018,7147
1332,3411
20145,110
492,11097
3190,7231
389,721
36642,8978
18355,3493
569,3541
1231,12303
9551,467
1332,50048
16307,7231
38700,16001
585,389
10902,4795
28731,12482
34883,1623
1623,388
7231,165
7231,51937
585,45
2256,722
586,16001
18055,1468
1332,7147
33774,15941
17101,4411
18603,1623
3494,1171
1332,3575
9551,8906
1522,3541
665,9244
721,1623
1231,52190
52560,7147
47111,3741
3494,3493
45,15941
45,3494
721,389
3099,492
45336,389
722,19809
3166,1468
21194,468
29769,7147
1468,11097
1231,22870
570,53205
9551,1468
18390,7843
29040,1468
1332,46209
38700,3411
389,49774
17741,4411
388,3541
722,721
492,19020
1332,53778
10563,20719
1332,14057
492,468
39098,468
9258,110
3741,1468
10902,7147
1468,19867
45,1623
1468,1623
54197,1171
166,3411
31199,4411
36642,20719
1332,43401
28212,16001
468,14057
7231,3493
3741,570
8742,45
4670,8730
1332,5303
3741,15908
19446,570
4669,4670
389,8742
7147,1468
492,570
27288,19428
665,570
3099,389
569,9244
36213,1468
492,3494
3477,570
10478,1468
8402,110
7231,16849
1332,42565
1468,35420
1332,50127
1624,1468
12483,36061
1468,55604
389,31112
8906,1468
12483,721
1468,3741
44713,468
20341,1332
12603,7147
56131,4954
468,570
570,389
1623,1171
43730,492
56319,1468
24515,1468
14752,389
109,3411
36642,721
4954,467
5303,3411
12303,492
44713,1468
42392,16001
1231,45
1468,12176
1468,18390
7231,585
10495,1468
1332,56845
569,1171
492,7231
1468,39334
20251,468
18355,110
45,3493
3741,1522
836,570
14057,110
4954,8906
36531,492
16304,467
20341,19428
1231,9033
389,4954
4795,1171
57643,165
1468,570
1170,45
109,15700
44984,1468
492,110
3644,1468
12483,9764
492,36531
1468,57999
1231,18745
18355,3541
110,468
35275,1468
24456,7329
1348,1171
58338,7147
8402,570
1468,16849
1231,7231
1623,3541
3099,37827
14752,2256
8402,1468
4625,11097
1468,4036
1231,14057
3190,3541
1468,16001
6867,492
35594,16001
570,42282
18355,4954
4608,1468
41974,1468
7231,5237
1468,4795
570,3541
3099,25972
1332,58338
467,4954
4130,1468
1332,721
1231,59290
389,25553
3741,40111
1231,31112
20843,467
28034,50130
7231,110
44,1171
29180,15700
570,3741
7231,14057
3494,1522
1231,19809
7231,16307
3001,722
18745,1468
7843,18355
11185,1171
19428,1623
35594,721
3099,7147
492,19867
3575,570
109,721
52190,1468
20720,20719
1468,42998
1468,60076
3477,110
1332,3541
4954,389
9551,4954
18355,468
389,18055
45,1231
20055,1468
7147,110
1332,60476
29769,16001
20843,1171
1332,42282
45,18055
492,14752
9551,22870
45,44
38053,468
3477,9244
1332,44996
4954,8742
9551,60932
1170,1468
7231,11185
3541,3411
1468,31199
1332,14849
16029,1468
28034,61149
14507,1468
492,9551
492,36331
1332,1231
7231,13415
3385,16305
7231,18355
1468,6832
1231,1623
1623,9244
1231,4021
31199,1623
1332,61476
61503,1468
29435,1468
10902,3541
1231,5237
47805,1171
47805,1468
1332,166
4669,570
45907,1171
1332,8730
1468,13572
3741,3541
7231,721
9258,15700
586,721
569,19428
45336,7231
8730,1468
5088,1332
570,10495
4670,585
4954,18355
492,12303
5303,3541
20843,721
1468,1475
62330,7147
3493,7231
45,492
12483,62454
45,14443
586,3411
29769,4795
1332,62557
6832,7147
