agriculturalproductgrowninland1_1,agriculturalproductgrowninland1_2
1140,3150
7089,1013
6056,244
9616,9617
12169,3303
16439,11165
16478,3303
900,3303
7089,3243
9616,3303
22283,3303
23009,9617
6246,3303
23546,3303
16439,19675
20124,1139
900,9617
1245,9617
11104,3303
31899,9617
32506,1139
5503,5502
33814,1139
1334,9617
9694,1139
36733,1139
6056,11165
30097,1139
39517,3303
6664,4260
16425,3303
20124,3303
1140,9617
1334,5502
1140,1139
6664,1023
46619,3303
47937,1139
16439,48165
16425,1139
20891,9617
7089,1139
50465,1139
33292,3620
39517,1139
16439,3243
7089,244
1245,3303
22815,3303
43182,9617
54450,3303
49476,9617
46619,5502
56962,9617
3327,244
6664,3150
35265,3269
9664,2423
16439,3303
7089,3303
20822,3303
7089,1012
58824,3303
23009,3303
37792,1139
3327,3269
6664,7978
16439,9617
6664,61586
61909,1139
3327,3303
7089,3620
3304,9617
6664,4407
64131,3303
9694,3303
64587,1139
47164,3303
1334,3303
6056,3269
6056,3303
60726,3303
20124,9617
66158,1139
47164,3269
46734,9617
23009,11165
33292,1139
3327,5502
34317,1139
67397,3303
33292,33291
5503,1139
37792,5502
1334,7978
59417,3269
69699,3303
36323,3303
6056,9617
38137,3303
1334,1139
22324,1139
54450,1023
6246,9617
68485,1139
9664,3620
62827,1139
1140,12363
73116,3269
73121,1139
66362,9617
16439,1139
3304,3303
9664,33291
54450,7978
73826,1139
7089,5502
46619,9617
1245,1139
72879,1139
74340,3303
47164,9617
33292,3303
6664,28534
62827,3303
75048,3303
69675,1139
59030,9617
900,1139
74518,1139
11508,9617
66579,3303
69854,3269
16439,5502
6056,48165
5503,28534
1140,3303
6664,3303
60726,1139
75461,3303
