istallerthan_1,istallerthan_2
2283,1216
2092,1216
3205,1216
4485,1216
4607,1216
5238,1216
6192,1216
6912,1216
6632,1216
11507,1216
3434,1216
7128,377
946,1216
1016,1216
321,1216
16876,1216
17392,1216
12835,1216
3726,1216
5597,1216
8672,1216
1434,1216
7815,1216
36,1216
20735,1216
3370,1216
21375,13557
980,1216
6877,1216
1538,1216
24212,1216
6422,1216
24146,1216
26940,1216
9863,1216
27588,1216
28962,1216
29262,1216
10129,1216
31904,1216
32146,1216
32525,32526
3005,1216
33296,32434
17119,1216
1061,1216
16165,1216
14295,1216
37386,1216
2163,1216
39471,7294
6441,1216
24743,1216
35994,1216
21785,1216
18382,1216
42523,1216
30,1216
32937,1216
3568,1216
1952,1216
8495,1216
12434,1216
14324,1216
377,1216
250,7815
4324,1216
7240,1216
37413,1216
19522,1216
2271,1216
48394,1216
12085,32299
3105,1216
15666,1216
2269,1216
47506,1216
50470,7294
21375,1216
48837,1216
9624,1216
11637,1216
719,1216
23252,1216
37339,32434
2366,1216
7485,32434
12362,1216
55258,1216
2063,1216
55518,1216
2205,4489
31977,1216
1738,1216
3538,1216
8093,1216
51263,32434
19229,1216
57797,1216
3885,1216
859,1216
6831,1216
1267,1216
13297,1216
59236,1216
10613,57016
59533,1216
27787,1216
10325,1216
26029,1216
23197,1216
24931,1216
2107,1216
60909,1216
18716,1216
243,1216
61350,1216
682,1216
50176,1216
818,1216
4223,1216
4593,20009
61858,1216
39325,1216
3563,1216
2308,1216
28095,1216
7981,1216
1844,1216
1239,1216
4532,1216
347,1216
49451,1216
24969,1216
60226,1216
44846,1216
61531,1216
7151,1216
32525,51263
6340,32299
56631,1216
2662,1216
47704,1216
7224,1216
6798,1216
46100,50496
16218,1216
4489,1216
6747,1216
68290,46100
905,1216
68631,1216
3773,1216
16772,1216
23335,32299
18169,1216
6911,1216
68863,68862
250,1216
866,1216
11191,1216
50497,50496
50752,5791
5662,1216
3870,1216
16737,1216
751,1216
70291,1216
2205,1216
49438,1216
1025,1216
17733,1216
20973,1216
71562,1216
12085,1216
17929,1216
69383,46100
18078,1216
1138,1216
299,377
12598,1216
2390,1216
32525,72517
250,22976
32299,1216
14730,1216
2626,1216
12798,1216
1841,1216
6101,1216
13810,1216
73104,1216
10031,1216
5397,1216
5896,1216
4593,1216
56679,1216
7821,1216
20468,1216
1568,1216
45992,5791
4047,1216
3877,1216
73930,1216
67201,1216
4462,1216
9038,1216
41087,1216
114,1216
7998,1216
7664,1216
74663,50497
74596,1216
7616,1216
15516,1216
136,1216
5593,1216
2269,32299
17803,32299
49078,1216
74731,32434
32655,1216
11042,1216
9681,1216
68863,50497
60421,1216
819,1216
26941,1216
9776,1216
717,1216
299,1216
44846,6192
15698,15697
6375,1216
40841,32299
844,1216
49863,1216
904,1216
250,377
75395,1216
75174,1216
270,1216
45992,1216
32525,33687
7557,1216
72916,1216
25377,32434
68475,1216
17978,1216
10294,32299
2205,1546
58954,1216
250,1546
11191,22344
4099,1216
2417,1216
1627,1216
50932,1216
19536,1216
16484,1216
