languageofcountry_1,languageofcountry_2
8,9
1060,1061
1508,1061
711,2401
1650,1901
4660,295
5554,5555
711,137
711,7473
711,7628
711,8075
8,1061
4660,7473
9389,9390
9436,6431
9948,3040
10022,3982
711,10796
10977,891
711,465
10977,12277
13474,700
13688,12015
14578,901
14679,901
711,8473
8,6431
15210,700
15796,1188
711,843
16201,8554
16891,4736
5554,1901
17757,17758
10977,14945
10977,5752
18743,11959
1650,8262
19399,19400
20014,9080
10977,20204
8,9840
20801,13134
711,19032
711,5043
5554,8459
711,9979
23247,245
23511,5922
23654,3062
23724,678
24658,4556
8,25570
10977,1059
27007,20204
1650,27782
711,5863
5554,103
711,3040
28683,18879
711,1237
29903,1256
30210,3348
30635,700
30674,10523
8,987
31734,127
18220,5593
711,1811
711,3161
33162,295
1650,5889
1650,1098
1650,6323
14578,14018
711,12194
20801,6431
28683,9080
1650,103
711,1098
1650,912
37411,27782
37502,9080
711,25949
10977,787
10977,6069
38143,5593
10977,11628
1650,1188
1650,13014
5554,39132
16076,614
10977,3040
27084,27083
5554,5922
20768,1158
711,3811
711,7394
711,9360
37464,657
42032,42033
42211,309
20801,5593
711,2626
20173,16992
10608,642
711,3348
27007,2288
29297,309
711,977
711,8027
10977,14350
45471,4915
5554,7660
45849,127
8,16343
20173,10089
711,15355
5554,10796
711,16675
5554,1811
711,5501
10608,90
10608,3078
44113,5995
8,2129
48871,6044
28683,5501
16076,116
711,7679
711,6071
711,6044
10608,4556
22787,5995
711,972
50510,6044
5554,1237
51660,1237
38143,6044
49690,1817
711,9274
50079,33108
5554,2288
17716,245
54169,700
20801,1321
8,7836
8,13134
28683,2335
41125,128
49728,13434
711,987
711,3804
21719,700
5554,13569
711,13230
56471,154
711,6431
14679,14018
1650,89
711,13099
711,9
1650,977
5554,3078
1650,10089
58102,11665
8,17726
20801,2342
8,4133
8,724
5554,972
711,636
711,12015
58764,3307
22787,18682
59011,678
40034,15627
21719,6044
28683,5646
5923,5922
5554,33013
711,5505
711,20746
711,17850
5554,15627
8,8749
1650,9302
1650,90
711,245
39041,2626
20801,1811
711,19288
711,2701
38378,14350
711,10940
17757,465
55978,9767
1650,5108
711,772
20801,6069
59176,3078
62941,25107
711,703
8,5593
5554,5010
8,13980
711,3975
52702,154
8,21061
1650,12164
1650,3307
64415,700
64528,891
22787,614
711,5108
10977,8075
711,116
711,1256
711,128
5554,127
48014,13655
58691,1901
55978,2401
1650,16992
1650,17792
64528,3811
711,14110
22787,66189
711,1188
711,4736
711,17523
711,2204
60816,5752
711,3019
1650,8075
2930,4556
711,642
36244,349
66902,6431
20801,3019
41125,465
22787,295
711,5995
711,8459
39041,116
38389,3982
52019,9393
711,24473
711,11665
22787,16976
68917,494
711,309
10977,10523
17237,6323
55136,1061
10608,636
70496,843
10977,127
1650,3975
71326,17523
711,10895
1924,7473
10977,17461
71468,642
711,724
711,912
27986,3273
8,2138
711,43461
711,494
1650,3804
45849,9393
5554,10940
10977,13865
10977,989
48014,9979
17853,3307
8,3019
711,1062
711,22385
711,154
10608,4915
711,14350
8,1811
70155,5922
31926,3040
5554,17726
59593,843
8,7660
37350,349
711,295
711,5010
711,2129
20801,700
10608,5705
32007,3832
711,9767
711,20204
66097,295
1924,295
711,11628
52550,2626
52920,772
8,9274
35409,5593
1650,3161
67170,3040
72338,1884
64385,7836
10977,5043
58691,9302
39041,977
711,1061
9269,5593
8,1062
8,103
711,13134
42333,3307
10977,295
47766,5995
8,6432
10977,11665
10977,14495
13474,2401
711,9390
1650,7271
20801,8749
8,9239
69408,6044
711,7271
8,39132
42491,10089
64661,31564
711,27083
10977,23990
1650,21197
8,2342
75264,8459
75076,10895
70227,9767
62951,14018
711,1817
10977,22268
39041,494
20801,9239
55718,12015
59593,2701
41125,17523
51824,3811
23724,1059
711,2723
28683,6614
14578,3040
75177,103
71326,128
20173,89
8,154
45471,3832
5554,494
5554,6431
10977,657
34502,642
8,1237
10977,10172
2930,891
66565,901
5554,642
