ceoof_inv_1,ceoof_inv_2
2803,2804
620,3294
1391,1390
6433,6434
6612,6613
6751,6752
6221,7016
8182,8183
4838,8823
9441,9442
95,10019
10542,10543
10106,10105
4193,10663
11995,11996
13495,13496
13597,1327
13665,13666
3739,14040
2231,4805
18845,18846
11284,11283
1369,19206
19214,6761
20335,20336
11469,4704
1219,1218
617,21049
2405,21449
4105,20909
6834,6833
680,23737
20887,12018
25349,22356
25616,25617
5943,2610
26571,26572
29301,29302
29714,29715
13545,13544
19875,31322
27607,27608
22259,11548
9452,9451
7530,32814
11836,32995
8736,16375
4680,33591
10733,28245
16937,16936
7037,34730
14212,35021
37002,23290
20135,20136
37788,1292
424,26468
4119,38054
15299,15298
12376,12377
18218,39763
24370,24369
40469,40470
7750,7749
2772,41318
18734,18733
21326,21327
42907,42908
554,17422
11817,12382
30482,30481
23453,23454
3430,3429
698,23644
23192,8493
17658,17657
18063,18062
45964,45965
7200,37479
4957,4958
5480,5479
16097,32337
15179,48059
30274,25488
4947,12970
32674,32673
17266,17265
12307,36662
14330,47385
3017,3018
48382,25876
42994,11159
7111,24238
14135,50612
7883,7884
752,12484
32628,52604
26464,26463
7720,53770
23643,53916
34867,34866
11430,54229
1883,15499
842,10337
22224,33932
56086,21002
8226,38095
15664,15665
3051,47807
20306,9403
756,311
4654,4655
57041,57042
1699,23816
9820,9819
2364,33228
57587,26993
36653,30659
20393,20392
14025,40789
4876,4875
45347,59985
37465,37466
1826,1827
11618,11619
36668,36667
25613,25612
398,397
15226,15227
15383,34880
52806,5807
26810,16479
49610,53676
9264,13602
938,939
12761,13101
3168,62978
10297,10326
3344,63512
2075,10950
37352,6495
9329,64095
21285,33666
35755,35754
60270,5626
20324,20323
8417,28394
4445,19259
2859,2537
7756,23474
14874,14873
65482,13428
10394,10393
1002,1003
7627,31055
31572,31573
19962,59644
4168,21355
16520,52288
4961,4960
1978,40914
20961,20960
10578,44980
19158,34404
28203,4115
16071,34522
27267,6170
17507,32495
50987,4781
5370,29358
15369,12142
13295,18629
25689,25688
5952,6710
25336,25335
19192,4934
27336,27335
26254,26255
25476,25475
7422,22966
5944,10628
9474,38606
7896,25281
7059,35285
10798,67884
6789,6790
4749,31975
8392,60821
1729,1728
38262,25902
14456,8218
71641,12888
34147,34146
27640,71693
6263,29408
26715,26716
35648,5424
19160,33303
238,6132
32993,32992
5253,11323
18759,30618
28926,72914
498,44171
17199,32746
4451,4450
47083,73125
2842,51160
36946,36945
16139,22161
8810,14445
22697,22696
9273,9272
48826,13869
40740,40741
4603,52988
813,28710
19295,19296
39133,39134
19424,11688
14965,28558
19413,44243
17587,21970
4355,38845
13506,64286
12383,32508
38538,12237
10203,46981
29651,47036
7177,15968
10935,2210
5023,39917
49869,49870
18715,18143
1201,74889
1583,45670
5047,12903
42612,42613
36699,663
28456,28457
8979,8980
11926,31129
1271,15759
44073,17055
18080,39699
2934,15091
20884,4740
54750,54749
27517,27518
25317,8820
21060,3064
18372,18371
2659,6396
910,3630
8572,42589
3381,35281
6374,25483
2521,40354
17426,19961
10225,68511
19015,19016
6402,11978
6371,23929
30174,20725
32338,32339
52247,52246
14205,37435
31781,63610
10571,15132
27399,14771
35163,35162
11755,11754
