latitudelongitude_inv_1,latitudelongitude_inv_2
40,41
148,149
239,240
511,512
516,517
549,550
580,581
590,591
707,708
748,749
761,762
880,881
923,924
1150,1151
1163,1164
1172,1173
1225,1226
1261,1262
1308,1309
1394,1395
1452,1453
1479,1480
1528,1529
1608,1609
1747,1748
1764,1765
1861,1862
1904,1905
1999,2000
2014,2015
2149,2150
2248,2249
2343,2344
2430,2431
2495,2496
2573,2574
2628,2629
2744,2745
2797,2798
2956,2957
2994,2995
3002,3003
3173,3174
3299,3300
3301,3302
3446,3447
3468,3469
3506,3507
3590,3591
3616,3617
3852,3853
3891,3892
3923,3924
3524,3994
4009,4010
4017,4018
4081,4082
4167,4168
4221,4222
4295,4296
4416,4417
4510,4511
4559,4560
4667,4668
4677,4678
4745,4746
4841,4842
4905,4906
4985,4986
5021,5022
5052,5053
5077,5078
5102,5103
5224,5225
5386,5387
5390,5391
5468,5469
5511,5512
5642,5643
5690,5691
5744,5745
5853,5854
5858,5859
5930,5931
5956,5957
5977,5978
6084,6085
6110,6111
6150,6151
6229,6230
6259,6260
5761,5760
6382,6383
6511,6512
6550,6551
6601,6602
6610,6611
4677,6668
6678,6679
6686,6687
6705,6706
6729,6730
6753,6754
6801,6802
6818,6819
6861,6862
6916,6917
6943,6944
6986,6987
7228,7229
7347,7348
7546,7547
7661,7662
7705,7706
7786,7787
7834,7835
7848,7849
7873,7874
7976,7977
8009,8010
8038,8039
8059,8060
8063,8064
8083,8084
8104,8105
8109,8110
8168,8169
8399,8400
8502,8503
8513,8514
8518,8519
8528,8529
8566,8567
8598,8599
7323,7322
8628,8629
8637,8638
8649,8650
8658,8659
8714,8715
8725,8726
8786,8787
8995,8996
9003,9004
9068,9069
9108,9109
9113,9114
9131,9132
9184,9185
9285,9286
9291,9292
9513,9514
9533,9534
9612,9613
9669,9670
9687,9688
9762,9763
9801,9802
9880,9881
9890,9891
9901,9902
9939,9940
9973,9974
9975,9976
9995,9996
10009,10010
10040,10041
10160,10161
10195,10196
10245,10246
10254,10255
10384,10385
10401,10402
10411,10412
10540,10541
10586,10587
10625,10626
10629,10630
10734,10735
10744,10745
10767,514
10803,10804
10850,10851
10924,10925
10972,10973
8995,11009
3298,3297
11069,11070
11119,11120
11145,11146
11202,11203
11357,11358
11364,11365
11390,11391
11404,11405
11439,11440
11539,11540
11587,11588
10859,11694
11782,11783
11828,11829
11839,11840
11870,11871
12075,12076
12078,12079
12123,12124
12149,12150
12152,12153
12170,12171
12261,12262
12310,12311
12331,12332
12349,12350
12392,12393
12400,12401
12439,12440
12528,12529
12651,12652
12795,12796
8243,12841
13031,13032
13060,13061
13144,13145
13175,13176
13200,13201
13336,13337
13351,13352
13404,13405
13430,13431
13487,13488
13492,13493
13609,13610
13689,13690
13716,13717
13729,13730
13824,13825
13854,13855
13914,13915
14059,14060
14099,14100
14120,7068
14178,14179
14265,14266
11782,14290
14438,14439
14482,14483
14487,14488
14505,14506
14559,14560
14561,14562
6150,14577
14581,14582
14599,14600
13941,13940
14687,14688
14706,14707
14748,14749
14775,14776
14857,14858
14889,14890
14915,14916
14922,14923
14970,14971
15060,15061
15084,15085
15101,15102
15121,15122
15123,15124
15170,15171
15182,15183
15263,15264
15273,15274
11350,11349
15337,15338
15389,10022
15398,15399
15408,15409
6765,6764
15501,15502
15506,15507
15521,15522
15573,15574
15582,15583
3524,3523
7785,7784
15679,15680
15693,15694
15793,15794
15822,15823
15841,15842
15848,15849
15857,15858
15882,15883
15912,15913
15945,15946
15988,15989
16010,16011
16021,16022
16087,16088
16112,16113
16194,16195
16211,16212
16216,16217
16228,16229
16261,16262
16312,16313
16388,16389
16491,16492
16532,16533
16596,16597
16616,16617
16623,16624
10138,10137
16694,16695
16783,16784
3524,16790
16811,16812
11993,11992
16835,16836
16840,16841
16885,16886
16957,16958
17009,17010
17021,17022
17039,17040
17057,17058
17110,17111
17132,17133
17136,17137
17180,17181
9225,9224
17248,17249
17256,17257
17315,17316
17369,17370
17414,17415
5468,17421
17489,17490
4967,4966
17533,17534
17537,17538
17556,17557
17623,17624
17640,17641
17647,17648
17711,17712
17742,17743
17761,17762
17800,17801
17917,17918
17972,17973
18096,18097
18113,18114
18138,18139
18150,18151
18269,18270
18291,18292
18316,18317
18319,18320
18328,18329
6677,18346
18349,18350
18407,18408
18430,18431
18469,18470
18561,18562
18575,18576
18582,18583
18684,18685
18692,18693
18722,18723
18725,18726
18770,18771
18801,18802
18848,18849
18857,18858
18914,18915
18952,18953
5536,5535
18971,18972
18998,18999
19017,19018
19033,19034
19051,19052
19147,19148
19282,19283
19435,19436
19488,19489
19556,19557
19569,19570
19609,19610
19661,19662
3672,19663
19698,19699
19716,19717
19754,19755
19763,19764
19779,19780
19789,19790
19801,19802
19803,19804
19881,19882
19894,19895
19912,19913
7027,7026
19954,19955
19967,19968
19977,19978
20000,20001
2358,2357
13463,13462
20089,20090
20120,20121
20176,20177
20180,20181
20238,20239
6880,20256
5891,5890
20285,20286
20288,20289
20332,20333
20367,20368
20371,20372
10766,10765
20457,20458
20469,20470
20529,20530
20531,20532
20541,20542
20544,20545
20556,20557
20589,20590
20611,20612
13679,20633
20653,20654
20668,20669
20695,20696
20739,20740
20804,20805
20846,20847
20852,20853
20871,20872
8347,20905
6677,20926
20954,20955
20992,20993
21004,21005
3829,21018
21063,21064
21108,21109
18407,21111
21126,21127
21191,21192
21211,21212
21230,21231
21347,21348
21358,21359
1851,1850
21394,21395
21399,21400
19556,21409
21426,21427
21506,21507
1452,21532
21564,21565
21600,21601
21611,21612
21652,21653
21695,21696
21697,21698
21703,21704
21714,21715
21738,21739
7674,7673
21775,21776
21853,21854
12030,12029
21886,21887
21935,21936
10263,16507
21966,21967
21974,21975
21992,21993
22016,22017
22028,22029
22035,22036
22065,22066
22086,22087
11782,22119
22127,22128
18643,18642
22167,22168
22245,22246
22286,22287
12630,12629
22326,22327
22340,22341
22348,22349
22396,22397
22422,22423
22465,22466
22562,22563
22567,22568
22726,22727
22759,22760
22765,22766
22770,22771
22822,22823
22829,22830
22856,22857
22860,22861
22916,22917
12678,12677
22929,22930
22954,22955
22962,22963
22181,22180
23123,23124
23127,23128
23149,23150
23235,23236
23237,23238
23253,23254
23282,23283
23296,23297
15494,15493
23336,23337
23351,23352
23376,23377
23430,23431
23455,23456
23494,23495
5234,23518
23534,23535
23544,23545
23560,23561
23600,23601
23614,23615
23664,23665
23677,23678
3524,23703
23771,23772
23787,23788
23911,23912
23972,23973
24007,24008
18287,18286
24117,24118
24134,24135
24150,24151
24215,24216
24221,24222
24224,24225
24227,24228
15987,15986
24256,24257
24260,24261
24284,24285
24335,24336
24367,24368
24381,24382
24435,24436
24480,24481
24516,24517
24522,24523
24574,24575
10853,24595
24715,24716
24845,24846
24864,24865
24873,24874
24889,24890
20275,24900
24909,24910
24922,24923
24925,24926
24943,24944
25001,25002
25015,25016
25051,25052
25055,25056
25138,25139
25194,25195
13679,25252
25267,25268
25278,25279
25333,25334
25350,25351
25373,25374
25381,25382
25393,25394
25397,25398
25428,25429
25446,25447
25461,25462
25602,25603
25610,25611
25635,25636
25639,25640
25677,25678
25685,25686
25737,25738
25745,25746
18801,25751
25783,25784
5529,5528
25825,25826
16970,16969
25958,25959
25963,25964
24007,26002
26005,26006
26116,26117
26139,26140
26151,11611
11291,11290
26213,26214
26219,26220
26226,26227
26234,26235
26277,26278
26317,26318
26349,10966
26353,26354
26412,26413
26420,26421
26443,26444
26461,26462
26466,26467
26527,26528
18316,26577
26581,26582
9533,26605
8451,8450
26632,26633
2519,2518
26702,26703
26794,26795
26843,26844
26863,26864
11782,26879
26945,26946
26979,26980
26986,26987
27032,27033
27075,27076
748,27087
27140,27141
27143,27144
27185,27186
17725,24635
27205,27206
27207,27208
27244,27245
25479,25478
8838,8837
27261,27262
6880,27273
20553,20552
27325,27326
1879,1878
27339,27340
27356,27357
12739,12738
22893,22892
27407,27408
27450,27451
27455,27456
27469,27470
27476,27477
7918,7917
27511,27512
27514,27515
27520,27521
19520,19519
27611,27612
3829,15581
27679,27680
27708,27709
27727,27728
27741,27742
27766,27767
27768,27769
27823,27824
27841,27842
27846,27847
11327,11326
27860,27861
27866,27867
27906,27907
27922,27923
27932,27933
27959,27960
10012,10011
12020,12019
28054,28055
21338,21337
28087,28088
18457,18456
28110,28111
28156,28157
28239,28240
28345,28346
28400,28401
28422,28423
28441,28442
28525,28526
28530,28531
24603,24602
28629,28630
21639,21638
26555,26554
28681,28682
28737,28738
28747,28748
28752,28753
120,119
28780,28781
28815,28816
3524,28848
28874,28875
28882,28883
28891,28892
29008,29009
9901,29035
29045,29046
29050,29051
29053,29054
29074,29075
29099,29100
29105,29106
29140,29141
29163,29164
24495,24494
21611,25166
29175,29176
29211,29212
29223,29224
29233,29234
29263,29264
15389,29289
18601,18600
17489,29311
23166,23165
29365,29366
29377,29378
29428,29429
29440,29441
29459,29460
29543,21006
5021,29626
29629,29630
29661,29662
29712,29713
29742,29743
14338,29794
29854,29855
29857,29858
29907,29908
29910,29911
29949,29950
29971,29972
29974,29975
29976,29977
29984,29985
29989,29990
4996,4995
30006,30007
30047,30048
30067,30068
30076,30077
30078,30079
30133,30134
30138,30139
30151,30152
30166,30167
30214,30215
30219,30220
18770,30227
30232,30233
30242,30243
30270,30271
30295,30296
10138,30298
22396,30326
30352,30353
30368,30369
30393,30394
30416,30417
30429,30430
30456,30457
30512,30513
18430,30516
30574,30575
30608,30609
7753,7752
30615,30616
30620,30621
30624,30625
30637,30638
11390,30645
8451,30647
30665,30666
30768,30769
30775,30776
15912,30782
30807,30808
30817,30818
30821,30822
10766,30828
30887,30888
30897,30898
30921,30922
30952,30953
30957,30958
12531,12530
5575,5574
31052,31053
31146,31147
31152,31153
31160,31161
8243,31202
31237,31238
31246,31247
31283,31284
17988,17987
31311,31312
31324,22006
31337,31338
31384,31385
31427,31428
31429,31430
27152,27151
31469,31470
31489,31490
31579,31580
18310,20461
31594,31595
31602,31603
31605,31606
31609,31610
31652,31653
30022,30021
31696,31697
31704,31705
31721,31722
31729,31730
31772,31773
31812,31813
31833,31834
31870,31871
31872,31873
31906,31907
6880,24380
31921,31922
31925,31926
31979,31980
31999,32000
32015,32016
32025,32026
32041,31531
9077,9076
32068,32069
32079,32080
3672,32085
32141,32142
3544,3543
32164,32165
10702,10701
32192,32193
27123,32199
15882,32210
21105,21104
32225,32226
32229,32230
32241,32242
32247,32248
32270,32271
32282,32283
32289,32290
15294,15293
24114,24113
32357,32358
32407,32408
31644,31643
32457,32458
32469,32470
32493,32494
32606,32607
32634,32635
32641,32642
32653,32654
32722,32723
32736,32737
32757,32758
32779,32780
32785,32786
12605,12604
6880,32842
32886,32887
17013,17012
29008,32890
16587,32919
32932,32933
32974,32975
21246,21245
32996,32997
23604,33015
33020,33021
33054,33055
33073,33074
33089,33090
26349,33092
33130,33131
22198,22197
33149,33150
33157,33158
33187,33188
33223,33224
33309,33310
33326,33327
33331,33332
33336,33337
33379,33380
33410,33411
33436,33437
8389,8388
33511,33512
33572,4497
33578,33579
33592,33593
33613,33614
33620,33621
30053,30052
33725,33726
33727,23361
33748,33749
33841,33842
33913,33914
33933,33934
33938,33939
33951,33952
34002,34003
34027,34028
34045,34046
8475,8474
24597,24596
24640,24639
34187,34188
22422,34197
29577,29576
34207,34208
34225,34226
2162,2161
34265,34266
34305,34306
19279,19278
34382,34383
12992,12991
34394,34395
34399,34400
34410,34411
23414,23413
34446,34447
34481,34482
24402,24401
22521,22520
34495,34496
34509,34510
33607,34524
19863,19862
34532,34533
25556,17190
34580,34581
30821,33947
34633,34634
34635,34636
34676,34677
34726,34727
22297,22296
34781,34782
34786,34787
34790,34791
14682,14681
34823,34824
34827,34828
34837,34838
34840,34841
34851,34852
34858,34859
34877,34878
34888,34889
34897,34898
34927,34928
34935,34936
11939,11938
34956,34957
35054,35055
28446,28445
35070,35071
35144,35145
35152,35153
35168,35169
35175,35176
35182,35183
35188,35189
35203,35204
10850,35226
30857,35254
35255,35256
13336,33368
35258,35259
35314,35315
35333,35334
35341,35342
35355,35356
18690,18689
27774,35404
8637,35405
35406,35407
35418,35419
35423,35424
35427,35428
35462,35463
35533,35534
35613,35614
35640,35641
35651,35652
35655,35656
35718,35719
35747,35748
35765,35766
5617,5616
16885,35812
35836,35837
35909,35910
35938,35939
35941,35942
35950,35951
17783,17782
36015,36016
36018,36019
28497,36020
36021,36022
36049,36050
33668,33667
28132,28131
36104,36105
36106,36107
36141,36142
36182,36183
36186,36187
25194,36196
36245,36246
36264,36265
27615,36274
6823,36291
6714,6713
16764,16763
36352,36353
36372,36373
31858,31857
36391,36392
36400,36401
36442,36443
36465,36466
36547,36548
9130,9129
17984,17983
36598,36599
4841,36666
28655,28654
36682,36683
36715,36716
36773,36774
36775,36776
36787,36788
36798,36799
36826,36827
36828,36829
36856,36857
36862,36863
36873,36874
36887,36888
34440,34439
3829,37011
37037,37038
37050,37051
37058,37059
37081,37082
37142,37143
37161,37162
37221,37222
37261,37262
37275,37276
37283,37284
37288,37289
24668,24667
37304,37305
37320,37321
37328,37329
10720,10719
37366,37367
37403,37404
37426,37427
37469,37470
37482,37483
21886,37491
37497,37498
37503,37504
31831,37524
37564,37565
37595,37596
37630,37311
37633,37634
37652,37653
37664,37665
1186,37704
6293,6292
37770,37771
37784,37785
37794,37795
37830,37831
37848,37849
37875,37876
37889,37890
15965,15964
37962,37963
37974,37975
37978,37979
37993,37994
27886,37999
38023,38024
38085,38086
10071,38100
38128,38129
38155,38156
38167,38168
31954,31953
38186,38187
15988,38277
15848,38287
28271,28270
38386,38387
32705,32704
38448,38449
38457,38458
38518,38519
38528,38529
38548,38549
38553,38554
38559,38560
19713,38562
38608,38609
38619,38620
38624,38625
38628,38629
38738,38739
38780,38781
23998,23997
38794,38795
38800,38801
38813,38814
38820,38821
13679,38849
38856,38857
38866,38867
38874,38875
38899,38900
22216,22215
38923,38924
38938,38939
38940,38941
38942,38943
38984,38985
38994,38995
39000,39001
39019,39020
16587,39024
23575,23574
39080,39081
39088,39089
20901,39094
39128,39129
39137,39138
39143,39144
39165,39166
26291,26290
26758,18063
29487,29486
39253,39254
34265,39275
32139,32138
1186,39363
39414,39415
39447,39448
39455,39456
39484,39485
39494,39495
36308,36307
39539,39540
39555,39556
38750,38749
31809,31808
37834,37833
39612,39613
39630,39631
39650,39651
39670,39671
39705,39706
27886,39709
39714,39715
39719,39720
39721,39722
39737,39738
39756,39757
39776,39777
32972,32971
39788,39789
39797,39798
31870,39812
38112,38111
7694,7693
39853,39854
39855,39856
39891,39892
32728,32727
39918,39919
39927,39928
39960,39961
39969,39970
39497,39496
14860,14859
40057,40058
9720,9719
40087,40088
40098,40099
40114,40115
40125,40126
40152,40153
40175,40176
40182,40183
40185,40186
40188,40189
40205,40206
40224,38931
40263,40264
19374,19373
32292,40287
40288,40289
12810,12809
40299,40300
40311,40312
40315,40316
2994,40327
40403,40404
40448,40449
22348,26082
22396,40465
40497,40498
20778,20777
40530,40531
17725,40537
40539,40540
10850,40541
40544,40545
40553,40554
5721,40556
40562,40563
33864,33863
40587,40588
40596,40597
40655,40656
40668,40669
40686,40687
5126,40689
40699,40700
656,655
40744,40745
40749,40750
40781,40782
40795,40796
40842,40843
27559,27558
