statelocatedingeopoliticalloca1_1,statelocatedingeopoliticalloca1_2
977,978
90,978
1744,541
2138,541
2395,541
3124,541
1061,541
7149,541
736,541
7614,541
7905,541
4299,541
9038,541
9241,541
2288,541
6069,541
1098,1953
10863,541
9972,541
10895,541
5043,541
11721,541
11973,321
12015,541
12164,541
6837,541
7220,541
14081,541
3880,541
9302,541
3040,541
2740,541
5747,541
15878,541
319,541
11963,541
16814,6288
13804,541
977,8162
6955,541
18889,541
3501,541
1668,541
6422,541
3034,2158
642,541
10109,541
20643,541
3983,541
2708,541
848,541
4242,541
2205,541
23010,541
4915,541
14324,541
1374,541
14598,541
20574,541
13433,541
2723,541
26372,541
26646,541
9080,541
27252,541
7607,541
27602,541
494,27908
15597,541
11663,541
2643,541
615,541
11628,541
3832,541
741,541
7872,541
4556,541
28548,541
299,541
31589,541
977,1627
1059,32105
308,541
20262,541
7394,541
3563,541
33132,541
114,541
843,541
11664,541
3034,8162
250,541
33978,541
700,13292
17850,541
90,4047
7815,541
90,2625
34622,6288
16560,541
1465,541
11973,17
136,541
27848,541
1421,541
36571,541
36908,541
494,2731
6073,541
6493,541
8193,541
11142,541
4053,541
11973,459
977,3370
3161,541
3034,3538
3034,243
494,20088
4324,541
19032,541
13865,541
15508,541
24913,541
26669,541
17455,541
349,541
5597,541
494,34118
13434,541
4264,541
3974,541
40777,541
7557,541
17523,541
41772,541
3726,541
90,2349
972,541
2494,541
2626,10416
700,37949
4133,541
1059,10831
989,541
37655,541
3034,8672
13134,541
5889,541
103,541
3336,541
5995,541
11187,541
44553,541
3034,6288
44722,541
3797,541
2222,541
46167,541
46302,541
22130,541
46882,541
1628,541
3811,541
700,45018
8607,541
47588,541
4729,541
2285,541
21888,541
5108,541
6432,541
17733,541
772,541
48992,541
29831,541
24330,541
11973,6288
14548,541
1016,541
21785,541
20746,541
525,541
700,541
50166,541
5356,541
22163,541
80,541
442,541
50322,541
43985,541
1320,541
1811,541
38429,541
8262,541
24743,541
8495,541
4959,541
13014,541
8749,541
17493,541
10584,541
39746,541
6547,541
977,1844
52462,541
5588,541
6332,541
16193,541
844,541
14132,541
33342,541
3034,3370
8036,541
54129,541
116,541
1958,541
6939,541
2830,541
465,541
54507,541
29446,541
5010,541
1059,55184
724,541
5802,541
90,270
245,541
55579,541
3034,3726
678,541
3034,2625
1724,541
56571,541
1953,541
8047,541
25324,541
466,541
13037,541
977,819
14110,541
90,3055
2626,3156
15354,541
28474,541
3034,8272
11973,866
10296,541
43954,541
9990,541
987,541
8272,541
8554,541
636,541
2626,541
9012,541
243,541
24206,541
59438,541
58717,541
3005,541
59535,541
59569,541
19288,541
3034,541
977,1092
47010,541
16724,541
565,541
14295,541
3804,541
3034,3738
11501,541
60974,541
5008,541
61037,541
10089,541
1321,541
14394,541
82,541
2557,541
1546,541
34999,541
14350,541
10878,541
9080,33159
10982,541
494,541
85,541
11973,3538
6071,541
1059,34475
2760,541
16733,541
15626,541
8093,541
62456,541
15150,541
3062,541
62781,541
7676,541
11973,4047
63129,541
9274,541
90,3262
90,321
63318,541
1098,8162
1062,541
1058,541
8861,541
494,9355
908,541
3273,541
6340,541
8459,541
14319,541
977,2417
20515,9355
49635,541
11973,3738
89,541
1824,541
5697,541
19024,541
912,541
26096,541
494,25471
24177,541
8910,541
15261,541
16675,541
8516,541
26344,541
3631,541
28580,541
24237,541
59042,541
22840,541
22229,541
295,541
12045,541
11779,541
2662,541
13569,541
34419,541
321,46050
8027,541
31032,541
3034,4299
28186,541
52905,541
9133,541
17726,541
7488,541
1059,6466
6734,541
288,541
39607,541
1825,541
3034,2366
16425,541
40877,541
33506,541
9963,541
46746,541
10042,541
11665,67815
2269,541
22927,6288
63513,541
1900,541
17271,541
5501,541
32327,541
12194,541
270,541
19442,541
977,1966
1901,541
1098,459
1237,541
19953,541
66024,541
10365,541
347,541
90,1374
62720,541
6757,541
39185,541
54742,541
9979,541
5505,541
14945,541
20891,541
479,541
1059,541
3279,541
69201,541
90,7905
38232,541
2113,541
10940,541
17007,541
700,11317
21052,541
27436,541
90,1868
90,17
70210,541
10641,541
7660,541
901,541
1059,58092
6449,541
39966,541
3538,541
10796,541
34661,541
49078,541
5866,541
1647,541
12362,541
3034,844
1752,541
45330,541
56033,541
23402,541
39746,10210
2724,541
8748,541
11665,541
71638,541
11665,69464
68895,541
28744,541
16141,541
977,7905
1966,541
69574,541
17625,541
29677,541
30544,541
1224,541
42623,541
47229,541
10986,541
72155,541
4736,541
8952,541
611,541
1188,541
3034,46050
7224,541
27214,541
21577,541
1092,541
5228,541
700,11007
12642,541
32002,541
703,541
977,3262
2871,541
19344,541
2625,541
90,1016
