touristattractionsuchastourist1_1,touristattractionsuchastourist1_2
472,961
472,2602
472,2654
472,2846
472,3125
472,3240
472,3249
472,3265
472,4040
4303,4304
472,5279
472,5338
472,5728
472,6152
472,6193
472,6322
472,6326
472,6923
472,4551
472,7647
472,5747
472,7870
7992,7993
472,8908
472,9358
472,9626
472,9932
472,10988
472,11415
472,11745
472,11981
472,12224
472,12608
472,12665
472,12728
472,12793
472,13389
472,13527
472,11768
472,13847
472,14086
472,14939
472,15105
472,15884
472,16175
472,16260
472,16359
472,16471
472,16585
472,16765
472,471
472,17277
472,11824
472,17439
472,17491
472,9210
472,17881
472,2038
472,18069
472,18183
472,18508
472,18686
472,18755
472,18951
472,19048
472,19097
472,19144
472,19162
472,19264
472,19442
472,4529
472,18610
472,20058
472,11854
472,1257
472,21344
472,21650
472,22104
472,22144
472,22251
472,22412
472,22613
472,22661
472,22940
472,23112
472,23485
472,23695
472,24039
472,24108
472,24155
472,24331
472,11913
472,24710
472,25307
472,25550
472,25620
472,25927
472,11604
472,21779
472,2466
472,26871
472,26990
472,27157
472,27547
472,27552
472,27553
472,24179
472,3309
472,28052
472,28267
472,28282
472,28956
472,2946
472,29558
472,29786
472,29914
472,30203
472,30212
472,30800
472,23854
472,31688
472,31748
472,31779
472,32042
472,32217
472,30182
472,20248
472,32567
472,32623
472,32956
472,33861
472,33965
472,33972
472,34074
472,21534
472,34442
472,34468
472,15419
472,35069
472,35097
472,35155
472,13422
472,24578
472,35358
472,35360
472,35378
472,35432
472,35482
472,35566
472,35866
472,35996
472,36046
472,36228
472,36299
472,36311
472,36361
472,36422
472,36430
472,36452
472,36569
472,37112
472,21202
472,37307
472,37314
472,37368
472,37430
472,37492
472,17336
472,37537
472,37679
472,37735
472,7838
472,38096
472,38102
472,38318
472,38374
472,38434
472,38481
472,30951
472,38703
472,39292
472,39436
472,39739
472,39988
472,39681
472,40046
472,40047
472,18924
472,40391
472,40547
472,40622
472,40794
472,40941
472,40950
472,41195
472,41206
472,41436
472,12002
472,41680
472,41804
472,38301
472,41949
472,42010
472,42084
472,18509
472,42388
472,42547
472,42557
472,42572
472,42628
472,42637
472,7244
472,42711
472,42747
472,42893
472,42928
472,43030
472,25248
472,6284
472,43469
472,14253
472,43622
472,43911
472,43944
472,28253
472,44175
472,44529
472,44555
472,44926
472,16122
45721,37309
472,45815
472,46136
472,46169
472,46605
472,46644
472,46728
472,41297
472,47149
472,14272
472,47273
472,47363
472,47399
472,17542
472,47512
472,47544
472,47713
472,47747
472,28866
472,19628
472,48123
472,48311
472,48377
472,48387
472,48529
472,40671
472,49368
472,49450
472,49477
472,29791
472,49503
472,50077
472,50395
472,50448
472,33825
472,10043
472,22637
472,21693
472,51217
472,51356
472,18057
472,51454
472,51601
472,28312
472,37098
472,22572
472,51868
472,52171
472,40576
472,52310
472,52447
472,16007
472,40508
472,25181
472,53047
472,53050
472,20508
472,47823
472,10243
472,53324
472,53349
472,53397
472,53420
472,53644
472,43460
472,41580
472,54047
472,54067
472,26242
472,54263
472,54290
472,54307
472,29518
472,54444
472,54692
472,54818
472,54927
472,23281
472,32622
472,55069
472,16292
472,46872
472,55522
472,17708
472,26774
472,55601
472,26564
472,50471
472,56343
472,56416
472,56459
472,56470
472,56511
472,56669
472,56767
472,56814
472,56820
56968,56969
472,57081
472,57199
472,20114
472,57316
472,57369
472,26549
472,57475
472,57517
472,57525
472,57812
472,57935
472,26880
472,57992
472,58013
472,58053
472,51122
472,25787
472,58182
472,58234
472,58512
472,36884
472,58553
472,58601
472,4131
472,58893
472,59020
472,59103
472,14793
472,59301
472,59348
472,23879
472,59504
472,59546
472,58883
472,59660
472,41527
472,48940
472,59812
472,59940
472,60017
472,59037
472,59154
472,60113
472,50103
472,60210
472,60369
472,60413
472,60414
472,60471
472,60516
472,60540
472,10030
472,60741
472,41479
472,60840
472,46017
472,23264
472,43556
472,61371
472,61417
472,56419
472,61706
472,19637
472,38527
472,48117
472,61995
472,62002
472,62063
472,62122
472,55711
472,51574
472,58778
472,62353
472,50526
472,62708
472,62960
472,53387
472,63002
472,63034
472,26341
472,26714
472,63405
472,63427
472,59027
472,63487
472,63644
472,25587
472,47586
472,55646
472,33723
472,64255
472,64318
472,46909
472,64488
472,64496
472,64698
472,63552
472,58856
472,49235
472,64840
472,59899
472,9734
472,60420
472,40674
472,65117
472,65166
472,65395
472,65570
472,40287
472,65699
472,65722
472,65747
472,65821
472,59401
472,48896
472,58495
472,37766
472,5066
472,51719
472,66059
472,66164
472,61913
472,4644
472,66326
472,66528
472,62704
472,63189
472,24626
472,18161
472,66900
472,63091
472,66954
472,62773
472,61894
472,9811
472,5362
472,67272
472,26408
472,49383
472,56105
472,60055
472,44355
472,67389
472,23465
472,34553
472,51860
472,33790
472,67566
472,30206
472,6915
472,18148
472,67008
472,67894
472,43588
472,64560
472,67967
472,67995
472,60896
472,68149
472,51219
472,68174
472,14820
472,33217
472,60368
472,44768
472,68463
472,68473
472,68476
472,68477
472,63854
472,68420
472,68513
472,7732
472,64128
472,68686
472,67129
472,21522
472,27142
472,54767
472,40227
472,68883
472,52974
472,29241
472,69155
472,23028
472,42389
472,21170
472,64250
472,561
472,69442
472,64493
472,52202
472,69502
472,37003
472,3858
472,54734
472,20575
472,69772
69773,7993
472,52318
472,30396
472,23137
472,69849
472,39764
472,12966
472,33534
472,58820
472,55634
472,51859
472,69987
472,69990
472,53942
472,59158
472,1661
472,40956
472,16943
472,54056
472,54316
472,70143
472,62155
472,58103
472,45970
472,70271
472,55769
472,64934
472,70414
472,70419
472,18103
472,39911
472,70472
472,70495
472,49850
472,70545
472,47297
472,42756
472,64988
472,70806
37310,37309
472,70158
472,22148
472,70931
472,65632
472,68296
472,64804
472,18899
472,71110
472,65533
472,71221
472,71295
472,67679
472,67036
472,71378
472,71422
472,58067
472,34644
472,71522
472,71530
472,71543
472,63361
472,43904
472,47917
