arthropodcalledarthropod_1,arthropodcalledarthropod_2
386,1793
958,2121
2167,2168
2168,4373
27,2462
27,886
2415,5949
27,6391
7194,7195
958,8008
9193,958
11645,2168
27,3696
959,958
6128,886
27,4829
2415,15414
386,16060
959,12024
10207,27
2415,959
16055,4373
12024,4373
20631,20632
959,5290
2415,12024
2415,3319
27,3120
27,10926
7194,25287
27,2998
25287,26035
15430,27
16070,386
14949,2415
6057,10055
2168,27093
6190,958
7194,15761
29149,29148
16555,958
958,6057
5291,2167
10104,2415
6391,27
386,23004
27,12501
21310,14586
27,8298
25287,2415
1160,10926
2167,7194
2415,2746
386,32490
1160,12699
5291,40693
6321,3680
958,16867
5291,12024
5291,26
12024,3680
27,10134
6321,2168
2168,37057
37057,7194
4373,6321
2922,3681
27,6273
22589,3680
3680,3681
11645,7194
4373,22589
7195,959
27,994
22589,12024
386,8298
29148,29149
3319,2415
2168,10104
2415,2168
26,2415
2916,2766
386,886
5291,41488
9193,10055
2415,7194
27,387
48898,2168
27,11025
1160,49020
386,1159
25287,49789
27,6498
16867,44070
387,27
22165,27
27,25711
19385,2415
386,16070
958,9193
386,6127
10104,22589
16055,2167
958,51243
37057,2168
959,3696
959,5291
41488,2168
40918,53049
27,1159
959,7194
27,5318
2167,16055
5612,5613
6273,27
12032,10055
1160,8008
11645,6321
14586,21310
12024,10104
29770,29771
10104,12024
5949,2415
22589,4373
7194,2167
2415,2414
18205,958
958,5291
12024,3681
37057,25287
2922,959
7194,11645
958,16555
29771,29770
27,44479
27,20624
27,23004
886,959
41488,7194
27,6750
3680,2415
2167,6321
11645,16055
49789,25287
2531,2415
23004,27
16055,11645
2415,59817
959,7195
959,41488
49020,20631
2998,959
16055,6321
7194,2415
27,7669
1029,6750
4373,10104
386,27
4373,2168
2415,29512
9041,27
2168,48898
3680,2168
5291,2922
22589,10104
12032,958
12024,37057
958,3037
49520,2168
6128,6127
2746,2415
12024,2168
959,2998
4373,2415
958,36408
12024,22589
2168,11645
2415,14949
958,6190
27093,2168
5291,48365
2916,994
2168,63914
959,27
41488,35981
10104,6321
6321,4373
27,6864
386,9229
996,2461
3681,3680
63914,2168
386,995
2415,25287
7923,959
27,1300
2415,10104
44070,16867
2168,38038
27,5256
27,5290
9967,27
7194,959
1160,958
27,1793
2415,26
1160,47489
27,20899
959,2415
27,10058
2121,958
6321,2415
386,2462
32490,386
27,6127
4373,3680
16060,386
2415,58637
959,10949
1029,5290
2916,996
27,5565
959,3680
16055,10104
386,6750
11025,27
25711,27
386,6498
959,886
7194,41488
4373,3681
10055,10054
27,959
386,4829
27,15430
27,22044
10055,6057
16055,69583
6321,10104
386,996
27,386
25287,37057
2415,19385
12024,959
2168,6321
27,2922
2168,16055
3681,2922
70374,25287
16055,7194
27,996
53881,958
61427,2415
7194,37057
10104,16055
2415,3680
5291,7194
386,10926
2916,20624
15414,2415
27,885
10104,3681
7195,2168
386,10949
996,27
27,9967
40336,2415
386,2922
3681,10104
33731,2168
5291,3680
16755,3696
996,386
5486,27
8008,958
958,3696
7195,7194
22044,27
10013,959
2415,51463
35981,2415
50880,40918
27,9041
958,53881
27,5486
16055,2168
6321,16055
7194,16055
6321,11645
27,22165
6321,2167
3037,10055
11645,7195
2415,6321
16867,958
6321,12024
2168,2167
2168,33731
958,14719
16055,12024
36408,958
27947,2415
27,30562
386,958
959,2922
996,958
3696,16755
3681,12024
40918,50880
2415,40336
3681,959
4373,12024
15761,2415
3681,4373
4373,16055
2415,27947
12024,6321
2415,35981
386,3696
2916,3696
2462,3696
7194,35981
20632,8008
5256,27
27,2766
59817,2415
10055,9193
2168,7195
2415,4373
35982,35981
959,37057
27,10949
16055,3680
2168,25287
51463,2415
2462,386
27,958
959,3681
53049,40918
996,6127
386,6864
12024,16055
2916,20899
10104,4373
26035,25287
386,14798
38038,2168
2168,3680
959,7923
2414,2415
958,18205
958,12032
41488,959
5291,2168
58637,2415
386,1300
2415,61427
29512,2415
37057,959
29492,27
27,11325
27,10207
10055,3037
27,29492
996,3696
959,10013
386,11325
11645,74702
7669,27
2168,2415
35981,7194
12024,2415
3680,959
20899,27
5613,5612
5291,959
2461,996
2415,15761
