sportusesstadium_inv_1,sportusesstadium_inv_2
38,39
1775,47
4360,47
5403,947
8942,39
8720,47
11884,47
4788,39
13715,47
14769,47
15209,39
16686,47
16864,47
17568,39
18413,47
18614,47
21068,47
17251,47
10261,947
22902,454
24958,39
26191,39
26899,39
20572,39
29345,47
31937,47
32050,47
32212,947
32576,47
4874,947
33678,47
10059,47
27765,947
35391,47
35856,47
36197,47
8942,947
25936,947
37454,47
37605,39
8799,47
11068,947
38334,47
39051,47
22737,47
41835,47
5075,454
36113,47
35842,47
18819,39
16603,947
8605,39
34736,47
11068,39
47079,47
47192,47
47443,47
47867,47
25682,47
22638,47
11965,39
20572,947
1558,39
24895,947
50978,47
51828,47
27319,47
5403,39
8289,947
53880,47
37068,39
4061,39
10927,47
13070,47
57000,1141
10705,947
57192,39
21410,47
6285,39
24960,47
12949,47
58870,47
60800,47
4874,39
16311,47
31959,47
9401,947
6349,47
18819,947
53337,47
62793,47
63604,47
15424,47
63803,47
15519,947
32392,47
5905,39
64872,47
28917,47
65943,47
7535,39
39711,47
3577,454
22594,47
10705,39
30342,947
36064,47
8605,947
9235,47
9498,39
57451,47
10488,47
20397,47
37415,39
66689,47
38772,47
54037,47
21045,947
40604,47
52655,47
6276,39
15610,39
36354,47
17480,947
4061,947
39780,947
70061,47
9461,47
17607,947
46750,947
1080,47
19925,47
14618,947
14782,47
13501,947
8197,47
19938,47
6577,39
32097,47
72447,47
51188,47
9421,47
24250,947
44344,947
3021,47
9401,39
21720,39
38755,47
17676,39
3547,39
33661,47
16130,947
17480,39
51565,47
23622,47
4049,47
22817,947
9195,39
3636,47
63100,47
14618,39
52971,47
59833,47
19362,47
44522,39
13185,1141
5015,47
29809,47
35151,47
7484,47
72970,47
22854,47
8992,47
66598,947
74612,47
65364,47
62943,3531
39983,47
35521,47
52643,47
869,39
17067,47
75277,47
