athleteplayssport_inv_1,athleteplayssport_inv_2
47,515
47,713
454,942
47,1014
454,1051
1141,1142
47,1663
47,1795
47,2647
47,2898
454,2989
47,3160
454,3236
47,3317
454,3796
47,4028
47,4204
47,5098
47,5376
47,5487
47,5518
47,5543
1141,5865
47,5935
454,2869
47,6046
47,6462
47,6572
47,6725
454,6755
947,6926
947,2507
47,7051
47,7241
454,7533
47,7659
47,7966
47,8001
47,8065
47,8143
47,8365
47,8558
47,8595
47,8805
47,8874
47,8875
454,8881
47,8900
47,8947
454,4309
47,8986
47,9067
47,9087
47,9157
947,9331
47,9419
454,9622
47,9693
47,9697
7930,9908
47,9925
47,10077
454,7067
47,10095
47,10217
47,10614
47,10713
47,10763
47,10886
47,3020
47,10905
47,11017
47,11072
947,6578
47,11479
47,11747
47,12276
47,12388
39,12519
39,12524
47,6381
47,9032
47,12990
47,13071
1100,13107
1100,13512
47,9261
47,13567
47,13604
47,13827
47,13922
47,13965
1100,14127
47,14147
47,14164
47,14313
47,14334
47,14432
47,14437
47,14447
47,14700
47,14710
47,10825
47,4663
47,15159
47,15177
47,15306
47,15451
47,3596
454,15613
47,15648
947,15663
454,6257
47,16035
47,16086
47,16137
47,16163
47,12072
47,16264
47,16378
1100,16424
47,16538
47,14565
47,16743
47,16905
47,16962
47,13987
47,17103
47,6876
947,6675
454,17195
47,17293
47,17321
47,17322
454,17424
47,17460
454,12306
47,17502
47,17566
1100,15523
47,17941
1100,7316
47,18009
47,18093
47,18109
47,14722
47,1605
47,18374
47,18479
47,18590
454,14955
47,19116
47,4283
947,19486
47,19566
47,19858
454,19975
947,5926
47,13329
47,20195
1100,20298
1100,20479
47,20506
47,20511
47,5507
454,20587
47,20646
47,706
47,5631
454,13240
47,20817
47,21034
947,21038
47,21095
47,21260
47,21275
454,21279
7930,21349
47,17875
3531,21371
47,21415
47,21440
47,21488
47,21761
47,21839
47,15441
47,8037
39,18111
19988,22131
47,22139
47,22154
1100,22222
47,22241
1100,11902
47,21906
47,22381
1100,22415
47,22078
47,22500
47,22649
947,11076
454,22687
454,2590
47,22864
47,22869
47,14188
47,22878
47,23177
47,23311
47,23776
39,23844
47,23883
2297,24102
47,24448
47,24560
47,24690
454,2051
47,24749
7930,24777
47,25261
47,25341
47,25438
47,25558
454,2966
47,25690
12403,25705
47,4688
47,25821
47,25860
454,14466
