agentinvolvedwithitem_1,agentinvolvedwithitem_2
2319,2320
2616,2617
2747,2748
1136,2788
2814,2815
3346,3347
3739,3740
3838,3363
4330,2748
895,2940
4686,2940
4757,2748
4838,4839
4936,4937
1136,5787
6034,2940
6047,2940
6174,6175
1445,6518
6726,6727
6955,3363
1136,6956
7855,151
8031,2940
8322,2940
1136,3363
752,9411
1978,9420
8477,3363
10583,2227
4936,8596
1136,12967
13429,2940
1978,13573
6174,4484
13849,151
1978,2510
14330,14331
7264,14455
2868,2867
2269,14903
1136,15161
6635,14903
15339,2940
1136,2748
9490,2940
15756,3363
6517,15819
3739,15838
1364,16554
16801,2940
16857,16316
17102,14331
1978,17192
17474,2940
17554,2940
1978,17530
17916,2940
18180,3363
18294,2748
1523,14903
1978,19010
4838,19117
19171,2748
1369,3756
3739,19608
19667,3363
2868,19708
4936,2670
1364,19773
1978,19986
20373,2940
11866,2940
20702,2339
1136,21149
21381,2940
1007,3363
21850,2748
21875,2940
4213,2940
1136,22258
22400,2748
22425,2940
2390,2940
2616,19482
1833,2940
1978,22675
5095,4937
23316,2748
23335,2940
752,4937
12362,3363
23635,2940
752,23679
10280,2748
24171,2940
4936,24283
11199,2748
3621,2940
22400,24817
24841,13332
2616,9557
24970,2227
25146,2940
7900,1370
1369,15126
10463,26265
1445,26525
11199,2940
11286,26639
26743,2940
2205,2339
1978,26873
26978,2940
1136,27094
10106,25187
1136,1135
8812,2748
27439,2940
14121,2940
1108,2940
1369,28023
1136,28644
28679,2940
1978,28705
18067,25637
3739,29023
29150,2940
18067,29341
1978,29412
4285,2940
7098,29572
7635,2815
30026,2940
16857,24119
30391,3968
554,30526
30852,6727
4330,3363
4394,2748
31023,24817
3006,31182
8150,2748
25245,3363
30801,2815
1136,31726
30447,10363
19710,32020
32063,2227
7098,21828
1136,32252
30801,2940
5677,2940
1136,32781
1978,33109
33169,2940
33230,151
33590,2940
1978,33608
33729,3363
6704,2940
2868,34169
6517,8772
1364,10774
6174,31815
1978,3363
34856,34857
1136,34901
2616,6175
35040,2940
35138,2940
29262,3363
3739,35241
6726,3363
18067,35608
9490,2867
2205,35937
30447,2227
6517,36396
36437,2940
2205,3347
13601,2940
3739,36597
8073,3363
3739,37186
3346,37334
1978,2940
37372,37373
6517,6518
18067,37520
37561,2940
37638,2940
15890,2815
4838,37839
1136,37891
752,37940
38171,151
7177,2940
38335,2748
5095,23679
11286,22384
31074,2940
38285,3968
39320,2940
3346,39366
3739,39427
5872,2815
7900,16770
1136,39534
1136,39590
22425,3968
1136,39687
40135,2940
1136,23462
1364,27873
1136,40761
4838,39427
1774,2940
40976,2940
41057,151
11286,11285
41268,2940
4838,19537
41480,2940
1978,41779
41792,2940
20880,10843
42068,2940
10778,3363
1275,2940
9353,2940
33955,2940
42484,3363
1364,29517
1632,2940
4330,2940
42978,3363
1364,2617
5872,2339
43307,2940
43343,2940
11286,43363
43684,2940
33953,2940
37040,37039
3739,43849
3739,19117
44090,2940
1978,44101
798,2940
43684,2748
1136,18786
1445,29341
6174,30630
1364,28755
1136,14160
44789,2940
2868,19010
1136,28705
1136,2940
44892,2940
45008,3363
45117,3363
10778,2815
32382,10843
1136,45367
15867,2940
5737,2940
1364,30630
6174,19773
30,2940
3235,2940
15339,2748
1136,38491
1136,37373
1136,46019
30137,2940
3346,30567
7264,15105
46260,2940
4936,10774
26877,2940
3739,46336
40858,2748
7264,46654
1136,46892
1445,19237
2205,47312
47326,2940
7635,2748
23335,2748
29262,2748
1978,47971
48043,2940
6517,6516
1364,2670
1445,7154
7098,48474
18421,2940
48532,2227
1512,2339
40812,42176
3033,2940
34061,32144
6174,27873
4936,23679
6704,3363
1136,39176
42531,2940
20137,2940
7264,49421
1978,2684
7098,19922
2747,2940
35851,2940
1978,42062
1136,21832
42270,2940
10715,2748
4936,4484
4936,29517
1136,50277
1445,25637
50540,50541
1136,7474
50644,2940
34550,33821
8031,3363
1136,50675
28634,34125
37134,3968
7098,48877
1136,41721
11239,3363
7098,49609
7328,2748
3346,41482
7635,2940
28138,2940
1136,37628
40392,3363
30436,30435
7098,20185
10364,2227
51739,10843
7098,40353
1369,10843
51835,2940
46632,2940
47998,2940
48640,2940
2153,2940
1136,50112
46314,2940
13681,2940
1136,52691
1136,52774
44825,2940
752,17200
5872,2940
9344,2940
52867,2940
752,52781
1136,23132
6517,32126
39114,2748
53010,2940
53066,3363
3739,52774
53097,10363
3969,2339
1136,53231
