bodypartcontainsbodypart_1,bodypartcontainsbodypart_2
1365,1366
1450,18
1906,118
1365,2316
118,2468
2655,2656
118,3176
3444,3445
2742,3509
3732,3733
2808,3834
4012,4013
4091,4092
4466,1365
4635,4636
2742,5157
5249,5250
5429,857
2808,1402
1725,1450
118,6692
6766,6767
7079,118
7185,118
2742,7332
7362,654
2532,654
7574,1365
2742,7631
5042,7937
2808,8170
3732,8287
858,118
118,8456
1450,8809
1450,3834
5892,5336
2808,9668
753,3445
2742,7574
118,10020
2808,4635
2742,8517
858,857
1365,10351
10093,118
753,10911
11177,11178
4012,11274
118,11531
3732,1556
3182,11787
2808,11830
2742,753
118,12074
2808,2742
3182,10911
12763,5607
2808,10351
4091,12898
3445,2742
13090,1725
2808,13206
13403,654
118,2742
8517,13436
2742,13943
118,3153
14034,1365
14167,14168
2655,11274
118,14917
3732,857
2808,15168
118,15670
15969,118
2808,16078
16100,118
118,16511
16591,1450
118,16955
17126,118
17546,1365
2808,17872
3182,18276
2808,18352
18611,1365
18666,1365
14320,7586
19173,2742
19655,1450
3733,857
118,13436
2808,19836
10020,20061
3182,1365
118,20316
20543,1365
1365,20543
2808,13401
1450,17872
4635,654
2808,21869
118,21973
4091,22372
2742,18859
118,22511
3445,5892
2808,23606
23697,23698
2808,23930
3182,1725
118,23982
118,24105
21598,118
10020,5607
24447,1365
2742,17126
118,14389
118,24708
2742,25058
118,25082
118,15445
25114,1365
3445,7574
1365,25315
1450,5607
18666,3445
25507,25508
118,25646
25652,118
12799,118
118,25750
2742,25841
3444,11464
118,26155
2742,7937
18885,857
27124,857
2656,857
118,12763
3732,22260
27047,118
3732,12074
5042,18859
13659,654
1365,10984
2655,16498
118,5042
28505,857
118,15969
1450,4091
28873,2742
3732,28505
29526,5336
1362,118
1365,23706
2742,118
2808,30089
5042,8517
2742,24979
2808,15445
30703,3182
2742,10301
16591,118
2742,31060
5832,1450
118,26319
118,3445
31563,25508
31788,654
31843,2742
31951,14320
25508,32148
2808,12797
118,32280
32453,1725
2808,32509
2808,32608
118,32735
118,32836
32941,118
6671,654
1725,3445
2808,33458
11178,19389
5892,18859
17126,654
4012,10911
33806,118
2742,34031
2742,12799
2742,5336
2742,34115
34184,118
8517,1450
14167,14320
118,3509
118,34557
34561,5336
3732,33458
11177,857
