professionistypeofprofession_i_1,professionistypeofprofession_i_2
220,221
451,452
520,521
960,334
999,221
452,1036
1104,1105
1854,452
334,1886
1105,758
2355,221
334,2644
520,2697
1494,2721
2181,2816
2822,2823
2845,1036
2858,334
2933,334
452,334
3377,3378
334,3683
3716,452
452,3788
1393,3267
221,4055
4436,4437
4702,1105
4743,1393
334,2721
5118,1494
5349,334
1569,1570
5365,1393
5385,452
1393,3196
221,1393
5635,334
220,2816
5698,5699
1494,1392
334,5903
5991,1393
6054,6055
6874,5855
7313,7314
334,7414
6054,1393
334,7580
7796,7797
7915,5592
334,8068
8123,1494
334,8319
6173,521
1036,1393
4039,203
9105,221
5385,9317
1393,1494
1105,8500
7580,1105
1104,5592
10091,221
960,10128
4129,5855
5592,7797
1105,10548
4436,4039
1105,11004
1494,10975
11255,221
11354,334
11893,1393
334,5635
7764,334
960,6846
2182,1036
1105,4437
334,12309
10813,7915
334,3267
12850,12851
8859,10975
12934,452
1105,13003
6173,13062
5592,221
334,1083
334,11964
11893,334
4461,13671
3196,11018
13916,13917
334,13966
334,4436
203,14154
4436,10387
14281,6055
14297,452
14363,14364
7504,5365
7915,1494
11964,2816
334,14934
334,1206
14311,334
452,4436
15356,15357
4437,334
10813,3378
15629,5855
1393,1104
15940,1392
452,6054
6054,6173
4039,1563
7668,221
334,16202
4437,1105
1393,5991
3716,1105
4436,11303
334,16271
221,10975
2822,220
1105,521
1494,14259
1105,16438
1494,16571
1105,16620
16730,452
7683,5365
334,2181
17000,1105
17135,334
334,17172
2816,203
1494,14311
17980,221
8859,221
334,18147
4436,1494
9836,5592
334,18538
18649,221
6173,18664
1084,334
2816,18756
1084,2816
334,18919
2181,221
1036,19197
520,10052
334,6054
11506,334
5592,17919
14297,334
10813,1036
1494,960
6173,2816
19791,5349
4437,221
5855,10845
12309,334
6173,1563
1105,11431
203,4437
1494,11506
334,11438
12850,425
1393,1420
5591,20366
334,20422
9535,334
334,20648
7668,220
1105,4463
334,21059
334,425
21201,334
334,10387
5635,1036
21515,4039
452,7915
4437,21602
10091,1083
11893,452
452,1564
10975,22177
2479,1393
16438,1105
4436,3831
452,7580
334,3716
334,22730
22799,1393
4702,452
221,5365
23260,1393
23318,1393
1105,221
334,23550
23655,11303
334,8123
10387,1494
8859,1393
334,6055
23917,23916
2355,1105
13966,1105
7915,4436
24736,1105
1494,2823
12934,1036
4039,24883
1105,10975
1810,334
334,25105
2845,7915
5592,7580
334,17393
221,11553
4039,451
5443,334
334,9883
9946,5385
5592,7796
2644,334
18919,14311
374,375
221,2933
203,334
5855,26498
1392,4437
11437,1084
5592,2816
334,26823
5855,4039
6055,1105
1393,4437
334,7797
11303,10387
220,334
334,2509
6874,452
334,18467
13917,334
4039,1036
221,1854
4321,4322
220,10813
27739,334
221,5855
27770,11893
24883,334
8125,2182
374,28103
16571,10387
334,24883
13191,21057
5385,1105
16749,221
7580,334
334,23298
334,15108
221,2822
10387,17393
334,12507
6457,10975
9836,21120
1105,29024
221,14311
3774,334
4039,8123
203,28958
1494,13917
452,11320
27376,1105
21602,221
220,29611
4437,11893
2816,4436
1105,29645
334,9105
1036,9907
452,13290
1084,221
334,29830
334,5349
425,221
2721,334
334,3788
8500,6054
15928,4436
2355,452
11437,6846
1854,4436
334,2858
9836,334
21444,334
1105,5365
30784,334
452,30869
334,17000
4039,16271
334,2479
30945,10975
31057,221
4437,1083
334,5699
17393,334
31347,221
334,14675
334,5591
8125,334
334,6173
334,14918
1393,31596
334,4437
11438,1105
334,31714
23318,221
4719,4718
1494,4702
1510,1105
32136,32137
6054,1036
18147,5591
452,6874
1393,10387
334,32348
21602,334
334,3497
16271,334
221,1036
221,8859
4463,3497
18649,1393
1393,1036
1393,2823
30388,221
12507,5365
2697,374
30739,334
6457,220
13966,221
4039,33365
334,26818
33402,334
452,3831
14364,14363
8859,334
520,10813
1393,6054
520,221
23318,334
4294,2816
334,24474
1036,6457
16571,221
24659,1393
220,1083
1105,5385
4436,9836
4461,334
334,34713
520,16730
203,30080
334,758
452,34963
4436,10091
17172,334
35060,1036
220,6457
452,2823
1564,1563
16571,334
35345,334
10387,2816
6054,1494
35610,334
334,451
21544,1105
4039,35726
1105,1036
1105,35818
221,7915
2816,35853
34892,221
1494,758
6054,15928
4436,520
6173,20496
34415,4322
4436,3378
4437,6173
334,36280
4039,23318
2816,9836
26818,1105
36472,221
2822,7915
14281,1105
2816,10813
1494,3196
36711,7668
4436,5365
24351,221
37060,11893
37122,334
37197,37198
5699,334
1494,10052
22177,10975
1036,11303
8123,5365
4437,452
10387,17919
334,16749
37682,520
18147,221
334,27739
4718,4719
334,4461
334,17721
7915,2845
11004,1105
15940,11303
452,38040
452,374
38087,334
10975,2823
1105,38160
221,9836
221,6055
221,18919
4437,1393
31068,334
11158,2182
38351,11893
5592,4436
7668,4436
38479,221
4852,1105
19791,38592
334,11431
2182,7668
5591,1036
2182,1494
1084,6846
5365,10387
2434,334
6874,221
4294,12507
334,30211
4436,1854
34082,34083
30225,1393
334,32514
11211,960
520,1494
4436,2816
39727,221
1105,11964
334,7915
1036,11018
1393,39886
1854,2816
1083,4039
334,12850
5855,374
5365,221
4039,1083
1393,5365
40181,3497
7796,40200
40210,334
1494,40252
2181,1494
10128,334
37343,334
5939,334
20496,5365
6173,18919
758,334
30284,334
452,4437
374,41019
4437,10387
41063,334
334,41094
1494,8500
4039,5365
334,16438
1494,15928
334,18308
4436,758
1105,40181
6173,520
334,7668
2816,11964
4436,16571
334,9550
4039,20496
13966,5592
24972,10975
42066,6055
9836,452
3196,1105
452,10861
11893,10116
960,1083
334,30461
1105,17919
7668,1105
42483,221
30284,12850
29024,40200
334,42607
40550,334
4437,2181
15940,221
334,9907
1393,42818
1494,3378
7796,20366
4436,14172
2816,1420
1393,2479
43020,334
221,16571
7314,43244
10091,1494
4436,2355
452,520
10548,24972
4436,30225
334,10091
15928,221
221,999
1494,16730
5365,334
7915,10813
10548,334
3196,1036
6173,220
10387,1393
221,6054
1036,203
6173,4039
44037,1393
1105,44047
5592,3196
520,334
6054,221
1393,26818
10548,452
5855,221
3774,452
758,1105
334,16730
12507,334
520,7668
37842,1105
1104,334
1393,5592
6055,1393
4436,14154
7504,6846
334,44708
5855,334
6173,3683
26823,221
334,21444
220,1105
44906,334
1393,24474
45054,21515
1494,22439
334,40712
10387,30388
220,11018
23655,221
45323,221
221,16438
6173,2933
451,334
1105,6055
1494,8068
5855,2182
334,12279
4436,44254
17919,1393
5699,16730
758,221
5592,7915
26534,334
334,4702
17919,4436
4436,221
18467,334
5591,17830
1105,14281
4702,220
452,10387
1084,5365
220,4039
18612,1393
1105,37842
452,204
203,452
520,37682
7668,5365
374,26498
334,33226
47314,334
17919,11303
5591,40200
26818,1393
334,44254
7668,1036
334,47627
6173,2823
5855,41019
47721,334
452,9836
39615,4294
2816,40200
2479,334
5039,334
334,35345
11438,2355
334,23655
24883,4294
4436,31596
17919,1494
48188,1494
14172,334
48225,221
452,15928
1494,47627
48305,1036
10387,1563
221,2182
4436,13191
21059,1105
758,4436
34083,34082
334,19197
452,3196
9535,221
5592,9429
334,20536
1036,2845
334,32443
9550,334
452,1494
4294,334
4437,4039
1854,7668
24941,23318
17479,48876
334,14259
334,21544
334,48966
4039,10052
13714,1393
10813,14154
10387,221
39886,334
46834,334
41553,334
10813,10387
4039,16438
1393,7019
2822,1036
6054,334
334,3196
334,48225
1494,18919
1510,452
44922,960
23318,452
4436,4294
49858,221
5365,6055
10975,6054
334,8859
10975,4436
50120,334
1105,452
1393,44037
2816,7314
334,1510
334,41063
9836,4039
31347,13917
220,2823
42945,334
334,1420
4436,15928
2816,10975
334,50466
9836,10813
1083,520
14154,10813
6054,452
7668,18147
16202,334
334,14952
1036,48188
4968,520
334,4129
6173,12507
1036,10052
10855,40200
50997,1854
2816,51042
11431,1105
15928,10975
4436,16438
15928,334
11211,221
334,21602
2181,5591
24474,6173
6054,220
1393,11303
204,203
6054,5365
334,5118
3378,203
334,4039
16269,1036
10975,1393
334,51603
2822,1105
334,11158
2845,10975
19197,221
16749,51735
221,425
31714,334
1084,12507
16749,1854
17479,5365
37198,37197
6054,10975
4039,2355
5592,5991
334,30739
334,42825
52225,221
4436,334
221,18649
26818,334
1494,52327
6457,1036
1494,28995
7314,20536
15928,1105
334,7313
1105,2823
1886,334
1104,1393
13290,334
36711,4039
1393,220
30225,221
8859,18649
334,2933
11303,4743
334,52734
1494,17393
7915,452
221,7504
1036,1105
334,52983
10975,8859
221,53038
37842,452
6173,17399
334,53087
2823,5592
1105,43111
1105,6457
1393,7915
1036,4039
452,8859
7915,1393
36280,334
334,20658
33923,37381
334,53474
1105,18308
334,53526
1494,9836
6173,334
13191,1494
5385,334
334,31068
18649,1105
521,520
11018,2816
18122,5591
5592,3774
30211,334
10813,10975
24972,48188
758,1393
2182,4436
4436,21544
334,46834
203,5591
1494,5903
27376,334
1494,17919
1494,520
20998,5855
3267,5365
221,1084
4702,5365
221,452
334,12934
334,204
4039,452
40627,334
10387,6846
17000,334
41094,334
48188,334
1083,334
15394,334
334,14281
1392,334
11303,1563
1494,2816
1393,22799
452,8500
55469,221
1393,4005
4436,452
334,55538
10975,11018
34713,221
46347,334
15108,203
23348,334
10548,1393
2822,334
2816,55600
1564,221
24736,1393
1393,9535
19197,334
1854,1084
758,452
334,39693
26823,334
6173,1083
1494,55856
21515,334
334,55894
10387,55934
452,11018
2181,10387
1393,8859
333,334
10052,12279
8500,1494
1036,48616
44577,6055
452,15435
11303,1036
11431,1393
1393,24972
16730,221
7314,32541
1563,1494
2182,452
21515,221
334,1105
5991,221
220,5365
1036,2181
13290,1105
1083,220
5991,5592
32443,334
1494,220
3196,221
334,57063
220,27001
5385,9946
10975,5591
6457,334
374,57184
1105,13966
19528,1393
1105,6054
15928,1393
1105,4436
334,3774
221,1510
334,39886
12507,1084
2355,5365
6173,9535
334,1563
10052,13671
334,38864
1393,1563
6054,8500
44577,5365
5592,204
11303,1393
1854,1393
1494,2181
1105,8859
30080,203
334,23917
22235,221
1494,5385
2182,5591
33099,13917
10813,220
334,521
29611,10975
18308,452
334,45769
1036,451
1564,20496
5698,44922
2816,4463
6173,221
334,58072
203,10813
3267,452
221,40550
4039,9836
6173,14675
14172,452
6173,17919
334,45054
3196,10387
334,31567
1105,7764
4294,39615
1393,1105
35887,5443
5635,10975
7797,334
334,44906
16271,6055
18919,221
52181,21057
6173,23318
334,58582
58626,334
58789,1084
1494,10387
1494,58871
203,1105
38864,221
334,2434
1083,11303
221,2823
1105,22799
52517,5855
203,16269
3716,1393
59217,221
334,203
220,1393
334,10692
334,17135
5591,11893
1105,7580
334,1393
5592,21602
1105,10387
334,1727
452,10548
2823,221
6173,7668
221,34713
23348,221
334,32345
334,59650
5592,1104
1105,50466
1105,24659
4436,1105
334,4968
5385,1393
5385,10813
334,46347
758,3196
334,30225
452,7019
6457,221
334,24972
23298,221
1105,16271
1393,1854
5385,2816
11303,13917
334,60370
9907,334
5592,4039
42483,1105
334,32597
10387,24972
221,11018
52181,334
7668,1854
6173,1036
8859,220
334,60597
221,8123
2697,6874
203,23208
12850,16438
1036,27001
12923,334
334,18612
5855,452
4702,4039
10975,3267
22799,221
520,1083
334,61050
452,44254
1084,51735
7314,9836
334,61161
452,220
5592,14154
221,13966
221,3378
2182,1393
10975,5592
28958,2816
334,18122
334,23113
34692,334
1393,16438
8500,2355
334,9429
60370,334
9836,1105
334,61435
10387,1105
334,59891
7915,334
1393,6173
334,28210
2816,3196
8123,334
1105,425
1570,1569
37842,221
334,47721
334,53944
221,14154
4436,12507
24972,10548
3683,6055
4322,4321
3196,1393
16271,1105
5592,9836
2822,10975
452,7764
334,62050
5855,31714
1105,7796
11964,203
9429,334
3267,221
1564,4437
6457,3196
334,47314
452,2697
334,62383
16749,6055
4436,1420
48616,1036
13290,452
62428,11255
1105,11018
1393,42483
21120,9836
7668,1393
30461,334
1393,2355
334,62688
1083,16571
10387,2181
452,1420
4436,14675
1105,5991
221,520
334,48188
1105,18649
334,11255
38864,334
5592,13966
42818,1393
10387,7668
203,2816
1393,1564
374,22746
34415,63008
6173,5365
1105,1727
3196,8500
14675,334
5855,1564
4436,1393
24972,1036
4436,3267
452,23348
5592,1420
