citylocatedincountry_inv_1,citylocatedincountry_inv_2
127,1405
1824,1825
2288,2289
90,3452
977,1753
6437,6438
103,6715
349,6845
6431,7072
5108,7254
977,751
1901,8175
977,1916
9360,9361
9080,9684
1901,9736
700,183
9979,9980
6044,3104
9080,1647
11663,11664
3307,1134
3307,12415
4556,6936
6097,6096
13980,13981
10895,14116
13865,14441
14495,14496
137,14766
1320,15300
13865,7819
3040,4723
14350,14349
494,16411
349,479
3307,16741
16976,4316
16992,16993
154,17089
10940,17946
295,18474
2626,12641
2723,19355
7628,19416
3307,19506
19617,19618
4597,19989
7679,20555
154,1816
7679,12573
21197,21198
2723,21225
21584,21585
987,22118
8459,22253
2342,6734
319,22877
2701,23207
2723,23243
724,8614
1884,4007
901,23983
245,24769
9080,25576
2701,1399
103,25749
8554,25766
977,3488
6044,27482
4556,27648
8459,27650
5889,27965
245,29235
2626,29437
5752,29506
772,528
17792,29896
642,30278
891,890
5995,10503
154,31113
4597,31195
977,235
3307,16041
21925,21924
90,4310
19288,33529
989,29179
1061,19953
7271,7579
5995,34469
11628,29275
319,34998
724,35841
15355,685
349,35933
3273,36093
28756,36402
3797,36431
2288,34060
4556,15442
33742,10414
14110,16193
24473,27720
6044,19932
494,2662
21061,37676
128,38008
678,10266
19400,38369
319,38759
6097,7891
6323,39512
8473,39639
1901,39660
2335,21301
349,40839
349,41141
11663,14566
33013,21012
3307,41695
19288,41719
494,41839
3161,42050
1061,40303
6097,42864
13434,40338
13099,299
1320,19547
103,44461
20746,44879
103,44923
5501,19888
2701,45179
2626,1876
2723,45270
3797,37382
901,34457
494,6178
13099,8040
5705,46249
1901,46561
494,565
245,46614
17726,7862
13014,28580
3161,1646
1320,46980
5752,5846
21061,39172
8459,43521
2626,47815
977,28592
90,47513
5593,6837
31564,38018
3982,48370
977,6379
1188,45976
295,7921
1901,20604
22761,44481
642,611
2723,3883
5995,32433
15216,36126
2129,50247
642,1124
28529,28528
116,50619
13014,24092
12164,37643
9080,46846
349,52003
8075,52025
11663,52074
787,52182
6431,52235
6614,27568
90,74
36122,36123
53213,21931
27782,53326
2342,49144
2723,53531
349,53767
127,6386
843,5121
2723,53998
13569,54084
25107,54118
4556,4919
6097,17232
349,14879
8075,17893
6097,31561
6071,2080
137,54926
5108,10882
4556,305
50163,22839
494,53609
657,55271
8459,48060
15627,14580
1188,55794
22385,46596
3307,56249
41115,42899
349,38397
33108,33107
103,28391
5501,37406
3797,3222
494,24774
103,34721
116,8215
9767,9768
14110,38440
9302,20350
116,44654
787,4045
295,19208
6432,8592
901,24939
8473,5911
4915,3833
678,51207
116,8045
1237,10539
465,52150
494,1020
14069,58809
2723,54847
6044,24383
2701,5086
8027,10154
1059,59207
13037,56149
977,7452
5922,54941
59691,10986
234,59869
1059,3709
103,54396
3078,60249
2723,60415
2626,31775
349,1893
19665,19664
2401,51737
42274,48800
6097,60905
103,61029
3078,46142
1320,43602
2626,6422
442,48609
20746,57293
116,4325
3804,48775
2723,62421
1256,60001
901,2605
349,62731
494,27394
33419,33418
10982,6939
2342,63451
5501,36658
3797,54017
3307,63566
3040,63624
494,4880
11959,43137
12194,27003
2723,64001
772,29592
901,64529
17461,36835
25107,62457
4556,18046
349,64928
1158,42599
8459,48747
10089,61064
17758,65618
4556,65641
1237,9895
103,21215
5108,65814
3307,65896
103,5896
3161,56111
2723,64845
6323,40077
642,31918
5995,61042
787,57704
977,8091
4736,62791
891,66561
1901,66601
3307,2740
787,66722
127,5459
1061,27023
11834,66832
1157,40998
116,2350
4597,67240
35589,30614
908,16772
977,42
13569,13568
2723,50616
6097,40168
2701,43538
642,17633
6097,64945
1688,36368
3797,55539
5752,5753
5995,2082
843,12873
21146,21147
52372,52371
349,52390
2723,68703
8749,2036
9393,21470
27083,32947
17625,12580
13099,35919
2723,23942
9979,33963
6044,21051
5995,40810
3040,10231
3975,9133
11834,10241
17850,17849
4915,7480
1901,47323
2626,12770
103,34429
6044,29200
245,499
2723,70471
5501,70522
843,6736
2626,4684
5501,944
10523,63823
13569,6938
636,55685
3307,54737
3161,39567
35773,49209
787,24775
127,11187
1059,71251
977,7939
5995,38740
31564,63014
23402,65087
3975,6119
3078,71227
3307,56956
9080,8238
6097,37054
10172,56175
17523,9480
9080,66292
3501,4060
30250,47735
787,9404
127,20223
10089,61983
5501,70977
1188,72235
6097,39665
2723,72345
6044,41940
700,63692
3307,6674
44722,65779
89,62453
494,9900
977,207
319,39607
103,31911
2723,61179
349,69686
3348,70117
2723,43486
11561,63631
7836,1668
4556,60338
1237,14570
2723,72931
15216,60804
977,250
14069,55686
1817,44058
89,4983
2401,3639
494,39463
4556,17177
103,3937
9767,48478
1901,50198
2723,12769
349,50969
1901,59555
10895,1891
1901,55160
3975,60122
5501,72003
787,72784
1901,21785
2701,73713
89,71132
10895,69438
2723,43155
2626,73754
4133,22650
3307,15527
9239,1744
5646,5647
1062,9430
4556,18184
20746,62640
4133,37297
2723,66707
349,73635
3975,19396
13569,50787
494,66808
349,21300
3307,17455
5501,49054
6044,13590
4556,15735
1098,800
20204,34015
8459,4053
116,23608
4556,12612
787,35216
13099,62100
6431,17604
642,56277
82,5228
977,731
9840,45062
3040,38034
2335,71276
28756,15446
17523,9889
11663,72175
245,39016
2723,68820
18879,24415
724,59256
787,74780
6431,71406
9360,69779
5593,13391
1901,71348
1059,74902
47964,47963
1061,73621
35072,50904
5043,69172
977,133
3307,57754
1901,40166
103,74945
2723,47474
8473,36290
636,8692
90,4575
4915,66063
1062,9015
127,9500
972,3148
3307,28437
5752,75118
4556,43863
116,13464
103,74359
11663,73703
1188,74513
4556,14635
319,69906
295,74568
245,58779
5501,75281
5043,34860
26366,26365
15152,66178
349,29124
2204,33085
5501,50769
18682,62603
19885,19886
14018,13418
787,22699
16992,18804
16675,70120
11628,43635
75429,3880
5995,38573
8554,8394
5889,9523
5593,73832
977,2760
3307,13312
3078,75238
9393,62119
977,5019
14806,14805
4556,21914
678,70584
8459,74773
349,38982
5995,50038
6431,7208
6097,46780
