headquarteredin_inv_1,headquarteredin_inv_2
1855,1856
250,2467
133,4808
5086,5087
133,7161
7746,7747
9293,4445
9500,9501
133,10282
133,11201
410,11359
11711,11712
1020,12423
13313,11770
133,13731
2113,11469
751,8463
4099,15380
133,15400
133,11430
250,7352
133,17337
183,17845
14570,18793
207,18996
4099,19768
19811,19812
133,13836
207,8295
15002,20870
16414,20918
133,4378
4499,20827
133,11428
6379,22034
22243,12535
133,20042
6657,15383
4099,12791
133,24441
9422,24660
8091,24978
133,25239
4833,26274
9422,13472
133,26745
330,14268
464,27971
133,24199
4561,28714
250,20167
1134,20800
330,329
133,29528
10372,29884
133,30174
250,30186
133,2772
133,30861
133,16480
133,34036
25583,25584
30874,2521
7049,1271
16373,14330
250,340
2605,36148
133,37012
133,37159
133,8023
133,38092
10372,31307
133,12557
183,816
133,18627
9500,17688
133,38291
8276,5944
250,544
16414,28536
12280,20885
250,2917
207,6571
250,185
133,8345
133,42291
36583,12982
235,14456
9809,13782
6562,1369
207,15758
133,14247
133,43212
299,43542
250,43746
18087,15224
133,16690
133,4749
2953,22355
2953,7878
133,45802
299,3228
133,46255
133,1063
2113,47435
133,45199
36583,38327
15237,49206
2802,477
10372,3915
3579,10733
751,6536
3,698
499,8044
133,19177
16884,10948
133,3152
133,15631
2514,51599
250,11079
7495,49958
133,17747
250,14252
133,134
133,1535
6379,2436
1776,6928
250,11627
39386,39387
11664,18772
133,11045
133,18110
565,15447
410,55228
23760,1699
133,32018
133,2668
250,17145
250,8736
133,12474
556,3184
207,20521
7939,4451
133,29270
6379,57215
8413,43966
133,57633
40081,57945
250,37898
2953,2047
13627,8810
2607,906
133,4680
250,42098
4723,36254
133,3082
133,36974
7057,17921
8276,5943
250,2498
2113,4703
30874,4232
133,19354
250,50133
5963,26868
1079,43075
250,55362
207,10893
10372,22224
499,498
4325,5232
133,50581
2558,27914
133,59548
133,42058
133,9443
7049,15919
6181,50337
6379,5460
914,9273
133,7158
299,6890
10327,16367
133,46222
133,63496
133,35587
9133,54997
22117,18715
114,63695
133,9264
133,6635
299,53328
250,186
225,2803
556,13295
133,52701
225,10708
250,28782
15929,65624
12280,20884
13313,4193
133,1371
23760,2859
3518,238
133,95
7939,19794
250,620
1825,7374
133,4
250,10474
250,7129
235,20306
7939,13665
13756,67099
23760,67162
32877,33466
133,46343
250,22832
1020,19321
133,41990
133,67624
250,12790
5121,4151
611,46958
39607,29561
7246,43860
133,4358
133,19859
4499,10203
16270,54534
3,293
11769,52806
133,10578
39330,19145
11268,11267
330,14583
917,19155
10986,43110
685,39989
207,68770
133,15023
250,69031
11769,58575
751,572
3865,27258
133,227
17897,17896
133,1424
133,59518
28299,1875
133,34474
751,12650
2113,11667
16373,15810
6379,7730
64295,2073
3518,50922
133,45638
250,68421
133,5023
133,2669
133,31038
133,179
330,554
133,40906
751,3175
133,50042
1876,70661
914,29597
10372,756
7049,52110
133,6533
71450,18218
8647,7883
9365,58633
133,6176
42160,64464
12280,4739
133,43722
7939,17341
133,67068
6837,14183
2307,23651
133,57307
1855,4947
250,6500
16373,21285
731,49733
133,37556
4007,57253
10372,48970
330,11286
16373,4280
2113,2231
133,9116
19212,7060
17897,4603
133,10389
15936,15937
235,4577
170,169
1891,32964
250,11726
6422,2364
250,13188
250,5263
611,46993
16373,46156
133,26621
479,18783
2050,73980
133,30274
133,39922
7939,19511
8047,2559
250,70950
10882,74363
133,60349
1882,33941
5228,46865
7495,31281
133,29918
133,6342
556,18080
38897,25336
133,13506
10515,10516
6164,67402
7049,24263
4120,4119
133,593
1916,20964
133,73036
250,45590
133,74951
2307,15050
250,40658
207,5952
10372,40373
133,8417
914,32371
207,57291
1079,56390
8647,68047
133,59735
751,14590
5911,16592
133,12610
133,26675
13627,31409
15002,3342
250,16152
3880,17371
7904,1381
1916,44630
133,5359
133,29334
21785,7377
4888,25873
133,14200
3,3381
250,3451
133,20043
16373,7627
133,2405
42160,67442
133,7335
133,74074
133,17182
133,65666
133,4105
9365,28208
10372,37474
133,24344
914,23032
528,42946
3488,75426
611,12768
9480,40526
2953,4903
133,11467
133,27042
133,34846
