coachesteam_1,coachesteam_2
3187,1048
1542,12379
13228,5002
15417,551
774,87
16997,9964
14854,11847
4014,450
13219,15727
16138,7116
20673,10467
25087,25088
22888,4853
26853,2703
9662,2755
23449,5242
13579,4383
34201,7039
10941,3745
38357,3179
33559,11511
22885,8286
26275,326
30582,6913
21205,21181
10028,2341
40051,48354
6716,5560
6926,10922
49093,44742
28171,3893
45551,449
51636,4659
37673,392
16760,16759
24451,19461
11827,3383
4149,476
11016,422
19762,5361
57266,17579
7045,4661
29979,27331
36269,2733
22693,25255
4309,11231
51111,1116
55407,281
52769,5181
17190,552
12625,12788
61262,2476
30328,350
15137,10392
12948,99
14745,690
21664,3665
20629,11013
24776,3314
7448,61219
3784,486
8273,447
34604,1081
21788,13920
25859,3558
21343,21342
22418,1284
67764,12031
8412,379
7805,3393
24189,13365
39821,17927
953,4779
32326,562
61334,3821
3137,4867
37959,487
22249,29061
40193,4631
38974,9724
63040,10961
25739,3567
30863,1493
25427,4165
40625,2173
12613,2338
26930,4048
31967,22573
53102,4899
48066,8148
22641,421
9929,2593
15836,16296
32288,15906
61442,11716
3618,3772
23865,2286
47565,1987
30623,9262
27277,8532
34641,1914
24129,4183
51628,51627
15892,2004
28595,932
16906,34420
9259,21669
3000,882
39164,3188
28100,25463
25816,35
70219,5636
33956,8814
47746,18198
36912,36913
10003,971
46217,14983
3154,4602
10776,33672
7427,3293
19146,8160
16615,16614
34458,7881
45256,6305
34195,256
6817,6816
63467,7068
5926,69
14218,6744
33653,68
6484,34
13564,2964
34235,26259
