countryalsoknownas_1,countryalsoknownas_2
89,90
127,154
1157,1158
1320,1321
1158,1157
3348,1157
3811,127
5043,127
636,127
127,6323
614,6069
7271,127
127,7394
1320,127
127,8749
127,724
703,1157
843,127
678,127
901,1188
127,8036
5922,127
3124,10982
127,1158
15355,1157
1901,901
16142,5752
1321,127
1157,972
127,17461
1098,17523
13014,90
1885,127
127,12015
127,5010
127,3832
1817,127
127,442
127,8861
127,103
127,19665
127,8459
6069,901
5505,127
614,989
127,11663
7394,127
1061,127
17523,90
4597,127
127,1188
127,20204
5752,127
127,21197
787,127
90,10109
8075,127
17461,127
12277,6069
1157,6071
6323,127
12164,127
127,4556
127,3975
642,127
127,891
14110,127
614,28384
1320,5043
127,10940
442,127
2626,127
19400,127
3040,127
772,90
127,15152
614,8027
90,127
127,11959
987,127
33013,127
127,5501
127,14350
127,31564
6069,12277
127,34342
1157,35072
3832,127
2204,127
127,1256
31564,127
29245,127
127,989
127,2723
127,2342
614,81
2288,1320
127,10089
127,1901
6044,127
1157,17664
3062,127
127,5752
127,8027
127,9080
127,5889
20746,127
19885,127
13655,1157
614,90
90,9
34342,127
614,1188
127,3161
1157,154
127,17792
19400,90
127,5043
127,39132
127,494
127,4884
103,127
5863,26964
45360,20204
127,703
127,987
1188,128
989,901
127,7660
5995,127
127,33013
127,1098
8036,127
127,843
127,8262
35072,127
127,11628
319,127
1320,3811
1098,614
3348,90
127,977
5889,127
614,154
127,972
972,1157
7660,127
295,127
45313,1157
2701,127
127,636
16992,127
90,17523
8749,127
8262,127
901,127
20515,127
1188,127
127,17664
127,3273
1157,53151
13099,127
1157,14132
2335,127
17726,127
127,6069
703,127
977,26964
127,17523
127,2626
15216,127
127,4736
127,6097
127,2288
8554,127
127,14018
127,9840
3040,90
908,127
127,3706
127,56038
154,1157
127,13099
5108,127
127,12164
127,245
127,13569
127,14110
127,319
11663,127
127,234
127,3797
22130,127
234,127
127,90
1098,127
11665,127
127,3078
8943,127
21061,127
465,127
127,9302
127,2455
977,127
127,13980
2288,127
15152,127
127,1237
908,3273
989,127
614,2723
2455,127
11628,989
787,908
19665,127
127,4915
127,10982
1901,127
56038,127
614,17523
7836,127
4556,127
127,787
614,14132
127,1061
10523,127
127,10895
127,6044
127,642
90,13014
1188,1098
787,989
127,5646
614,27083
787,6069
614,29422
90,8075
8861,127
127,2701
1256,127
12015,127
127,47494
1062,127
16992,90
1157,703
127,15355
127,9274
17523,1098
127,27083
3161,90
1824,908
127,1062
127,19400
13230,127
127,13014
891,908
127,13434
127,1811
127,6071
3804,127
127,14132
127,29245
10940,127
127,309
1884,127
614,5108
9,90
127,700
3975,127
127,35072
127,295
8459,127
127,678
127,4133
127,1157
1824,127
127,1059
972,127
3706,127
908,4597
17523,127
908,1824
127,1320
1321,1320
14069,1188
4884,127
12164,90
908,787
245,127
127,2335
5501,127
614,977
724,127
128,90
6431,127
908,11628
10982,127
2138,127
1811,127
18879,127
700,127
1157,15355
14350,127
127,7836
17792,127
127,10172
127,10109
127,8473
614,25107
127,3062
127,12194
21197,127
18462,10523
127,5108
128,127
127,19885
6071,1157
1237,127
891,127
127,2401
13569,127
4133,127
127,1321
13014,127
912,127
9979,127
977,614
70058,908
14132,1157
127,1817
1059,127
127,8943
13980,127
772,127
127,7473
127,12277
3811,1320
127,16992
1188,6431
127,21061
127,9360
6069,127
127,9393
494,127
127,908
1158,127
1157,127
5043,1320
614,1157
89,127
17664,127
1098,3124
1157,21925
787,67440
9274,1157
3078,127
14132,127
3273,127
11973,26964
3124,127
154,127
614,13099
614,1098
9840,127
127,13134
127,2204
3501,70257
127,772
8473,127
127,6614
127,9390
47494,127
127,1824
7473,127
2342,127
1157,4736
1098,128
127,11665
15355,127
14069,127
127,3124
71429,8749
127,18879
127,23402
90,128
127,1885
127,22130
127,13865
127,10523
4736,1157
127,465
3124,1098
127,2138
127,6432
2401,127
13134,127
614,127
10089,127
614,5863
309,127
787,14945
127,4597
90,16992
787,11252
12194,127
127,3040
127,5922
614,724
127,17758
5593,127
12277,127
295,1098
2401,90
9302,127
3161,127
614,6431
787,22268
1320,2288
16675,127
53151,1157
11628,127
127,13230
1098,295
614,3124
90,12164
127,128
4736,127
9080,127
657,127
127,3804
127,9979
127,1884
10895,127
3273,908
127,8075
614,9274
127,17726
27083,127
13655,127
11628,908
127,20746
13434,127
6323,90
11959,127
20204,127
90,3348
4597,908
9360,127
1824,6069
6071,127
127,16675
127,5505
17758,127
23402,127
5010,127
10172,127
127,5995
1157,13655
127,912
6432,127
128,1098
2723,127
1098,14018
90,1062
3804,90
127,3811
17664,1157
127,15216
10109,90
5646,127
6097,127
4915,127
127,3348
127,6431
2288,1098
614,43448
127,5593
9390,127
33108,127
3348,127
127,657
127,13655
90,614
127,28813
28813,127
13865,127
127,8554
21925,1157
127,901
1157,3348
127,614
127,33108
9393,127
1157,9274
9274,127
8027,127
127,7271
3124,4884
3797,127
1188,901
127,89
