coachwontrophy_1,coachwontrophy_2
1720,1721
2704,2705
3137,1026
1872,1871
4750,1721
4999,773
5280,3400
5779,1721
7336,773
7648,3400
7721,3400
7805,3400
774,773
8233,1026
8467,773
8571,3400
10096,773
10486,2705
523,11328
12086,3400
10141,1721
18384,773
18409,3400
18983,773
19351,773
19980,773
20115,1871
9726,1721
88,773
21763,773
22679,773
22828,1721
16965,2705
22888,1721
23266,3400
23710,3400
18478,2705
24776,3400
25427,773
25573,773
25837,2705
18426,1871
23246,1721
1766,773
23806,773
25573,3400
29246,773
21134,773
19351,3400
30200,3400
30328,773
774,3400
30832,3400
19793,3400
2711,3400
8991,3400
31240,773
14271,3400
10083,3400
31725,773
13004,1721
22679,3400
11459,2705
32328,3400
24552,32377
3578,3400
5839,3400
22686,1026
11644,1721
19619,3400
33673,773
14188,1721
2151,3400
22154,1721
14344,1721
10452,3400
37195,3400
6866,773
7186,1721
23342,3400
37991,3400
38026,773
38253,3400
30328,1317
14271,773
28845,1721
15971,1026
16935,773
19980,3400
39065,773
23490,3400
19924,2705
39449,1721
5840,773
12872,1721
20783,1026
24778,1721
39358,1721
23943,773
28147,1721
2151,773
25111,1721
19834,1721
7721,773
11988,3400
2337,1721
8159,3400
3578,773
9491,3400
43204,2705
19619,773
33673,3400
22868,773
34641,11328
17103,1721
31663,3400
38026,3400
45000,1871
31607,2705
39164,773
23157,1721
10004,1026
12481,3400
8412,11328
10458,773
19793,773
27754,773
22319,1026
38456,1721
18384,3400
7533,773
18460,1721
1318,3400
31967,773
46804,773
26747,1026
19585,1721
17424,773
30863,1721
9475,1721
29504,3400
25049,3400
18803,773
27984,1721
11658,773
13605,3400
49563,1721
13228,2705
27754,3400
25049,773
46901,3400
32551,773
16658,1721
17065,773
7648,773
7045,1026
21763,3400
10452,773
12086,773
6836,1871
31963,3400
2974,1721
8507,3400
35854,3400
10096,3400
55434,3400
35907,3400
11294,3400
52800,1721
42014,2705
45464,1721
8041,3400
56759,2705
14267,1721
46861,773
26192,3400
37195,773
5839,773
45909,32377
28414,1721
1318,1317
25427,3400
5280,773
54980,1721
8991,773
88,3400
27139,3400
13605,773
10205,773
9875,773
27962,3400
8878,1871
30200,773
39406,1721
31963,773
24313,1721
4014,3400
25712,1721
51276,3400
56792,2705
20907,1721
18803,3400
24776,773
50534,2705
5857,3400
31395,773
18409,773
5857,773
39580,32377
44579,1721
27666,1721
5840,3400
15892,773
23559,1721
9875,3400
3351,1721
51276,773
3203,1721
39177,1721
20549,773
9491,773
14722,1721
8159,773
10212,1721
13240,3400
11486,2705
16935,3400
37938,1721
5016,773
7682,1721
7427,773
35026,1721
29005,1871
14045,1721
26689,3400
17424,3400
23789,773
35798,773
11988,773
9157,1721
28026,1026
23599,2705
15661,1026
13637,3400
21205,773
27277,773
10706,1871
37991,773
55244,1721
29873,1026
10056,1721
8467,3400
48456,1721
8432,1026
7427,3400
8041,773
23119,1721
11924,2705
6275,2705
1318,773
11658,3400
53532,1721
13816,1721
68470,1721
59342,2705
46861,3400
22693,3400
22641,1871
11388,2340
870,2705
31967,3400
4999,3400
39637,773
49023,2705
31395,3400
39065,3400
26275,3400
4571,773
23490,773
23710,773
41844,1026
58490,773
17065,3400
30830,1721
31663,773
8449,1721
5092,773
26166,3400
3401,3400
33542,2705
23266,773
6062,1721
16731,3400
33911,1721
34186,1721
38466,1721
71089,6081
26275,773
46918,1721
31725,3400
30832,773
35854,773
7310,1721
10083,773
12481,773
16731,773
4762,3400
39637,3400
5092,3400
35907,773
46901,773
3596,1721
33651,1721
37959,773
28171,3400
54616,2705
29504,773
29298,2705
7298,3400
12802,1871
30328,3400
35832,3400
8507,773
31240,3400
32973,2340
6866,3400
24469,1721
22693,773
7533,3400
20549,3400
40250,1871
4014,773
41062,1721
23806,3400
7336,3400
29246,3400
22868,3400
39164,3400
8273,3400
18852,2705
49107,1721
38522,1026
25530,2705
51560,32377
58490,3400
12306,773
14432,1721
1766,3400
2331,1721
8571,773
15892,3400
23326,1026
35798,3400
33870,1026
4571,3400
21205,3400
26192,773
5016,3400
21134,3400
27962,773
2711,773
46976,1721
19170,1871
20021,1721
37959,3400
8159,1317
16464,1871
1925,1721
32872,1721
37837,2705
4778,1721
13240,773
26689,773
4762,773
20925,1026
29293,1721
35832,773
4886,2705
27277,3400
18983,3400
16523,1721
23789,3400
37760,773
54671,2705
7298,773
27044,1026
47790,2705
32551,3400
53314,32377
16680,3400
34386,1026
55434,773
10458,3400
48422,2705
37760,3400
44622,1721
11294,773
12306,3400
1325,3400
16680,773
58605,2705
46804,3400
18043,2705
10205,3400
41096,2705
32328,773
13637,773
1325,773
38253,773
23943,3400
661,2705
33284,1721
52128,1721
60970,2705
