furniturefoundinroom_inv_1,furniturefoundinroom_inv_2
146,147
589,147
673,147
746,747
506,1181
2029,1838
2120,997
2323,147
2447,147
2775,147
1584,3211
3232,1838
3274,2981
506,3697
3722,3723
4087,4088
4164,147
4357,3416
4423,1838
1743,4617
4629,147
4657,1548
4761,3723
4962,147
5154,147
5196,147
5624,147
5730,147
5741,147
5785,5786
5879,147
6249,3723
6666,147
6763,1838
1291,6803
7033,7034
5785,7034
7174,1838
7252,147
7536,7537
7741,147
5785,7782
2184,7942
1291,8153
506,8194
8363,1838
3941,8371
8419,1838
8442,147
8706,147
5196,3723
8934,4993
506,3723
9518,147
9839,1838
10290,10291
10589,1838
10642,147
1743,10689
506,147
11273,147
11671,147
11780,147
5187,11934
1584,12046
9780,1838
12183,147
1584,12213
12339,2981
12485,147
5154,12617
12827,147
12915,1838
7024,13106
13285,1838
11572,147
13376,1838
621,1838
4657,4993
13500,147
13539,13540
1584,14263
14302,147
7496,147
14660,1838
14731,147
14791,147
14864,14865
998,147
14944,1838
14731,1838
15255,1838
1584,2981
1584,12214
15591,15592
15632,147
15802,1838
2982,2981
15570,147
16329,1548
16342,147
506,15592
15418,147
16818,147
16901,1838
16975,1838
2560,147
17083,147
17186,147
6747,4993
17387,3723
1584,17565
17509,3723
1584,17701
10544,1838
15652,147
17911,4993
12234,147
12938,1838
18197,1838
18267,147
1291,18344
18345,147
2108,18379
506,18420
18489,3416
9537,3723
18564,147
18655,147
18881,147
18896,1838
18904,147
19045,147
19502,147
19517,1838
19846,147
3417,10696
19959,147
9595,1838
5218,1838
20375,147
20407,147
1291,13106
21062,147
21168,1838
21221,147
21261,14865
21441,1838
21457,1838
10666,3723
21645,147
3274,12046
16101,147
21833,3723
6249,18412
21941,147
7170,12213
17509,1548
22323,1838
7024,13622
3325,147
22879,1838
23056,147
23167,147
23175,147
7723,7879
23434,1838
23353,147
23551,4993
23577,1838
1584,23585
1839,147
23354,1838
17346,2310
11859,3723
16430,4617
24589,1838
22413,1838
24725,147
24412,147
24835,147
24872,1838
24884,1838
24930,147
51,1838
24980,1838
1291,7537
10751,13106
25168,147
998,25468
25588,1838
25715,1838
5187,25880
10751,18412
26309,147
26383,147
26387,1838
3048,1838
26530,147
24198,147
13539,1838
26679,147
1584,10679
4087,147
26787,1838
5187,27000
24555,147
27100,1838
5187,18412
5124,147
25947,1838
27348,147
27495,4993
19915,4993
3417,1548
506,1548
23686,1838
27649,1838
27684,1838
27719,1838
27757,147
27792,147
27799,147
1291,27843
1584,27921
2187,27925
28136,1838
6747,1838
7170,3723
13111,3723
506,28399
14669,147
28482,1838
28666,147
2028,1838
2838,147
3274,147
2538,1838
28900,1838
6447,147
506,27283
14343,147
29323,1838
12470,7879
25763,147
29812,147
10226,147
1291,1548
506,2981
30135,3416
2028,147
4073,147
13111,1838
11671,1838
30384,1838
6452,147
30704,147
1743,8194
30872,147
30943,1838
28135,147
27891,147
20753,147
17910,147
31228,147
31278,1838
12787,1838
1291,1838
31518,147
31612,147
31738,147
31888,4993
31968,1838
31973,147
9572,1838
7170,1838
7880,3723
32064,1838
32049,10696
5049,1838
32211,147
32325,147
14504,10291
17408,25323
2184,5217
3274,3416
2776,147
7170,22125
32519,147
32533,32534
32574,147
16401,1838
5072,1838
33093,147
33118,4993
28849,147
1291,4088
1743,7879
33429,1838
30704,1838
33453,1838
12938,147
33632,1838
15335,147
33910,147
1584,4088
20241,18412
10632,1838
34300,1838
34273,147
19724,1838
34431,147
506,34444
22527,147
7170,747
7880,20890
1291,31971
1584,3723
27577,147
35094,1838
2086,1838
20241,147
1584,35279
35295,147
3274,4088
5218,5217
5187,27925
35397,147
5187,2310
19365,147
35746,1838
8442,12046
12679,1838
17084,1838
36241,147
506,5167
36317,147
35252,1838
28835,147
36439,147
36499,4993
10544,147
14302,4993
36703,1838
1584,36750
36780,1838
36803,2310
36853,1838
36890,1838
1584,18344
8190,2310
10589,147
37072,147
1584,37144
37145,147
37242,3416
15308,1838
506,7782
37429,4993
18838,147
15125,147
4657,147
5208,1838
4761,3416
2120,1838
26973,147
5785,22257
13367,38094
38235,147
33453,147
15308,147
38488,997
23694,1838
