coachesteam_inv_1,coachesteam_inv_2
5560,6716
6816,6817
447,8273
2341,10028
2593,9929
8160,19146
5361,19762
4661,7045
476,4149
10467,20673
5242,23449
4183,24129
3567,25739
3558,25859
2004,15892
87,774
9262,30623
12788,12625
11013,20629
35,25816
932,28595
3314,24776
2755,9662
3293,7427
7881,34458
4779,953
3383,11827
9724,38974
69,5926
8532,27277
882,3000
2733,36269
25088,25087
16614,16615
4048,26930
379,8412
27331,29979
26259,34235
6913,30582
449,45551
1081,34604
1116,51111
4602,3154
2703,26853
7039,34201
51627,51628
2338,12613
551,15417
690,14745
1914,34641
1048,3187
8286,22885
8814,33956
18198,47746
11231,4309
326,26275
3772,3618
34420,16906
10961,63040
19461,24451
3745,10941
29061,22249
3665,21664
6744,14218
22573,31967
2476,61262
11847,14854
422,11016
3821,61334
6305,45256
25463,28100
3893,28171
10392,15137
15906,32288
2964,13564
21669,9259
1987,47565
44742,49093
5002,13228
5636,70219
4899,53102
16759,16760
4631,40193
17579,57266
3179,38357
21181,21205
48354,40051
68,33653
562,32326
350,30328
13920,21788
3188,39164
9964,16997
21342,21343
392,37673
11511,33559
1284,22418
34,6484
281,55407
16296,15836
3393,7805
25255,22693
4853,22888
15727,13219
14983,46217
36913,36912
7116,16138
7068,63467
2173,40625
99,12948
450,4014
486,3784
61219,7448
421,22641
5181,52769
4383,13579
13365,24189
552,17190
971,10003
256,34195
11716,61442
12031,67764
4867,3137
10922,6926
33672,10776
487,37959
12379,1542
17927,39821
4165,25427
8148,48066
2286,23865
1493,30863
4659,51636
