objectpartofobject_inv_1,objectpartofobject_inv_2
2683,2684
4501,4502
4501,5976
4501,5003
4501,7910
11444,11445
4501,5484
4501,16376
4501,16519
4501,16053
20254,20255
4501,20917
10440,1139
4501,22707
4501,23368
23849,23850
11444,24059
11444,4501
7379,25569
11444,26124
4501,27758
28751,5678
20254,16519
4501,30716
4501,30946
33805,22010
4501,33992
34653,2684
10440,31170
4501,6625
10440,3117
10440,35636
4501,36110
4501,36567
10440,37726
4501,37893
38069,6625
11444,22707
4501,40138
4501,41800
4501,41893
4501,22557
10440,42724
4501,20101
4501,42416
10440,46954
11444,47073
11444,45546
47051,24549
2683,46693
10440,48069
7379,7561
4501,48463
48564,48565
48807,48808
4501,29471
49472,49473
4501,49693
10440,50001
10440,35676
10440,11982
4501,51546
4501,44261
4501,52139
4501,52155
4501,14903
10440,51232
4501,11982
10440,46924
4501,32959
4501,54280
4501,19350
11444,55914
20254,56480
4501,50820
11444,57901
4501,17966
42911,16562
4501,51214
48564,2684
10440,10439
4501,4447
10440,6625
4501,46812
10440,41236
3117,6625
10440,6318
48416,48415
48564,46693
4501,17962
4501,14409
4501,54588
11444,64815
40257,40256
11445,44305
10440,51058
11444,41800
11445,5678
4501,66402
47800,11982
4501,24549
10440,46617
10440,899
16562,42911
11444,23368
10440,26854
5679,5678
4501,68464
62698,62697
10440,68891
4501,60271
10440,14852
7379,26905
11444,36567
49472,70828
4501,37750
4501,71592
10440,71974
4501,25214
4501,4624
10440,24706
10440,47009
4501,26124
4501,24059
7379,67867
4501,56480
4501,73421
7379,7378
10440,24730
10440,63598
11445,48463
4501,22254
4501,899
10440,10057
10440,14198
4501,72550
4501,62124
10440,46233
4501,16554
4501,22010
4501,74899
4501,74910
4501,44305
4501,43135
20254,24549
7379,16324
4501,51038
24692,11982
4501,75351
4501,65720
4501,75393
4501,75038
10440,7359
4501,47658
10440,7378
