haswife_inv_1,haswife_inv_2
266,267
1651,1652
7181,7182
10383,3230
11994,21
16345,16346
16588,8546
18200,16877
18897,6945
19105,19106
19879,12155
4965,3627
20149,20150
16930,22303
24563,24564
25520,5793
24444,24443
27238,2992
28473,28472
29959,29960
30019,30020
13068,437
15242,15241
33420,13754
33545,6607
33628,33629
25919,33665
34261,24267
34563,34564
36832,33518
37718,18300
39068,36871
39237,15068
39986,25999
40690,4850
41085,41086
9998,41973
34424,11510
42782,42783
42970,42971
33829,9356
43958,42452
44184,44185
44308,37488
19175,19174
45011,45012
38293,45213
45552,10336
45596,10086
46040,31642
39686,39685
46755,1712
42215,42214
49369,23331
42154,42155
17311,11360
51173,51174
39413,18510
51381,51382
1566,51474
14109,14108
52111,27405
18813,18814
9040,9039
52287,36948
52629,21160
53403,22844
36130,39526
19551,18040
3241,3242
43705,43704
55609,20164
55725,55726
56213,56214
56407,56408
18036,13122
56648,46545
41515,935
57408,25601
26281,33030
58705,25606
59619,43503
59662,187
60211,32660
60698,60699
61091,61092
61188,23536
61676,61675
58488,4537
28173,28172
49694,49695
7867,1858
63109,16302
28784,17524
49291,63479
12480,7050
60160,60159
18186,38715
22451,20838
48782,48783
34413,34412
64684,64685
64826,64827
64828,64829
30304,62990
39767,39766
65278,25676
61081,58938
10930,9296
32413,65595
60930,12071
65957,65958
45956,34845
38710,38709
23871,23870
66069,66068
10323,10322
67470,67471
12880,778
48045,52423
67594,67595
67921,6590
19759,22587
68157,45569
68261,68262
41987,8683
68539,58617
38817,38816
64513,24542
69650,8850
69883,69884
27133,27132
36091,29243
70167,49173
70488,59998
22175,22174
29415,16947
9335,9334
70907,33369
53335,35542
19646,11597
27669,5886
37567,37566
71434,7691
17153,38580
12038,12037
15024,71586
68378,23800
59063,9931
15992,30288
11639,11638
42590,47988
69543,55222
72161,72162
72165,18592
52593,2997
36463,36462
47294,7456
32595,32594
59723,59722
51430,51429
26545,23442
69267,13440
5433,20559
60838,60837
12054,12053
46232,46231
73380,73381
1995,9777
62898,62897
69654,69653
74348,74349
63119,63118
6213,8498
74749,19243
25100,7841
54632,33734
23529,64967
57982,57981
66234,13790
2393,3525
67481,67480
17553,28488
22576,22575
73166,29310
56162,19632
25666,25665
64634,64633
73780,73779
9120,4879
19615,19614
22039,8370
36877,5648
71255,21158
71585,19760
44426,36859
28650,28651
49572,50842
9579,9580
6188,6187
14105,9048
11471,13308
30157,26059
