synonymfor_1,synonymfor_2
729,730
1621,1622
3006,3007
188,4362
730,4380
5005,188
7283,7284
1738,7317
9386,9387
6877,9544
627,1705
9735,6981
9794,9795
10116,2052
10417,10418
10574,10575
3701,10777
730,11443
7283,2473
12342,12343
730,9080
13057,188
7283,3434
14221,14222
2910,9374
14575,14576
15555,730
10116,11709
9231,16468
9743,16802
188,13520
188,17432
1727,18581
18608,1817
19114,9374
188,19668
5651,627
6877,16702
7283,20261
14078,20270
3701,20454
730,20473
188,627
6981,20657
10049,21041
3192,730
6981,760
188,21579
2110,627
22503,22504
3393,172
188,17854
23589,23590
4703,11470
3034,730
3701,5439
188,19338
627,188
6939,13568
25129,25130
25154,25155
6413,5651
6981,25720
1787,9386
11817,8894
2486,456
2170,1738
114,188
7900,1369
6877,27135
27145,27146
3701,27448
26504,26503
17661,1369
730,5846
28793,627
188,353
13520,188
29424,188
25046,9386
13744,30354
30906,30907
15300,908
972,730
730,2870
7283,10115
2269,9387
730,15300
188,114
32029,32030
32365,9374
7192,6981
33236,730
6437,33357
1368,730
2536,6402
13002,1738
3701,19909
3522,34321
730,5008
3701,9888
2909,34912
35193,35194
10418,11118
2302,12602
3791,35759
25046,2271
4556,730
730,17037
6877,1719
2587,1719
25216,188
37519,2910
5008,730
28628,3701
6618,6981
12602,2302
38229,6375
5644,3552
38430,5752
26997,1047
22504,26254
908,15300
3701,1727
1016,188
20066,20065
39608,9374
730,1368
12032,40032
103,730
5490,40308
20454,627
730,3192
7836,40688
3701,35604
3701,29339
42278,10049
10418,10417
3701,37508
1738,3034
22782,1884
19996,188
730,3034
43105,43106
9386,43225
11615,172
628,627
10597,43544
13745,13744
6994,43674
1264,1738
7283,20647
27448,3701
7283,14951
6981,9735
27257,8910
2910,44693
44791,3006
36211,36210
3006,44663
6390,25154
43674,6994
627,9387
3624,3623
3034,1738
730,4556
188,22248
6877,3701
45805,32029
4433,45836
8297,730
10049,46472
46592,10049
47281,47282
2909,7940
47641,32365
3273,730
730,14193
23378,351
22483,2783
43105,48434
48501,29029
48671,188
15299,48721
188,3689
32029,45805
37847,48761
48763,188
188,48845
48862,10049
16133,42877
5439,3701
11895,6981
188,48671
6981,2302
9386,1719
