agentcontrols_1,agentcontrols_2
12,13
179,226
1292,1293
1330,1331
675,1530
1234,1538
12,1577
95,1614
1689,1690
791,1964
1860,2460
30,2486
675,2680
675,3103
179,3450
3704,3705
3082,1216
2054,3505
5068,5069
5316,5317
741,5415
5735,5736
5942,3588
6086,6087
179,2026
6500,1239
1860,3864
6848,3228
3669,6884
95,7125
3669,7222
1860,7481
6703,6702
675,7563
3152,299
179,7638
1364,1363
179,7912
675,7969
2054,8379
8409,1538
675,8418
2054,8439
675,8625
8932,8933
8999,4196
9026,9027
257,9159
179,9325
2054,7575
5952,2201
9567,9568
675,9577
9752,9753
179,9935
7009,10879
179,5220
2054,11150
11173,11174
11323,5644
7009,11426
7009,2552
10278,3818
10838,12281
12317,3588
2054,12418
736,12594
8366,12640
12723,12724
5178,113
5588,12869
675,12957
12982,12983
2054,13043
179,13085
13159,13160
675,13400
4946,13556
1136,10049
179,13845
7009,13866
3550,13898
179,10279
1183,14096
179,14309
5588,11131
14533,14534
179,14919
179,12569
3995,15167
15260,9027
95,15510
15542,14534
95,16036
342,16204
791,16255
257,16272
12557,16303
16382,16383
179,16404
2054,16503
16513,16514
4445,7730
16785,8927
675,16834
3669,600
3995,15217
675,17503
17575,17576
3995,17661
179,14384
741,17943
179,10512
18207,18208
95,18224
95,18528
18930,18931
179,6662
17175,1275
2054,19199
95,19224
19334,19335
3995,2804
95,15208
14024,16178
1187,257
1860,19869
3995,19890
675,5242
179,4189
2054,19976
672,2126
20443,20444
20446,20447
179,13120
675,16339
95,20580
12,15071
675,20780
675,6305
3006,8112
13866,21388
675,21669
3995,8701
21823,21824
22099,22100
3995,1370
15429,22219
179,20374
791,20107
675,19721
675,14491
675,22728
22751,22752
95,19497
95,22895
95,12333
19125,23025
15556,12042
11622,1331
23092,23093
23287,2407
23303,19859
675,11210
3008,14534
12,23924
3152,544
2054,24174
859,3692
179,11656
24375,19883
3995,16791
2772,24442
1369,6848
675,24655
935,1538
179,24848
95,24860
5589,24935
179,25089
6170,6171
17266,25224
675,3237
2064,25250
3627,1538
2054,15158
675,25523
7958,25731
675,25798
791,25939
3550,25951
25975,25976
791,26190
4838,26207
2772,26378
675,15515
26417,3900
95,26440
741,26511
26536,26537
18931,18930
95,26385
95,26630
3995,26931
3995,20009
179,9824
675,27064
12686,12866
27199,6761
36,3692
2054,27497
675,27656
27711,27712
95,23885
27771,27772
675,27835
791,12119
95,3418
675,28019
6941,7445
10838,28259
26716,28359
675,28368
312,311
311,794
179,28612
250,4534
12,28711
7009,2901
95,28902
257,2505
95,22514
29582,29583
675,29612
95,25815
21549,2920
29904,29905
13666,29973
9023,12983
30027,30028
95,30054
11978,30175
206,1501
30264,9552
3995,27409
1284,257
30793,1538
3669,30954
2054,30995
14771,16426
675,31341
179,31354
95,31537
1001,31590
95,31622
5356,4534
179,22590
675,24019
675,31593
675,31947
28394,7943
2054,10552
32031,22391
12382,32076
12,3773
617,25250
2967,1538
12,6539
179,18422
3995,33012
5388,10737
95,2672
2054,9341
741,33445
257,19325
675,33597
33624,33625
33633,6625
30882,30881
12674,12673
2054,13180
1369,33766
12,17895
179,33907
15955,24189
311,31174
3451,11627
2054,34271
6848,1369
9403,34366
179,4582
3795,34437
2054,7259
3451,4468
12,7766
95,34874
95,24023
675,26164
179,35249
27581,11633
33178,26228
257,6255
5588,25582
95,35499
187,1538
23770,30598
33181,35758
179,8854
675,12358
95,35359
2637,4459
5589,5588
12982,36194
675,6793
206,205
3312,205
179,1537
12,22362
11425,11424
675,12187
2054,37254
1363,24856
95,15805
675,16279
33857,33856
675,17444
179,16119
12,37745
179,37886
675,3960
675,24488
95,33816
10278,257
2054,5524
179,11732
38422,38423
179,18102
6834,38496
675,20874
95,38633
675,38818
6294,4810
179,32147
675,1350
675,36535
7009,12056
14771,39063
39155,3588
675,36075
1597,39259
179,4182
3451,15045
179,8960
95,39310
39342,8114
179,17767
6371,6370
39699,39700
6941,18394
257,11615
791,39877
741,39909
798,19883
675,6816
9752,40144
95,26406
40235,3588
95,21654
3451,29696
1860,40437
40452,40453
2505,257
6396,24748
35214,35213
617,2587
95,32001
675,20152
2054,38425
8366,11238
95,4648
16426,14771
1860,31451
5588,41326
95,39207
8560,20985
179,10623
3995,33345
179,23355
9230,9231
675,12315
675,22720
19508,19509
14146,11315
42256,42257
3995,24969
627,19883
1275,8114
1372,25984
13152,17802
95,8553
179,29047
20446,6027
1860,17063
2269,42642
42708,40138
3669,42787
2169,4534
4947,1129
31484,1538
179,178
2054,42993
3995,2606
741,42618
20408,1033
95,5020
257,43142
179,5671
257,16048
12,43682
179,9072
675,43790
16109,43828
675,23285
2054,35186
44192,36062
675,7331
2054,8208
3152,10923
9139,1738
1001,41470
675,10797
2054,22526
3995,10907
2054,25099
179,42913
675,12341
12,13549
675,23086
179,33019
2054,22317
675,13909
179,14017
179,45303
675,44400
179,45570
95,29313
95,33960
179,27391
95,20792
12,2126
3082,544
179,1093
675,21505
2054,4759
2772,22011
95,46328
7791,2901
95,46414
179,15173
95,17358
675,45237
179,45320
1372,1592
1926,1925
675,30533
95,46798
675,23155
179,1541
7009,11944
10674,4580
179,46935
1860,8019
5588,46951
179,19847
3630,46997
22314,22315
3550,11517
2054,18945
95,34282
95,38399
1427,33895
16936,47380
12,334
39975,14854
179,26230
1860,47621
179,27858
4193,47640
2054,17377
95,17526
11477,4534
95,35250
675,9371
29310,15571
2772,47923
1001,48079
2772,48087
1860,48177
5588,44200
48239,48240
95,12012
12,48431
12,48439
62,21604
35808,794
179,17700
179,5409
675,4899
2054,35959
48812,6716
95,22859
675,12479
41399,41398
41215,44507
95,49108
3006,6033
179,36023
3550,49489
49539,49540
49581,2126
17692,27772
17802,13152
41399,19211
23474,43210
11424,11425
675,16111
675,3837
179,20713
477,4534
604,50250
791,50257
95,17697
3550,50328
95,28125
12,1836
95,14243
681,5588
1372,9929
675,16727
675,24794
2772,4587
675,6011
11634,11633
179,14789
12,40018
179,5508
675,4395
9045,4459
18716,2126
179,50141
51252,5693
15217,51270
9777,1538
44980,2842
741,1349
1860,42781
19860,31279
33302,33303
3995,9315
51815,1538
741,33111
675,16450
44052,51992
1136,42910
3995,6617
2173,11797
675,26604
7009,7008
179,19069
179,42125
9023,36194
52549,8114
15741,15740
791,52594
10799,30584
52768,52769
7009,5871
179,6206
36146,49146
2054,52870
179,9708
895,16791
675,5636
3006,7177
23644,23951
95,44282
23979,23978
37587,7465
47884,16480
2990,5016
179,9313
2054,19889
95,37660
179,29851
675,4422
95,53643
179,6799
2054,3093
12557,46416
786,53869
95,43471
28455,1331
95,54119
1369,6370
40082,205
33156,54225
675,1987
2201,4459
179,10206
3082,299
2383,2382
54707,3648
28674,28675
41521,41520
11286,9403
675,51617
1860,51706
1240,1239
28675,28674
675,4867
741,37745
55350,10499
675,15149
6294,55381
50660,4459
675,22672
2054,24799
3669,25368
2586,28772
1671,14534
179,38144
2054,49386
95,48797
3451,11144
47752,47751
21908,21907
3669,617
29738,33920
2205,7151
56226,56227
56279,56280
3669,56299
43114,12767
95,1130
741,24914
2054,43160
8218,3624
617,3479
675,8699
95,39770
25030,1538
22219,15429
675,5513
2054,14016
675,19914
6426,6425
791,32223
95,38840
11570,40616
741,726
675,55046
19183,14534
179,9167
675,24012
2054,57162
675,25424
3669,22092
179,14904
3451,22092
3451,25368
95,57290
741,57340
95,16331
17266,22099
11911,11910
5178,7114
5588,51938
4326,1129
179,1258
1860,54817
95,47488
12,6618
1001,24826
179,23312
3121,1033
1860,38140
675,15240
2054,57560
2054,29560
3669,2304
312,33932
95,17814
3550,56007
12,57721
57733,16178
675,2116
20959,20958
2054,27025
1860,10849
179,45747
3995,13343
48133,48132
2054,43301
179,12335
179,24414
50701,1331
4603,2587
95,40479
179,21637
1860,15345
675,14992
18711,2536
3995,42227
3995,7151
179,19089
32508,16535
179,14484
5178,40071
12,4693
2188,14165
675,39295
179,35602
675,35562
14884,14883
95,4391
16178,14024
179,58875
55090,36679
2054,14940
2044,4953
1216,14534
21217,21218
32769,32768
5588,55963
59168,15050
43608,54336
102,101
11772,11771
1860,43208
17576,24809
45166,45165
95,41314
12,13297
6174,1363
614,8114
2054,6711
17426,847
675,25858
95,18674
27573,27572
3995,20020
179,8893
20471,39199
15530,8114
681,14969
95,35362
741,59900
11570,9209
675,27102
3995,6103
95,45251
5588,59983
143,60058
7009,1682
675,14250
59477,60148
179,19472
2054,669
15997,44500
6358,1538
19366,47634
3669,632
179,43641
791,43982
95,60629
2202,6710
52408,1331
179,5105
95,52305
675,22371
1442,1538
791,32391
179,28662
15717,15716
179,45846
478,4534
95,14092
179,10184
29532,10737
741,2486
33156,60127
179,61422
179,7955
13603,7943
11029,1538
19544,19545
7009,5847
20725,51958
95,61576
675,5018
2054,42277
95,55622
791,12302
675,31019
1860,23576
6033,3006
2990,27584
2054,61915
3451,3039
675,20412
19530,3344
2054,18512
179,629
3995,27513
95,43769
95,62055
179,2485
675,35326
179,21980
95,43396
95,62067
8538,12942
675,39795
675,10678
2054,18054
179,4098
675,6201
1445,4534
2054,16096
179,1955
675,20411
1001,932
13830,1538
3792,61428
257,1081
3451,56773
2054,34806
95,31706
95,57557
675,39489
13160,1331
675,32087
179,37943
3995,1538
95,20004
19508,21589
95,53960
2202,2201
179,27472
1860,43262
179,17713
48960,48959
1860,62895
675,21583
179,32816
2201,2202
95,61429
8366,22680
179,7423
20051,63309
29058,1129
3995,4458
1071,17802
95,63366
179,31232
321,13160
95,44957
604,2953
45541,1538
179,16160
1860,10120
52180,30881
32031,63682
95,54610
95,19257
3669,7730
95,63793
27685,43444
37587,37586
21590,23041
21590,21589
7437,1538
12,5661
3082,6890
95,21346
2637,10352
4690,4689
10352,1538
2054,34780
257,16154
15955,14854
179,22367
41361,9027
12,1727
2054,23538
27513,4459
95,5175
63503,63504
675,42937
5733,1538
64381,8114
179,29494
12215,6688
675,50753
44170,48386
3550,2588
12,53
52586,1216
741,12140
95,41489
11443,60233
64841,64842
7900,2587
95,16757
179,22135
55556,43828
48414,48413
179,46805
13668,24863
5588,54066
59870,25250
3995,5356
15470,45807
20425,4534
3995,6396
675,12249
7958,12594
179,6856
23291,23290
179,24899
36344,5736
95,59729
1926,49563
741,19126
3480,33462
675,45763
4404,1129
95,55104
7009,15472
179,27172
14270,56828
3669,23099
5316,65773
3995,65843
3669,5588
2052,3588
3152,39161
179,47749
12,65947
12,6981
42269,42268
179,12351
179,25552
20651,31826
741,2473
1001,172
95,12876
675,43254
179,17957
1860,66290
791,17407
3995,6632
179,28832
57,66415
61904,16514
2054,3092
675,22968
66578,19281
1001,40275
3995,19220
791,15382
5309,4534
179,10636
17087,35276
11467,11466
95,29151
42882,42881
4105,53700
675,45707
31280,31279
675,39156
179,5096
43669,43668
4936,1363
8560,22655
55672,55671
179,46057
179,26617
179,44116
12207,1538
29197,6761
675,5805
2054,19824
25488,66991
2054,58977
95,26970
2054,62663
10838,67167
3995,6370
2637,67247
675,15817
675,13287
179,4054
2054,27201
5178,39240
95,11740
95,7099
675,8312
3034,8114
12,23375
95,56868
675,5223
2804,4459
12,20117
675,3460
675,42162
257,23464
675,18255
5588,33211
179,18032
32925,5713
6030,6031
6761,29197
17714,24203
95,31760
64260,58723
7456,1538
179,9649
1363,752
2054,5632
55543,1331
45317,67842
95,42015
6255,257
2054,27829
95,7888
95,63372
2803,28491
741,68071
95,14665
95,23420
741,68135
847,27772
3995,1978
179,25664
5630,1538
12,26600
859,2110
50749,62911
2054,55676
95,46446
12674,9027
675,64564
24393,2126
13152,25464
19047,1538
54082,1331
4119,6367
68564,1331
21389,4190
42775,42774
95,51412
22099,17266
1860,35619
2054,61506
27581,27580
675,22435
3162,15126
20959,68758
675,13423
3669,21422
64696,64695
1174,10112
741,2126
3995,51494
437,14534
5269,69045
179,30410
49205,1331
3550,69117
3550,9552
3082,20043
1016,5989
62346,1538
3162,2587
179,17026
1860,33663
95,69217
50336,1331
8115,8114
2201,5952
95,28809
4450,56359
3669,14215
179,19245
18142,18143
14199,14200
4879,1538
95,28915
791,22891
2269,2587
2054,14657
39546,1331
3669,40847
95,15737
1369,20245
2589,69660
179,14088
179,12286
95,17064
675,14001
5588,69762
95,69183
43594,794
179,5120
179,1733
1174,24071
95,11753
179,37455
675,68526
3995,39731
19744,19743
30658,30659
13101,13102
2772,18923
675,1276
95,49203
791,69941
7009,3995
95,22281
95,42391
32769,70029
342,28005
95,5985
24809,17576
3669,70114
36063,24346
741,70153
179,6806
12237,45260
6941,18122
12,1393
7251,19883
10408,19883
95,31319
1001,29733
11760,32201
1001,41422
61415,205
95,52375
36063,36062
859,2587
63720,64897
7488,4534
64260,37224
675,22625
3792,4459
12,5499
12,70626
675,33981
681,680
741,70694
741,2382
2054,22421
675,43364
791,40672
179,24422
179,5332
179,4558
179,23666
95,56230
179,9618
179,5980
14087,64755
62096,12524
741,19883
12,3831
12237,4459
95,39452
675,23146
15179,21590
2054,64084
58679,62328
70989,48240
179,7438
95,6564
179,45631
1470,42822
675,51659
675,15514
179,7952
23978,23979
95,36480
24680,26059
95,2134
47520,47519
2054,25379
179,50312
179,23305
675,5867
1860,62544
2054,4177
27221,13556
3451,57096
12,27857
12,14543
5588,36823
95,9025
16179,1331
179,32557
95,30829
32939,39521
179,47425
35745,1331
12,13774
4704,21968
311,312
179,54901
3669,7408
675,11887
95,66288
54337,54336
95,32186
675,13920
2054,52015
3669,1057
675,2575
179,25024
1275,70987
13668,53264
675,28637
27251,2870
12,15792
2772,70835
675,68550
6087,6086
69130,51714
791,53640
95,17386
179,32209
95,51723
95,15540
23543,1538
741,40018
675,6139
791,53938
1860,46988
95,29834
2054,39064
3018,3748
741,2271
12,11031
95,71929
675,26667
675,3214
1001,486
95,37629
179,20524
23417,23416
179,22003
24856,1363
72201,72202
5588,54592
2054,33630
2054,10066
12686,19864
791,3331
675,4444
95,60960
675,25463
3550,37377
791,17851
3995,24273
675,48212
179,18596
95,4707
675,40464
30,1841
675,17078
6814,3624
179,16526
675,32107
675,3478
30066,30065
1666,51085
19744,28491
2893,14534
675,31538
20626,7719
95,25450
179,36987
70292,60081
5588,12193
95,5674
741,28398
71907,1331
27393,16290
31752,4534
2054,38901
2383,25133
15225,19686
257,14515
31941,312
39403,10422
71747,8114
179,18543
675,15814
11282,16321
3669,25425
1860,27887
675,29061
40359,40358
3669,11144
675,66891
95,72942
1858,1538
12,9794
675,56045
58052,7847
675,5219
179,361
95,18118
28746,14534
8416,7943
675,39160
16043,19883
95,40014
28718,28717
1860,42242
12,11867
95,59610
19686,15225
741,5295
20573,15665
95,26727
1369,38765
3973,19883
5588,45531
34325,4196
3451,3714
2861,19883
4433,22941
3589,4534
1860,16495
95,37456
675,30292
19039,57719
4106,1129
1327,41957
675,9183
2054,15098
179,10379
675,568
179,62927
95,30908
2054,57709
179,31226
741,73511
95,41078
1860,50258
257,10278
3995,5952
5178,3665
95,73570
66862,4459
179,11051
3995,2587
179,8915
12,43905
179,3666
42967,42966
15683,15682
2054,2055
13506,64055
20959,44009
5368,1331
179,15709
179,8613
72869,13936
95,32439
56000,8114
179,55086
179,4070
20005,14534
675,67386
179,2648
3995,4104
675,36933
95,12370
2169,1239
18378,1538
179,27494
8366,73847
179,11212
3082,7095
69341,69340
675,8378
9260,9259
9245,5589
675,3010
95,48813
179,4263
675,20440
5356,4459
29358,24193
7737,257
44999,10422
2054,42857
12,3692
7009,22468
2054,30626
675,10621
95,37064
675,14248
2803,19743
95,33643
10923,15072
321,3479
8150,8114
675,18635
179,3717
12,726
179,38366
2772,34748
95,10189
179,33873
95,74093
179,22705
56335,69853
