stadiumlocatedincity_inv_1,stadiumlocatedincity_inv_2
42,43
235,1080
1816,2203
5080,5081
1079,6000
6178,6179
889,7123
917,7385
751,7713
7906,7907
3563,8533
37,9852
1079,9898
1454,11108
1882,38
12573,12574
9365,13189
410,6276
751,13887
2307,14699
12308,15881
1816,16257
8608,17171
18704,18705
299,18762
19361,19362
5790,19654
917,20572
21266,21267
21542,21543
914,22737
6379,23325
1601,1600
26335,26336
12308,27224
1916,26710
565,28044
2953,9461
250,17693
889,13284
565,30190
7957,30342
1079,30831
555,22817
1816,31304
889,31533
133,31662
7220,9195
8310,15519
889,19957
18497,33388
917,3021
914,33764
9422,24250
889,34465
1916,11241
28002,34958
1916,35007
4393,35139
235,35605
80,36058
235,36300
13362,13361
2662,31386
12573,36712
914,16311
6335,11530
2760,24895
3115,21045
2307,38755
8091,38950
3782,12244
8647,13070
16270,39780
250,23030
917,40085
207,32097
7057,11298
18804,41124
1916,35151
2410,27443
9365,41286
36892,41344
235,4061
4236,4235
14712,14711
751,42980
3090,43504
5790,13715
3090,44221
889,23862
3534,44492
6289,44522
1465,33645
9365,45577
114,17480
1593,46624
2740,2136
1399,47169
6796,25365
35987,47449
565,47772
2760,38772
31119,44697
7220,35098
133,683
41174,48835
751,18819
751,49011
914,1440
1091,34908
235,3577
3563,49880
1079,10488
299,50625
9365,50930
114,51241
6119,51319
6379,23675
46152,7535
8647,17568
1916,33661
6797,53505
16986,53828
242,53941
235,54313
3930,11068
42,54510
10503,54972
7939,55078
5493,55273
751,47079
33792,33791
14289,55553
2307,55663
162,55932
1399,2033
114,56313
555,56315
3534,32212
6698,5905
7208,57375
2953,57407
555,57492
1421,10261
3,57711
35891,54057
889,33313
556,37020
3534,51565
7690,52198
2410,45289
10768,58920
889,25881
1593,56552
7690,9641
1916,34756
914,8605
42,59745
28016,59834
133,8942
889,38790
6657,42327
9365,55964
1421,61090
250,9401
14788,14787
6698,48754
36356,61293
1465,61634
22351,57624
17219,26881
1134,36841
6698,24855
13148,62637
555,62790
24821,62993
1079,45268
18698,63545
63625,11965
2662,43566
751,63727
751,63831
250,16601
5790,12949
9422,62812
1936,52146
565,37044
8310,34549
3488,65386
235,57647
8647,6577
235,42321
556,8289
3423,65708
3930,65793
1020,21720
9422,9421
889,48017
889,5454
28592,6285
11225,34012
7939,24960
751,4627
15781,56284
9404,14782
4708,66751
28420,28419
889,66880
3930,51386
9900,26899
5228,66850
21106,67128
35987,64939
2307,44927
1421,66076
889,35662
3,49976
917,14618
889,67717
479,67003
1131,13631
5493,51956
13684,37751
38824,67366
889,3858
565,68010
9581,36995
80,34873
917,50489
7057,68239
3930,5189
2307,36113
80,4788
2839,9498
731,39350
9365,46377
80,34372
2307,58230
5708,39113
114,35110
235,52985
16490,29493
45785,62753
6736,69275
7650,60141
4665,69328
8310,56415
133,48442
2839,69981
1079,9359
5756,52697
1916,60071
7939,6093
3,9791
4561,11526
80,36942
11225,27765
42,30355
3090,57348
114,20080
235,65927
7057,51957
42921,42920
9365,54029
914,55150
70445,70444
17455,22676
1816,27319
207,36702
250,72158
114,36000
3534,22854
8310,68823
8647,51188
889,29266
2113,15610
6562,6561
20748,42997
4325,72705
16270,5015
7860,72848
250,21068
30587,52565
3,51025
2662,6349
3579,73093
1916,55356
9422,54037
32808,64426
4499,57934
7057,13501
8091,21272
6936,12039
18571,73236
46152,48719
6379,10705
25409,25408
3534,8992
556,18537
114,73221
11225,73945
8310,59743
556,19938
565,34108
14289,74111
2307,44838
889,74146
7135,37415
1816,49720
27330,42146
114,28917
3518,21410
6379,74290
9365,46284
3518,67365
5790,47571
1816,14048
34679,69638
2307,73895
133,49507
17621,17620
1079,68459
2307,17607
2839,21351
6379,8197
4499,11884
565,57451
24774,57192
133,45636
4325,60892
3,39711
889,56027
19361,29809
3115,64643
14843,32502
299,62943
74950,48178
133,3636
889,59287
19361,869
4499,6256
14914,75059
7057,29503
16490,55011
4561,69364
207,62158
20003,22373
3579,56446
3,22081
37,70817
555,72597
565,10059
80,31981
65954,75271
4546,62387
1079,66673
9365,24958
65986,17067
8310,75124
9900,54669
889,75115
35919,366
73934,73933
8310,46815
8310,33865
3,17676
1593,72483
1916,58870
1454,53468
44284,72195
235,74989
235,36354
50979,55197
2307,55818
23939,69641
917,68641
8698,8697
751,70892
19920,74152
207,5000
16337,58423
250,50885
7057,34803
