arthropodcalledarthropod_inv_1,arthropodcalledarthropod_inv_2
3319,2415
3680,3681
2922,3681
3681,959
2167,6321
959,7923
3681,10104
10207,27
3696,996
10104,6321
6750,27
10926,386
3680,959
10104,4373
2998,27
3681,2922
6127,27
2415,2746
14719,958
1159,27
15761,2415
12024,16055
7923,959
958,16867
6321,4373
4829,27
27,5256
2168,6321
3681,12024
2922,959
21310,14586
20624,2916
27,23004
16055,7194
959,3680
2167,7194
2414,2415
5290,959
2168,11645
3680,6321
995,386
7669,27
27,22044
958,386
19385,2415
5290,1029
1300,27
27947,2415
12024,3681
16060,386
29148,29149
27,387
29512,2415
5291,959
29770,29771
386,27
25287,2168
25287,7194
4373,10104
10104,12024
6057,10055
958,6190
25287,26035
2168,5291
10926,1160
11645,6321
3696,27
35981,35982
959,2922
2168,4373
26035,25287
25287,37057
2415,7194
2168,38038
4373,2415
2462,27
6498,27
959,7194
11325,27
386,16060
7194,16055
959,3681
5256,27
3680,4373
6321,11645
6127,6128
20899,2916
3696,386
2766,2916
27,10207
10055,3037
2415,19385
958,36408
16867,44070
7194,2415
18205,958
2415,14949
27,20899
16055,4373
959,2998
27,11025
6498,386
11645,16055
16055,12024
2168,41488
47489,1160
2168,27093
48365,5291
11025,27
27093,2168
386,996
16055,11645
2168,49520
959,12024
2415,6321
50880,40918
9193,958
959,41488
885,27
3696,958
3696,2462
51463,2415
15761,7194
27,7669
386,2462
959,10013
2415,15761
6321,12024
386,16070
7194,37057
26,2415
8008,20632
16055,10104
16055,2167
6750,386
2415,29512
994,2916
49020,1160
16755,3696
12024,2415
37057,12024
2415,4373
7195,2168
994,27
32490,386
5318,27
6127,996
12024,5291
2922,27
2415,51463
27,9967
958,12032
7194,11645
10013,959
2415,2531
8298,386
886,386
25711,27
958,959
2415,59817
14586,21310
10949,959
7194,35981
886,959
9041,27
35981,2415
2415,12024
12024,22589
2415,61427
4373,12024
2922,5291
8008,1160
996,386
6864,27
20624,27
4373,16055
40336,2415
3680,5291
12024,959
1793,386
2415,3319
27,6391
15430,27
11325,386
10055,6057
40918,53049
5565,27
35981,7194
12024,10104
9229,386
27,25711
10134,27
5290,27
40693,5291
23004,27
4373,3681
958,53881
7194,41488
10058,27
6391,27
12024,6321
958,9193
3680,16055
11645,2168
2168,3680
27,6273
37057,2168
26,5291
37057,25287
9193,10055
6864,386
10104,22589
63914,2168
10055,12032
3037,10055
10104,16055
20899,27
1793,27
27,15430
10055,9193
15414,2415
6127,386
958,27
16055,2168
2998,959
27,959
27,29492
386,32490
2415,15414
40918,50880
2121,958
29771,29770
5949,2415
6321,2168
6190,958
3696,959
2168,2167
27,9041
12501,27
35981,41488
996,2916
20631,49020
59817,2415
10949,27
2168,33731
996,2461
16555,958
30562,27
6321,10104
16070,386
8298,27
2415,959
2415,35981
958,16555
2415,25287
958,996
14949,2415
2167,5291
2415,2168
2168,37057
2415,10104
3696,16755
7194,2167
959,37057
4373,22589
2168,7195
33731,2168
5291,958
10104,3681
38038,2168
1159,386
22589,4373
6057,958
61427,2415
2167,16055
22589,10104
2415,26
25287,70374
3680,22589
958,1160
53881,958
23004,386
3680,2415
2415,58637
3696,2916
7195,11645
2746,2415
7194,7195
3037,958
958,2121
959,7195
27,22165
10926,27
4373,6321
37057,959
22589,12024
959,5291
12699,1160
958,18205
7194,5291
29149,29148
5612,5613
22044,27
1300,386
27,5486
387,27
6321,2167
4829,386
5613,5612
16867,958
27,996
29492,27
48898,2168
4373,2168
74702,11645
53049,40918
36408,958
69583,16055
37057,7194
2766,27
10949,386
886,6128
12032,958
5486,27
959,886
25287,2415
2461,996
959,2415
44479,27
11645,7194
16055,6321
7195,7194
7194,959
2415,27947
14798,386
958,8008
2167,2168
12024,4373
6321,2415
3680,2168
44070,16867
6273,27
3681,4373
2168,2415
20632,20631
8008,958
2168,63914
2462,386
6750,1029
10104,2415
49789,25287
22165,27
886,27
959,27
27,386
2415,3680
10104,2168
6321,16055
3681,3680
3120,27
7195,959
2415,40336
2415,5949
41488,5291
41488,959
58637,2415
25287,49789
2922,386
2168,48898
10054,10055
2168,16055
3680,12024
2415,2414
51243,958
9967,27
2168,12024
996,27
41488,7194
