personchargedwithcrime_inv_1,personchargedwithcrime_inv_2
566,567
461,1704
461,3533
461,4869
461,11155
461,11412
461,11749
11761,11762
566,13722
566,15472
15557,15558
16630,4939
12044,16717
17134,15558
566,2001
17820,17821
18252,18253
461,13866
19669,19670
566,12560
566,19830
14751,19903
14751,2893
18913,2039
1547,6941
24259,20050
24754,13722
461,27249
20935,6941
461,17471
12044,28727
29878,15558
18913,30118
14751,31804
566,31900
32310,32311
18913,2333
461,3229
34009,6941
35581,35582
12044,19940
12044,16290
566,36379
461,36868
18913,11570
24259,19670
566,28560
566,9760
566,9741
7948,9575
12044,12043
12044,39658
18252,39684
566,27939
461,6941
566,42535
566,43535
566,3995
18913,14087
45903,33573
40161,12926
26361,26360
566,47784
566,5793
566,27710
49055,49056
18913,796
461,49840
566,50652
566,20133
566,27138
566,52242
566,17935
566,52673
18913,1122
49598,6941
35581,53814
566,10352
566,3008
566,9288
566,54828
566,4711
25814,25813
461,2893
461,4810
37701,4939
18913,39553
18913,1025
566,17821
566,28303
18913,1684
56867,33046
57022,53439
461,35035
566,15174
566,40507
566,835
461,58055
566,9019
566,26469
566,15156
461,59994
20935,2990
60554,60555
12044,56275
24754,4939
16630,15558
566,4928
566,9296
12044,30381
18913,647
461,31082
40161,1921
62327,62328
18913,33396
566,5682
18252,24609
63285,15475
566,62442
461,27105
566,63937
566,62332
7948,7947
461,12043
18913,17471
566,12056
461,1330
566,66105
18913,25178
566,66609
18913,24991
66882,41781
566,37986
18913,33845
67933,17471
64282,64281
68123,32856
36625,66580
566,68527
14751,46519
68943,4869
59520,59519
566,18702
461,19940
566,16281
18913,62548
566,4939
461,66660
12044,1921
566,3504
566,68457
566,1684
70095,70096
566,56275
14751,14750
566,49005
70619,70620
566,68553
461,16717
461,1025
566,52192
566,55649
461,56275
30595,30594
18030,18029
12044,11412
566,3432
566,5847
461,2397
461,5648
7948,36667
18913,45142
566,3264
566,11762
14751,91
566,27181
566,15558
43217,796
566,57259
72662,70620
14751,63870
566,11052
566,17059
461,796
566,1995
72950,796
566,20405
461,25649
18913,26126
24754,15558
566,66980
73175,39684
18913,57993
57022,15888
14751,12446
40161,796
566,34385
46661,46660
461,59558
12044,13866
566,16004
73975,46660
566,2552
566,70047
566,43103
56144,27181
68313,60555
461,91
566,15977
50129,15475
2553,2552
566,19670
566,11387
566,4753
566,66762
73092,40631
566,187
32310,41884
566,74696
566,74719
36625,2333
566,15068
3528,64622
566,796
461,28727
18913,1995
14751,71157
566,20915
34009,2990
37701,15558
6942,6941
566,6370
24754,41549
566,75230
35581,65877
12044,1025
566,19940
461,1921
18913,55851
566,43472
3528,796
566,28364
566,1234
6942,41781
14751,49911
566,12321
566,15816
566,12570
461,39658
12044,796
566,45671
566,2039
12044,12926
461,16290
12044,11155
