bookwriter_inv_1,bookwriter_inv_2
765,766
1034,1035
1279,1280
76,1853
268,2009
268,2118
2294,2295
2411,2412
2667,2886
2984,2985
3917,3918
3933,3934
4215,4216
4233,4234
4256,4257
4312,4313
3677,4386
4588,4589
4755,4756
5110,5111
5894,5895
3815,5953
5971,5972
6282,6283
6552,6553
6574,6575
7020,7021
2984,7038
7020,7094
7369,7370
7734,7735
7822,7823
8033,8034
8051,8052
8141,8142
8151,8152
8244,8245
8320,8321
8569,8570
8660,8661
8670,8671
8739,8740
7227,7226
8911,8912
9010,9011
9019,9020
9078,3957
9427,9428
9446,9447
9659,9660
8660,9833
9861,9862
10123,3934
10281,8570
10292,10293
10377,10378
9283,10449
10579,10580
2294,10585
10605,10606
10687,10688
10808,10809
2962,10814
5322,11237
11260,11261
11299,11300
11301,11302
11374,11375
11497,5959
11704,11705
11736,11737
11260,11845
11920,11921
3677,12133
6158,12355
12412,12413
12464,12465
5354,12600
12614,12615
12715,12716
12729,12730
12731,12732
12736,12737
161,12919
13047,13048
8151,13109
8033,13210
13226,13227
13252,13253
13406,6553
13719,13720
13991,13992
14061,14062
14093,14094
14114,14115
14322,14323
11651,11650
8540,14379
14511,14512
9250,14698
5287,14835
14898,14899
14959,14960
2433,9631
9877,15032
15080,3586
4448,4449
14825,15916
268,16061
268,16183
16223,16224
9446,16268
16505,16506
16544,16545
6317,10378
4233,17090
14832,15549
17242,17243
1045,17531
4233,3676
13541,17580
13226,17698
17774,17775
17787,17788
17842,17843
17878,17879
18357,18358
4675,10171
16287,16288
18485,18486
5685,5684
268,7760
13758,18691
18797,18798
18822,18823
6317,19081
19292,19293
15074,19425
19441,9020
19473,19474
3614,3615
19572,19573
6641,19625
15379,15378
19731,19732
11299,19845
20027,20028
20047,20048
20063,20064
5492,20071
20143,20144
20235,20236
8739,20028
20534,20535
3677,12748
1951,1950
10075,9267
20499,20674
18822,20785
20789,20790
4992,20808
131,20962
21022,21023
21177,9793
268,21227
21819,21820
21863,21864
21865,21866
2962,21943
22095,22096
268,2820
7369,19013
268,22320
11520,22462
2962,22600
8151,22644
22688,9267
22689,22690
22713,22714
22715,22716
22743,22744
20296,22758
12614,968
12464,4136
