sportfansincountry_1,sportfansincountry_2
348,349
3556,614
454,642
947,3307
7469,614
9525,614
10567,1188
10680,1885
454,4556
454,89
13146,103
454,5108
12816,3040
454,349
1100,8459
13146,2701
17505,349
13146,2626
454,6431
18831,614
47,3124
47,901
19261,614
454,3975
21320,614
23857,8459
7930,614
454,5501
13146,6431
13146,977
3531,642
12816,27507
19988,977
16666,349
29511,9080
3141,90
30569,614
12816,20459
2452,614
3531,614
47,14018
47,319
3141,103
33071,6044
454,6097
12816,5995
47,494
3141,5043
12816,1884
19988,1885
13146,19288
3531,13099
947,2626
13712,8459
37945,614
454,3273
3531,2701
31649,614
3141,2626
454,1885
24971,2701
12816,6044
1100,614
10567,1885
454,1901
42448,349
42691,614
3141,494
1100,977
454,5010
45314,614
45878,614
454,116
5170,614
454,2701
39169,1901
3531,494
3531,349
1100,103
454,2723
454,4915
45644,614
12816,2626
19988,90
32745,614
8578,2626
13712,13711
12816,2701
454,9393
47,4556
4000,614
12816,3797
13146,8459
54973,116
3141,642
32273,614
1100,13099
3531,4556
3141,636
56561,614
57667,614
3531,1256
10551,614
454,1059
3531,1901
1141,614
454,843
58652,6044
369,494
454,1061
22775,116
37862,614
1100,2701
47,1901
25653,614
3141,3307
3141,8459
3141,56856
14413,349
454,11663
24887,1098
12816,1885
1100,3124
454,4597
3531,9080
12816,17523
12816,8459
3531,977
10680,614
13146,1256
23994,614
35505,29078
947,901
12816,1256
1100,772
3531,901
1100,349
5696,614
66301,6069
39,614
454,5593
3141,1098
23060,614
1100,4556
3531,3307
12816,27083
47,614
13146,614
49842,614
6328,614
47,1885
454,9360
454,636
4403,614
3531,103
4228,2701
12816,494
454,700
6842,614
12816,10982
19988,26964
4292,977
39,4556
15454,614
21320,8459
454,1256
4228,614
1100,90
35121,349
12816,116
454,977
12816,7679
1100,9360
3531,2626
369,636
454,787
10567,90
3141,977
12816,6431
12816,69577
947,614
13146,843
3141,27782
29453,614
3141,349
12816,843
454,3307
51294,772
3531,6431
22775,2626
12816,12015
369,614
10036,349
21320,349
63392,614
39,700
11101,614
10883,614
23857,1885
454,901
35505,6431
4228,2626
11521,614
369,642
3141,614
8332,8459
13146,5010
24887,349
454,5752
47,977
34141,614
12816,977
24887,700
47,5995
12816,2771
22775,8459
1100,1256
3531,1098
12816,700
1100,13569
8332,27507
31969,614
454,103
53909,614
12816,15355
454,7473
454,9080
3531,1817
47,349
1100,3307
13712,9080
454,9390
23920,2626
454,8262
11254,614
13146,116
454,3078
39,6044
1100,1098
3255,614
454,5995
454,3797
6792,614
454,13099
4385,614
3531,5995
454,614
454,3124
454,1817
39,494
