personbornincity_1,personbornincity_2
32,74
175,74
418,74
1133,1134
1973,74
2003,74
3266,74
3932,74
4902,1134
5660,74
5847,74
5871,74
3113,74
7875,74
3627,4575
8561,74
8704,74
9023,74
2345,74
9536,74
3707,74
9575,2802
11058,74
11093,74
11968,74
11987,74
12216,74
13251,4310
10562,74
11387,74
7459,74
4711,74
14050,74
14469,74
14667,74
11634,74
15524,74
16168,16169
16515,74
16925,74
9765,74
10100,74
17547,74
3995,74
18387,74
10260,74
14621,4575
18800,74
21458,74
20635,74
22777,74
23463,751
18378,74
7468,74
10085,74
2333,74
12567,74
19535,74
9926,74
24542,74
24928,74
25779,74
15472,74
1515,74
26356,5813
25442,74
26901,74
26954,74
7,74
27363,74
12633,74
6566,74
6358,74
18825,74
2600,74
15133,74
29655,74
29980,74
30143,74
30197,74
23616,74
6158,3534
1149,74
13852,74
12865,74
13866,74
33234,74
14087,74
3264,4310
33619,74
11367,74
9019,74
34535,3695
23497,74
33183,74
15558,74
35385,74
17153,74
1784,74
91,2631
24482,74
26418,74
36751,5459
16281,74
37489,74
18367,74
22262,74
38223,74
15009,74
38373,74
38694,74
21135,74
38747,74
6863,31615
1234,74
19409,4310
12480,74
40393,565
1995,74
40874,74
3169,74
41168,74
14359,74
25895,74
41925,74
28945,74
124,74
2039,74
9120,74
42741,74
30960,74
8831,74
241,74
43347,74
5795,74
1990,74
3212,4310
935,74
45071,74
32717,74
34243,74
24622,74
2373,74
27892,74
45671,74
45136,4310
46098,74
13792,74
378,74
13122,74
29351,74
12345,74
47774,74
47942,22141
13830,74
24187,4310
11844,74
12207,74
15174,74
9112,74
5798,74
18663,74
7456,74
49608,4310
10164,74
26842,74
50148,4310
21904,74
33538,74
9927,74
42195,74
8359,74
38003,74
51320,74
23525,74
6945,4575
35867,74
19627,74
13288,4310
51774,74
10236,74
49371,74
53517,74
22937,74
11632,74
52757,74
10508,74
16717,74
796,4310
50134,74
55049,28299
25030,74
56028,7220
41265,74
43472,74
8061,133
21044,74
35400,74
10659,4310
19367,74
23118,74
18873,74
3912,74
49769,74
25854,74
6228,74
25100,74
9771,74
56673,74
27181,74
6608,74
709,74
26262,74
18153,74
26670,4310
58445,74
20133,74
9777,74
39529,74
5216,74
24664,74
58808,74
7193,74
25504,74
24998,74
7867,74
13178,74
253,74
20303,133
46666,74
22069,74
23953,74
2663,2662
36540,74
40414,74
51427,74
59626,74
26579,74
31321,74
7841,74
20699,74
53934,4310
25025,74
20803,74
23700,74
567,74
23433,4310
6485,4310
61148,74
31536,74
52347,74
19670,4310
25495,74
28934,74
7437,74
12021,74
21862,74
61637,74
4850,4310
26486,74
61803,74
46660,18046
9586,74
54806,74
62251,74
14146,74
23869,74
50064,74
42590,74
1376,74
3191,74
48096,74
49005,74
58757,74
18231,74
3807,74
11259,74
19291,74
6224,74
17883,74
8498,74
50122,74
46955,74
54611,74
7274,74
13811,21934
8236,74
52753,74
4928,74
60866,74
1565,74
2801,74
12432,74
16848,74
56115,74
18340,74
45536,74
43971,74
26297,74
41112,74
47967,74
11230,74
49390,74
1303,74
17287,74
14741,74
30992,74
33397,74
8594,74
46004,74
34583,74
67421,74
3571,74
26321,74
45108,74
18874,4575
45581,74
2589,74
66363,74
67693,4310
45519,74
2967,74
19047,74
6607,74
36410,74
44924,74
49445,74
58503,4310
10990,74
5534,74
8556,74
6274,74
4011,4575
49266,74
16315,74
6892,133
34103,74
16042,4310
8466,74
33636,74
69316,74
69329,74
69120,74
43449,4310
67907,74
39365,74
38802,74
48149,74
22402,74
60424,74
16908,74
5793,74
4044,74
4243,74
25512,74
42167,74
43921,74
52282,74
5325,4310
27138,4310
50398,74
58372,751
56083,74
15068,74
10835,74
34155,74
30159,74
12083,74
187,74
43680,74
65356,74
26841,74
19692,74
33265,74
1025,4310
1659,74
9046,74
5307,62748
50781,74
32378,74
63772,74
59716,4310
43573,74
39005,14704
49110,74
36098,74
56505,74
2875,74
6857,74
1514,2307
5803,4575
43768,74
11436,74
51056,74
3700,74
13807,74
9296,74
5682,74
27710,74
8525,74
70145,74
4965,74
17189,74
59933,59932
8437,74
37074,74
48005,74
71868,74
15014,74
69426,751
34081,74
17555,74
11155,74
3504,74
3628,74
53763,74
29591,74
3229,74
4239,74
9934,74
26770,74
38080,74
102,74
48347,74
16744,74
13932,57882
21823,4310
26329,74
7492,74
25233,74
17573,74
30548,74
2730,4575
35992,74
24720,133
53513,74
16863,74
32776,74
16647,74
34718,74
27247,74
13153,74
11360,74
12978,74
30777,74
18200,74
12056,4310
5630,74
21377,74
20478,74
65922,74
46667,74
3674,74
44360,133
11731,74
20425,11010
56077,74
17159,74
19376,74
17281,2163
14631,74
33775,74
13155,74
23543,10711
47330,74
60425,74
21309,74
15065,133
