agriculturalproductcamefromcou1_1,agriculturalproductcamefromcou1_2
103,294
700,1139
3797,1139
10296,3620
700,1301
9393,1139
700,14987
6097,1139
1901,2423
4646,1139
642,11635
10172,1139
349,294
678,1139
3124,1139
14350,1139
14350,13815
1098,244
787,3620
1901,2885
700,32902
7473,3620
614,3303
5501,1139
1901,37092
12164,1139
2129,1139
11663,294
13569,3620
5505,1139
1885,1139
9390,1139
8036,1139
8861,1139
11665,11635
13099,3620
977,13815
787,1139
700,294
1061,1139
11665,1139
700,17450
700,13815
9390,3620
1059,1139
700,56484
154,1139
103,1139
11663,2423
4556,1139
20204,1139
137,1139
657,1139
5108,1139
10895,244
5593,294
772,294
901,294
13865,1139
4556,263
2701,1139
700,3620
10523,1139
13980,1139
1188,1139
614,57018
901,3620
3307,1139
14350,294
614,37419
17461,1139
295,1139
636,1139
9239,1139
2626,3620
3307,12441
10089,1139
245,244
33108,1139
3161,1139
1901,3076
3501,294
1885,3303
657,294
614,4260
1062,1139
6044,294
8459,1139
154,244
349,7634
700,3076
245,1139
3804,1139
13569,1139
16992,1139
5010,3620
349,3620
23990,1139
5593,1139
2626,1139
4915,1139
5043,1139
19665,294
3797,11635
901,11635
2401,294
3273,1139
14018,1139
11663,1139
2723,1139
4133,1139
636,11635
103,244
642,1139
1885,3620
6432,1139
7271,1139
7473,1139
9302,1139
13569,294
51910,1139
13014,1139
8459,244
12277,1139
2288,58348
1885,11635
901,7634
2626,11635
614,11165
700,70412
494,1139
154,13815
90,244
3062,294
1098,11635
3975,1139
21584,294
6044,1139
1885,244
11628,1139
1901,1146
37443,294
614,59827
4556,3620
8027,1139
614,4407
614,33561
