athleteplaysforteam_1,athleteplaysforteam_2
125,126
167,168
475,476
661,662
931,932
1115,1116
1416,971
1554,113
1703,113
2006,2007
2426,2427
2471,2004
2499,497
2590,486
1112,113
3435,2694
3664,3665
4034,932
4363,1248
4420,2694
5360,5361
5507,56
1818,1011
5961,3746
6029,1604
6095,3746
6836,421
7054,126
7067,7068
7162,3383
7218,3383
7360,971
4536,57
8155,126
8234,3746
8591,1913
8813,8814
9005,195
9100,3393
9171,1248
9455,56
9875,3567
7086,4148
10141,8366
10237,68
3351,5352
10752,350
11486,662
11617,2338
11644,1604
11949,11950
12097,916
2337,5352
12334,932
12436,12437
12481,8286
11988,4602
12685,497
12815,932
12565,486
6257,7039
13028,13029
13316,4853
13515,686
13675,446
13737,5352
14280,9262
14344,8366
14767,932
3236,7068
15244,1248
15336,932
15370,2247
15766,3314
15815,4297
12643,10961
16558,3360
16086,4853
16661,1248
16680,1284
16935,1284
7051,3512
16965,34
17226,113
17309,2694
17323,8814
8654,4183
17784,3393
13525,1011
8449,5352
18035,2209
18202,18203
18288,1081
18385,686
18568,2703
18639,3512
6929,3772
17263,256
18852,10864
646,1004
15897,421
19907,6563
20279,2640
20325,686
20423,126
19834,1493
17606,1116
18847,4853
5098,3746
21439,5340
7217,4297
12599,501
14745,476
21884,2247
10205,392
22171,9262
22199,3900
22202,552
5519,2209
22654,882
22969,3360
23081,932
8754,5352
23191,2338
23333,7039
14128,486
23599,10864
23735,500
1605,1604
23806,1284
8792,4147
24619,3360
16110,68
24827,2703
20582,2694
2987,25112
25175,35
25230,932
8497,1248
23966,8222
19353,4183
25565,882
25712,4662
25797,4418
25843,3665
17734,3383
26152,4148
8881,3893
26517,686
19576,1004
1812,68
27278,2338
27425,2694
1801,3893
27909,2476
28026,3383
28149,14294
28189,2973
27103,99
28302,497
10197,2694
28836,168
28846,3745
28865,18203
774,3567
13706,3360
19937,2007
11065,4418
29005,421
29086,1248
27435,1604
18404,3746
15959,2593
22306,562
16058,1248
29570,2004
29702,2286
3894,3893
29708,2209
29729,1913
29957,2702
6755,2476
30009,2694
30039,1011
29640,2209
30158,13956
30496,687
17198,1004
30551,56
5171,97
12210,1248
30871,1992
31011,28507
31271,932
26729,4148
27949,1004
31401,497
31426,21640
27063,486
30783,69
31713,2209
31844,447
1384,1004
31936,487
17066,2694
32393,2476
8571,3293
32476,230
32530,13956
32731,3314
32872,5352
31240,392
1213,4418
33029,1633
33179,1913
33199,8148
17469,9262
18043,5002
31945,497
8445,62
23948,4418
3958,281
4550,1248
24518,1248
34256,2338
14278,56
21038,1914
25282,1248
35117,2286
19624,383
18478,10864
25530,5002
16731,1284
31607,10864
34386,687
36004,1102
2507,552
36399,14153
31972,230
28985,2338
7294,281
36686,195
36708,62
27044,687
28114,2338
30863,3746
37023,34665
37118,1248
31207,3746
34578,2338
34477,446
35307,1248
21134,2004
8290,552
24533,1116
38466,10159
31498,2007
16604,1914
16819,98
36035,3360
367,501
3424,421
39082,68
13053,9769
39263,9262
39302,2286
365,1992
22687,2476
5545,476
13004,3746
10441,1248
4748,501
39661,2703
5292,3746
2331,56
10750,4148
4828,1992
36441,2338
40250,421
9894,486
3394,3393
2974,2973
1241,3772
40814,10331
40922,4926
39683,3188
40977,2476
41096,662
29271,2476
25788,87
41380,3567
13936,56
41538,9262
14380,4148
41844,392
41863,497
27182,2247
41962,932
12721,552
15306,1004
42175,686
40305,4418
42532,13920
28414,1493
4185,2593
11902,2476
42757,1992
12647,3772
8897,56
23530,3746
39033,662
43053,4183
31691,2694
24440,1992
8874,2007
6091,4297
32821,68
39580,4297
25049,87
44283,686
44437,1116
44446,686
44648,4867
21164,56
39419,256
6538,2427
23844,687
33277,2694
18204,2286
45037,932
45083,9805
45167,1284
45172,2286
31204,2703
31663,1284
7045,3383
45497,9262
10812,497
38118,3665
38174,1004
28378,4926
31674,2964
39369,56
1325,3293
15609,13029
31764,8532
46131,5002
6667,1248
23246,4662
19297,447
