latitudelongitude_1,latitudelongitude_2
119,120
390,391
655,656
670,671
776,777
951,952
1096,1097
1113,1114
1185,1186
1193,1194
1208,1209
1338,1339
1360,1361
1410,1411
1524,1525
1713,1714
1813,1814
1850,1851
1878,1879
1934,1935
2161,2162
2192,2193
2235,2236
2357,2358
2518,2519
2645,2646
2698,2699
2785,2786
2827,2828
3216,3217
3250,3251
3260,3261
3286,3287
3297,3298
3408,3409
3516,3517
3523,3524
3543,3544
3640,3641
3662,3663
3671,3672
3718,3719
3760,3761
3822,3823
3826,3827
3828,3829
4076,4077
4173,4174
4198,4199
4254,4255
4278,4279
4341,4342
4426,4427
4454,4455
4507,4508
4530,4531
4554,4555
4633,4634
4637,4638
4671,4672
4894,4895
4912,4913
4917,4918
4966,4967
4995,4996
5125,5126
5145,5146
5197,5198
5233,5234
5448,5449
5470,5471
5516,5517
5528,5529
5535,5536
5574,5575
5582,5583
5616,5617
5633,5634
5720,5721
5742,5743
5760,5761
5890,5891
5901,5902
5912,5913
5928,5929
6099,6100
6125,6126
6137,6138
6252,6253
6277,6278
6292,6293
6312,6313
6360,6361
6376,6377
6398,6399
6408,6409
6475,6476
6477,6478
6528,6529
6653,6654
6676,6677
6684,6685
6713,6714
6764,6765
6820,6821
6822,6823
6843,6844
6879,6880
6951,6952
7026,7027
7081,7082
7112,7113
7163,7164
7166,7167
7272,7273
7287,7288
7322,7323
7380,7381
7388,7389
7405,7406
7441,7442
7454,5021
7500,7501
7534,3590
7549,7550
7552,7553
7570,7571
7572,7573
7599,7600
7632,7633
7655,7656
7673,7674
7693,7694
7715,7716
7752,7753
7784,7785
7788,7789
7917,7918
8066,8067
8201,8202
8242,8243
8305,8306
8346,8347
8348,8349
8350,8351
8386,8387
8388,8389
8450,8451
8474,8475
8618,8619
8769,8770
8837,8838
8898,8899
8902,8903
8925,8926
9051,9052
9076,9077
9125,9126
9129,9130
9224,9225
9254,9255
9256,9257
9347,9348
9449,9450
9453,9454
9573,9574
9627,9628
9639,9640
9700,9701
9705,9706
9719,9720
9739,9740
9773,9774
1480,1479
9818,4677
9917,9918
9959,9960
10001,10002
10011,10012
10070,10071
10137,10138
10165,10166
10178,10179
10262,10263
10309,10310
10404,10405
10534,10535
10557,10558
10701,10702
10703,10704
10719,10720
10727,10728
10765,10766
10771,10772
10852,10853
10858,10859
10936,10937
2000,1999
11001,11002
11047,11048
11136,11137
11204,11205
11221,11222
11233,11234
11271,11272
11290,11291
11326,11327
11335,11336
11337,11338
11349,11350
11369,11370
11449,11450
11483,11484
11580,11581
11601,11602
11646,11647
11692,11693
11698,11699
11763,11764
11832,11833
11876,11877
11888,11889
11922,11923
11938,11939
11992,11993
12000,12001
12007,12008
12019,12020
12026,12027
12029,12030
12068,12069
12081,12082
12099,12100
12218,12219
12241,12242
12272,12273
12274,12275
12291,12292
12352,12353
12457,12458
12462,12463
12468,12469
12511,12512
12525,12526
12530,12531
12532,12533
12604,12605
12629,12630
12677,12678
12712,12713
12738,12739
12809,12810
12821,12822
12829,12830
12946,12947
12991,12992
12997,12998
13140,13141
13193,13194
13238,13239
13279,11782
13327,13328
13398,13399
13420,13421
13453,13454
13459,13460
13462,13463
13518,13519
13565,13566
13592,13593
13594,13566
13633,13634
13656,13657
13673,13674
13678,13679
13726,13727
13746,13747
13800,13801
13812,13813
13822,13823
13831,13832
13842,13843
13883,13884
13895,13896
13938,13939
13940,13941
13976,13977
13997,13998
13999,14000
14004,14005
14022,14023
14036,14037
14090,14091
14161,14162
14173,14174
14175,14176
14181,14182
14191,14192
14314,14315
14317,14318
14326,14327
14337,14338
14369,14370
14424,14425
14430,14431
14458,14459
14470,14471
14473,14474
14588,14589
14661,14662
14670,14671
14677,14678
14681,14682
14723,14724
14758,14759
14777,14778
14815,14816
14859,14860
14885,14886
13855,13854
14977,14978
15000,15001
15006,15007
15017,15018
15055,15056
15087,15088
15293,15294
15304,15305
15347,15348
15422,15423
15488,15489
15493,15494
15496,15497
15511,15512
15535,15536
15581,3829
15586,15587
15704,15705
15719,15720
15767,15768
15778,15779
15852,15853
15924,15925
15942,15943
15964,15965
15986,15987
16016,16017
16089,16090
16238,16239
16251,16252
16380,16381
16487,16488
16507,10263
16574,16575
16586,16587
16633,16634
16641,16642
16703,16704
16763,16764
16826,16827
16869,15848
16882,16883
16969,16970
16987,16988
16994,16995
17012,17013
12262,12261
17034,17035
17043,17044
17095,17096
17112,17113
17122,17123
17138,17139
17157,17158
17272,10766
17299,17300
17312,17313
17326,17327
17436,17437
2745,2744
9976,9975
17539,17540
17593,17594
17596,17597
17615,17616
17617,17618
17666,17667
17694,17695
17722,17723
17724,17725
17732,6293
17782,17783
17818,17819
17870,17871
17923,17924
17983,17984
17987,17988
3591,3590
18022,18023
18100,18101
18212,18213
18265,18266
18286,18287
18309,18310
18321,18322
18368,18369
18414,18415
18417,18418
18437,18438
18456,18457
18487,18488
18490,18491
18503,18504
18523,18524
18559,18560
18600,18601
18642,18643
18669,18670
18689,18690
4082,4081
18731,18732
18765,1904
18773,6880
18854,18855
18890,18891
18959,18960
18967,18968
18993,18994
19021,19022
19061,19062
19063,19064
19111,19112
19181,19182
19227,19228
19233,19234
19275,19276
19278,19279
19373,19374
19380,8243
19421,19422
19491,19492
19499,19500
19519,19520
19531,19532
19567,19568
19578,16764
19579,19580
19712,19713
19726,19727
19781,19782
19785,19786
18583,18582
19862,19863
19904,19905
19948,19949
19950,19951
8726,8725
20109,20110
20212,20213
20233,20234
20263,20264
20274,20275
20339,20340
20359,20360
20461,18310
20480,20481
20497,17248
20504,20505
20522,20523
20552,20553
20565,20566
19587,20577
20602,20603
1395,1394
20636,20637
20684,20685
20686,20687
20777,20778
20867,20868
20878,20879
20900,20901
20920,20921
21020,21021
21031,13144
21075,21076
1905,1904
21104,21105
21245,21246
21323,21324
21330,21331
21337,21338
21356,21357
21362,21363
21369,21370
21407,21408
21416,21417
21494,21495
21529,21530
21539,21540
8787,8786
21619,21620
21628,21629
21638,21639
21667,21668
21744,21745
21971,21972
22030,22031
22032,22033
22050,22051
22060,22061
10541,10540
22114,22115
22155,22156
22180,22181
22197,22198
22215,22216
22237,22238
22296,22297
22304,22305
22446,22447
22448,22449
22459,22460
22484,22485
22486,22487
22497,22498
22520,22521
22595,22596
22606,22607
22620,22621
22623,22624
22694,22695
22778,22779
22783,13679
22789,22790
22805,22806
22880,22881
22892,22893
22904,22905
22906,19064
22949,22950
22956,22957
23065,23066
23082,23083
23089,23090
23103,23104
23130,23131
23138,23139
23144,23145
23165,23166
23179,23180
23182,23183
23185,23186
21212,21211
23219,1186
23268,23269
23320,23321
23323,23324
23365,23366
23379,23380
23413,23414
43,23418
23562,23563
23574,23575
23603,23604
5931,5930
23629,23630
13610,13609
23680,23681
23727,23728
23748,23749
23758,23759
23766,23767
13061,13060
11070,11069
23809,23810
23811,23812
23820,23821
20173,23861
23866,23867
23908,23909
23933,23934
22563,22562
23997,23998
24087,24088
24113,24114
24133,9975
24164,24165
24234,24235
24253,24254
15274,15273
24316,24317
24324,24325
24341,6150
24371,24372
24380,6880
24401,24402
24406,24407
24429,24430
24494,24495
24505,24506
24507,24508
24538,24539
24592,24593
24596,24597
24602,24603
2574,2573
24635,17725
24639,24640
24667,24668
18915,18914
24696,24697
10804,10803
24738,24739
24767,24768
24829,24830
24851,24852
24854,15848
24984,24985
25032,25033
25047,25048
10626,10625
25123,25124
25127,25128
25136,25137
25156,25157
25166,21611
25220,25221
25240,25241
25357,25358
25413,25414
25422,25423
25437,7786
25451,25452
25478,25479
25493,25494
25514,22422
25533,25534
17190,25556
25567,25568
16790,3524
25604,25605
25618,25619
25626,25627
25727,6377
25777,25778
25800,25801
25818,25819
25838,25839
25852,25853
25870,25871
25912,25913
8599,8598
25954,25955
25981,25982
26014,26015
26066,26067
26072,26073
26082,22348
26083,26084
26085,26086
26093,26094
26135,26136
6310,22396
26177,26178
26181,26182
26232,26233
26247,26248
26290,26291
19882,19881
26410,26411
26489,26490
26492,26493
26500,26501
26507,26508
18151,18150
26551,26552
26554,26555
26557,26558
26624,26625
26634,26635
26693,26694
26697,26698
26719,26720
26725,26726
26748,26749
18063,26758
26766,26767
26778,26779
26780,26781
26784,26785
26799,26800
26850,26851
20177,20176
26861,26862
26866,26867
26895,26896
26920,26921
26922,26923
26926,26927
26955,26956
27061,27062
27122,27123
27151,27152
27303,3829
27352,27353
27414,27415
27420,27421
27446,27447
27457,27458
27474,1186
27480,27481
9534,9533
23227,27522
27558,27559
27569,27570
27614,27615
27626,27627
27628,27629
27643,27644
27664,27665
22830,22829
27699,27700
27729,13679
4296,4295
27773,27774
27775,27776
17415,17414
27806,27807
27808,27809
27819,27820
27821,27822
27827,27828
27885,27886
27901,27902
27912,27913
17557,17556
18972,18971
