journalistwritesforpublication_1,journalistwritesforpublication_2
95,96
426,427
340,495
571,572
340,594
572,634
1424,1425
1909,340
2031,95
1424,2032
340,2076
2160,340
1424,2265
2405,2406
2767,2768
3023,3024
3511,340
3592,3593
340,3952
3954,3955
4030,4031
572,4116
572,4208
4522,4523
4553,340
4606,572
4712,4713
4772,4773
4873,572
5298,3670
340,5311
340,5584
5769,5770
340,6266
6417,340
6536,6537
544,6969
6977,6978
340,6985
1424,2160
7129,7130
7158,7159
7521,7522
7610,6536
7666,3089
7701,7702
7894,340
2717,8023
8354,8355
8499,1424
340,8624
4030,8967
8973,4105
9116,9117
6025,4105
9252,9253
9465,1424
9529,9530
9582,9583
9607,2405
9608,340
9650,544
9968,544
340,9997
9264,10133
10146,10147
10373,6042
6969,544
10518,10519
340,10724
10839,10840
340,10889
340,2032
11012,572
11023,11024
340,11094
11232,340
11366,1424
1424,7894
11757,11758
340,11977
340,4467
7522,12256
95,12491
12609,12610
340,12864
9252,13005
3089,13078
13081,1424
13165,1424
13236,340
13273,1424
13559,340
13599,1909
13644,13645
13710,6536
13806,340
13949,340
14184,14185
340,14196
340,14238
14412,340
14811,427
4712,14933
15049,544
15191,572
11627,15358
15630,15631
15782,340
15866,340
340,13806
572,15984
16020,544
340,16045
544,16161
340,16215
16442,1424
9116,16483
572,16502
16521,340
16583,7730
544,742
16605,16606
16692,8565
1424,16813
16844,16845
3089,17412
340,3511
544,17807
17936,17937
18031,340
18034,340
95,17376
544,17412
18085,7483
18455,340
544,18654
18747,340
18776,6536
18865,1424
14185,1424
19005,340
340,19067
19082,19083
10559,1424
19176,340
19177,19178
12614,9116
10422,9530
19202,340
775,19205
4105,10133
19525,10519
10559,340
340,19593
19599,7730
19620,340
3089,19705
8461,19720
572,19788
19798,572
20023,340
3088,572
20091,340
7730,12316
14238,340
14196,1424
4792,20467
4208,572
13108,20645
7130,1424
3403,20813
15917,20831
572,17807
9116,20990
21009,21010
340,21090
9997,1424
21321,9264
