beveragecontainsprotein_inv_1,beveragecontainsprotein_inv_2
1828,1829
2603,2604
3871,3872
3998,1353
14568,2604
1828,1353
1828,1154
1828,23512
24588,2604
3871,2604
8662,1956
1828,31934
1828,24241
1828,244
1828,2885
38915,25227
1828,30553
38915,13546
5412,2604
1828,42044
1828,21482
47384,1353
46536,1353
1828,50854
1828,37820
38915,6287
51756,25227
1828,2392
5412,3872
1828,16959
47982,2604
52692,25227
3871,1353
1828,51021
13475,1353
1828,6470
57847,25227
1200,1199
1828,11635
51483,1353
60014,1353
1828,60321
61835,1353
1828,9219
2603,11635
58948,2604
1828,54183
1828,32832
63541,1353
1828,94
39903,1353
62794,2604
1828,36051
1828,25227
69339,1353
25228,25227
9049,1353
1828,12781
19414,1353
34286,1353
70059,1353
38915,1353
2603,1956
73526,1353
1828,57983
1828,56380
1828,49596
71661,1154
1828,38509
1828,71215
1828,14526
5412,1353
11860,1353
1828,17608
1828,232
1828,27342
1828,21174
2603,24559
1828,9056
1828,9806
1828,36728
33730,22658
1828,12845
51777,1353
1828,52502
75171,1353
