statehascapital_1,statehascapital_2
2274,2275
2349,2350
4095,4096
7763,4978
13393,13394
4047,9547
22178,22179
22659,22660
24139,9736
8672,16508
9972,24774
3538,7001
21514,21513
904,6379
12649,12648
13764,31418
2366,1329
28159,917
1092,13627
3726,34506
6329,6109
22147,4861
8272,45302
21122,80
2424,4665
7339,3104
819,9365
9147,37432
50669,25747
270,47580
6288,17374
321,3115
35231,28592
45018,37877
56601,1405
2417,18700
32753,50575
9355,39551
1966,45998
21402,3737
16683,6936
37272,60746
1953,53536
34000,61298
22702,815
25471,59284
459,3204
48909,39660
1374,16950
10416,11505
57236,57235
2068,8310
8882,56052
10888,10887
717,11723
31488,65488
3055,40864
52897,38015
20206,5459
31215,31214
67600,67601
21535,60742
1627,3782
2079,11010
47539,20203
65097,31542
36972,36971
54350,54349
1050,1049
70340,70341
6,14289
45765,70791
27996,1465
34118,47093
49268,49267
66404,36078
3805,14988
11317,50137
2731,73035
15723,183
11007,72880
12401,59311
73364,25762
6416,73076
10743,10742
69517,25188
7905,12951
73824,73825
344,9900
13292,44220
6947,15104
30617,19396
1868,1753
38872,34277
5552,15395
56933,25749
33159,8238
13016,13017
41239,41238
10658,25303
46686,74730
20088,68586
3005,800
12642,12641
25189,24454
28468,930
41667,41666
3262,11225
61819,1079
30005,30004
46050,57515
36369,36368
24511,24510
49137,46846
17,6064
29154,29153
13269,1894
42369,68879
