sportsgameteam_1,sportsgameteam_2
1191,1192
1852,1493
1266,2286
1692,4297
1908,326
1266,350
4611,4612
1908,4737
1852,486
3227,3745
1908,5767
6395,3746
1266,256
1938,487
1908,8486
1938,447
1692,383
1908,8751
1908,422
1285,10392
1285,379
1908,11190
1285,5044
1908,10331
1692,1265
1908,882
1908,3567
1285,2004
14112,497
3227,932
1938,379
1266,4926
1692,5352
1938,2593
1285,446
1908,392
1908,5340
1266,35
1908,971
3227,16402
6410,14294
1908,551
1938,1250
1692,8814
1938,1914
3227,1807
1285,281
1266,4418
1908,1988
1692,7812
1908,21782
1938,2476
1908,21181
3227,4661
1692,22551
1266,18519
1266,4148
1908,4926
3227,421
1266,446
9030,12248
1285,3293
1266,2007
1692,4513
1908,379
1908,5044
24579,99
1692,5340
3227,19494
1692,4854
1938,281
1908,4418
231,446
1938,3314
1908,11214
25740,3393
1908,25786
1938,113
1692,26188
1692,10775
1938,1102
1692,4123
1908,18519
1266,1248
1908,68
1266,1265
1908,12248
1908,28153
1908,56
1908,100
1908,7319
3227,686
8840,1248
1908,29687
1908,1284
1908,9769
1285,126
1908,2172
1692,5044
1692,3360
1908,2095
1908,3665
1908,2007
1266,3746
1692,3393
1908,4848
6410,5182
1692,4737
3227,422
33499,3567
1908,10922
1908,33623
3227,4779
33883,486
1908,3293
34157,7958
1908,7555
1692,34427
1692,4779
1285,486
24231,806
1285,4418
1285,1102
1692,501
3227,35
3227,4297
1908,9822
25740,1102
1938,3745
1908,1011
1266,5002
1692,37117
1908,2973
1908,8366
1692,15846
37801,8814
1908,27496
1908,1992
1908,12325
1692,13298
1908,8814
35485,1248
1908,4853
3227,3900
1285,4297
3227,1102
1908,11985
10006,3746
1692,1355
231,11214
1908,421
1692,2209
14112,1011
1266,3745
3227,2209
3227,113
1938,22573
41171,971
1692,16250
20307,7958
41607,500
1692,21762
3227,2247
25740,4147
41928,1248
10006,2593
1285,256
25740,10331
1908,501
1266,2341
25740,446
1692,42663
1908,662
41171,486
1908,1102
1285,4504
1266,10392
1285,497
1908,8222
3227,34
1285,1086
24579,87
1908,2244
23097,3854
1908,3746
1266,1011
1692,1102
1908,17579
1908,4659
231,1992
29363,1192
24579,392
1285,3512
1908,34
3227,5002
1908,16250
1692,552
29169,16250
1908,10793
1692,446
1908,19054
1266,4848
1692,1250
231,932
16754,2593
1692,16402
1285,3393
1266,28153
1692,500
1285,1081
231,62
1908,17670
1692,4853
24579,4602
1908,87
1938,497
231,18519
1908,7812
47491,3746
1908,3900
1692,497
25740,7958
1266,3893
1908,16729
1938,87
231,3293
1692,686
4611,806
41171,932
1908,1807
1908,806
1285,3383
3227,28153
1266,10864
1692,687
1692,51934
52115,113
1908,486
1285,10331
1692,29887
3227,12325
1285,383
1266,10961
1692,1604
1692,12115
1285,1011
1266,1493
1285,971
1692,3188
1908,1913
1908,2593
1908,9915
1908,4787
5431,3746
1692,281
1908,4779
1938,476
33499,1248
33883,3393
1692,690
1908,13029
1266,7039
20307,4147
1266,1988
1908,487
1908,56640
1692,9262
1266,4297
1908,2286
1908,5181
1908,2476
1692,2420
3227,8486
1692,3745
1938,971
1266,932
1692,4662
1266,2694
1692,57519
1908,5920
3227,8814
1692,1004
1692,52411
1908,9598
1908,4165
1266,379
1285,1284
3227,13363
1908,10392
11850,500
1908,2338
1692,4661
16754,932
1692,48068
1938,3567
12222,1248
1285,33003
1692,806
19843,1192
1692,1439
3227,10961
1908,4662
1938,10961
16754,971
1266,1633
1692,4148
1908,1081
25740,5002
41171,882
1285,87
4611,497
1266,7403
1908,10864
1692,28108
1908,55529
1692,12839
1908,5182
1692,282
1908,6563
1938,486
1692,1493
1908,1914
1692,1248
1908,1439
22873,1248
1285,1248
1692,326
