agentbelongstoorganization_inv_1,agentbelongstoorganization_inv_2
143,144
179,1093
57,1441
2396,2397
179,2485
257,2505
2678,2679
786,2857
2396,2893
3775,3776
179,4070
179,4098
2772,4587
12,5119
3051,5388
5588,5589
179,5980
12,6430
179,6662
179,7438
7349,7617
604,8824
179,178
179,9618
179,9649
2396,10097
95,10111
179,10379
95,10811
8748,10832
30,11477
791,11570
342,13182
791,12215
9045,13308
1136,9391
14583,14584
791,14877
179,14904
95,15473
2222,8359
257,16154
2396,1921
12,13160
1001,17654
5588,17824
1860,8549
179,7423
2620,18353
342,16204
179,5409
17481,19080
179,19303
2396,19632
12686,19864
604,19866
2152,3000
179,12551
1001,20260
791,8179
20537,20538
179,2026
1782,21233
179,4619
604,21483
179,9935
179,21637
179,13149
95,21713
179,6806
7349,13160
257,23464
281,19035
342,23894
604,24121
9045,20087
2222,14087
179,24503
179,18596
1873,2517
10474,25217
179,23340
8748,2205
680,681
614,25540
604,25773
179,7912
5588,25943
179,8960
1001,26120
30,8590
8748,27078
9045,3787
5754,3550
633,28421
342,28564
2222,17692
1136,29510
342,28005
2396,27006
179,30518
2222,13830
179,23668
604,9024
179,31226
9045,31778
677,1931
604,32058
179,32302
257,32708
95,31810
179,32901
257,33014
179,17713
179,25552
791,3689
179,2671
179,8613
5172,34314
179,226
179,27172
2222,1234
179,6856
2396,31335
7248,35603
179,361
1782,35773
4,5674
179,16404
342,30797
257,1187
179,23355
257,33648
143,37885
179,5096
179,25024
179,9708
2222,38264
179,38366
342,38413
1136,38978
95,39257
8748,39574
1001,40275
2396,19558
12,16043
2396,40894
179,1733
179,6799
5263,20538
1001,41470
1782,5008
1782,1781
30,478
179,24414
2692,37335
1782,2113
95,37950
8748,20957
42968,42969
2222,12207
2396,7477
1424,20957
179,17026
179,22590
9045,43921
2620,44458
2772,34289
179,28984
179,32557
179,10512
179,17492
179,19245
9045,36687
257,11615
2222,7437
12,7828
257,45196
791,3005
2222,2967
12,13583
604,46052
2396,7488
12,36484
10674,29303
257,16272
2396,38182
1782,1901
179,10348
2396,11795
179,28832
2692,47511
179,20524
179,38563
179,10279
179,19089
179,23666
179,36623
30,41668
2222,27363
9539,2201
2396,3229
791,2105
179,40041
2396,47419
95,8880
257,10278
179,21980
5651,13160
44941,50181
2396,778
2396,50385
41501,34458
2396,27972
342,16947
9045,51096
4,51211
2396,10336
3005,51562
1038,10304
2861,205
179,29382
5263,26359
604,29049
179,4189
257,14391
2396,2636
2222,10352
179,16160
179,47749
179,4558
2222,5733
30,35952
53230,11219
8736,53258
633,21642
5588,53464
5588,2679
791,10866
791,53640
1790,21642
179,4263
791,8438
2222,1149
1782,54052
19997,13160
179,22135
179,3666
10502,20443
11430,3121
179,54768
791,18133
257,34121
179,15879
179,28662
179,20100
741,27595
1782,8262
10474,29813
1001,31551
1782,20555
8150,9391
257,6255
791,26997
342,42794
1860,45212
179,2103
179,26617
179,5508
293,7264
95,56437
95,17697
56683,56684
9045,45136
31752,205
12897,9391
179,9313
2222,7841
2222,18826
26007,3550
5172,30239
15179,19508
47738,11760
179,46787
179,1357
179,12351
257,58091
179,10184
179,18422
627,13160
179,5220
12,53918
179,15173
12,18830
604,43972
8511,4988
257,7218
179,5120
179,27391
257,58864
179,10623
2222,48347
2396,32
18716,1550
741,7828
10249,4394
791,22242
12,2277
1001,48607
12,19390
1001,3539
27740,3550
17266,25224
12,59513
9045,32560
12,22425
179,14384
604,43312
1001,30640
179,45303
7057,13272
179,31232
342,39240
257,31438
179,11212
2222,1442
1001,2064
1782,5813
179,24848
2620,61321
1860,17105
179,17957
2396,12446
179,45320
2396,56388
456,61974
791,9752
5588,681
791,56226
2810,49913
1369,6848
179,6206
2396,1469
179,4182
2396,62850
9045,18378
5172,39679
179,11732
12,3312
2202,2201
257,39564
2396,49205
6500,14501
179,32147
257,37761
786,63440
342,56384
179,14484
2222,187
10474,63555
179,35602
604,63773
179,12048
179,13085
604,48419
604,59919
5172,6359
257,64317
8748,20538
95,40014
179,43641
1038,35316
53264,54500
179,5671
791,36063
12,42878
30,13069
95,60376
604,65000
257,7737
257,15008
2222,1858
179,37943
3034,26600
604,65341
2756,2755
1782,8920
30,17675
5588,11718
61416,60191
179,16526
12,8165
791,9260
1790,6248
179,24422
179,35159
179,27494
2222,778
179,25664
20537,20957
2222,4879
179,22705
179,14309
95,3678
2222,6358
179,18102
9045,3113
2396,12
342,63781
604,28827
2396,47177
1782,40416
179,8854
2222,3504
3235,9391
2396,1671
17221,4394
14184,20538
179,29851
342,3136
179,12892
1001,14447
27126,681
179,54901
1001,25071
179,45631
