atlocation_1,atlocation_2
135,136
162,6
163,164
242,243
135,347
435,436
483,484
555,556
564,565
601,602
435,613
435,712
135,817
435,876
887,751
1015,1016
1032,270
49,1057
435,1070
1246,36
860,1251
1329,978
1379,243
1576,351
1626,1627
156,1894
163,1942
2078,2079
156,2100
780,2145
2262,1516
609,2332
2503,2504
2635,905
135,2718
435,2829
435,2862
163,2932
3004,3005
156,36
3279,904
163,3309
163,3327
3413,36
435,3489
156,3585
435,3711
435,3757
609,3763
660,3813
3869,3870
435,4052
435,4170
4266,1966
163,4293
156,4888
5204,2063
435,4388
5264,270
5436,3538
163,5444
156,5474
163,2260
163,48
5603,3870
5614,1844
610,4592
5773,2424
2707,588
5948,1953
163,5983
163,5997
135,5866
6142,819
6325,1868
156,6333
6346,904
435,6372
4365,6405
6593,377
6657,1966
6743,3897
6968,602
1674,7001
6922,192
7134,7135
2106,1944
6964,7178
135,36
7242,250
7249,4047
7532,6
435,7695
156,7832
1988,3689
435,7924
7994,819
609,8122
435,8225
8415,2303
8535,3538
8711,4047
435,8764
163,8862
8863,6
8944,844
8956,779
9057,8162
1674,3124
9236,1944
9375,243
9376,36
9407,321
163,9587
156,9679
9731,321
435,9755
9772,36
5040,3870
9831,351
9867,4047
8993,1057
163,10113
10194,659
135,10270
435,10327
163,10442
10517,866
2255,1953
10675,1953
435,10758
9906,2145
435,10802
10848,321
10868,3005
1674,1901
435,10335
860,10971
156,11055
556,1953
602,819
11293,1868
163,11508
11608,351
11624,9462
11679,4196
11784,36
11792,494
156,2163
11822,859
163,1334
3195,2796
4593,10183
435,12167
435,12182
12199,484
12302,351
12411,1966
12414,321
435,12477
3728,12500
12516,859
435,12681
12705,904
12856,9422
12103,659
435,4074
435,13168
13284,8910
13339,351
13411,4047
1914,3689
13502,2158
163,9694
163,13775
13350,250
13880,36
6536,192
435,155
14011,1627
14032,819
4641,3897
14340,819
4048,3689
6325,1966
14585,1868
14632,243
860,1901
156,9487
10321,866
14808,10826
1834,321
135,15103
435,15151
15196,2303
15254,2349
3692,859
15366,321
49,48
15460,1627
163,9635
435,602
332,2796
49,192
435,15568
15584,1966
15585,6788
4708,1953
163,15686
2176,2078
156,15718
15929,1568
16039,1966
1674,700
14930,16328
16333,250
16552,659
15781,321
16581,36
435,3324
16672,904
163,10176
16714,250
435,1098
49,779
435,17071
7084,321
435,4203
163,1787
17455,819
11831,321
163,14602
163,17602
163,17632
435,8997
435,17642
17144,321
163,17665
17731,133
17752,17753
860,10442
17798,7557
156,8997
4593,192
17857,1050
17888,10367
12196,3518
435,17974
435,6968
4708,321
11956,2796
18263,36
18312,321
18366,4767
163,18439
14133,8949
435,18494
135,18501
15803,717
19073,1966
1110,8910
192,288
19165,3738
435,19179
156,1227
15847,4767
19358,36
5163,192
1674,19487
19539,250
19623,1627
435,17646
4325,1868
6092,3870
19674,6441
19745,7557
19783,321
19819,36
19832,866
156,17301
20069,250
435,20075
