countrylocatedingeopoliticallo_1,countrylocatedingeopoliticallo_2
234,81
465,466
636,637
912,541
245,81
1688,81
2129,541
2204,81
3062,541
3982,3983
103,4432
349,5451
1098,5597
103,5697
5889,81
1062,6650
1811,81
8516,1334
8879,81
6044,6431
442,541
7473,9217
772,9217
9767,81
10795,81
11561,81
295,771
908,81
295,3396
11959,81
1061,6431
5995,541
5010,541
14598,541
1062,14838
2626,15150
6432,7909
10796,81
15880,81
7836,81
2138,81
3040,541
1062,637
8459,16560
1320,81
2723,81
1062,17365
17664,81
13037,81
700,10365
703,541
9979,466
987,19024
5505,3983
11665,541
17523,541
1188,637
787,10365
20515,81
1811,7909
21061,6431
13980,17365
4884,21052
5646,3396
1062,2222
245,637
8554,81
22130,541
13134,6431
9390,3983
1884,541
700,3396
787,81
14069,3983
3797,541
18172,81
1817,541
7836,11513
843,81
9274,81
14018,81
1901,26669
1061,81
245,541
772,81
349,27214
16992,81
13014,81
2342,6431
6044,9290
9302,637
23402,541
1059,28548
28744,81
28756,81
2335,81
28943,81
9767,10952
8749,541
642,81
29734,3983
1061,19024
103,5597
13434,541
5752,81
5043,637
1062,541
3019,1334
15627,81
787,9290
3307,541
1901,1900
3811,541
23990,541
9767,3983
25107,81
13099,5451
12277,81
1188,771
787,18172
4915,18172
103,27214
5593,81
34151,81
245,8516
787,3396
772,3983
34670,81
772,1334
8459,3983
3273,637
33108,81
154,81
1059,1058
3307,4432
13134,541
36416,81
908,541
12277,541
3307,5597
13134,81
2723,3396
309,19024
37948,81
5043,541
700,81
13569,541
38735,81
30903,81
10895,541
103,39057
1062,39200
39537,81
2771,81
1256,81
41115,81
13569,3983
494,15150
772,9290
17027,541
17792,81
457,81
19288,3983
700,15150
14069,9217
6432,541
987,6431
977,81
32243,81
23990,3983
7394,81
465,541
8459,637
20204,541
17792,26669
614,2334
37443,33978
2626,81
3078,81
8943,81
10172,81
1157,81
5010,81
657,33978
295,81
1685,466
4884,1334
27083,10952
772,541
15355,81
5108,81
28474,81
7836,19024
10523,33978
787,27214
1062,19024
103,9464
2342,81
1811,541
9239,7909
295,10365
787,5597
9,6431
137,81
11665,1059
9360,541
13980,81
28813,81
11665,18172
103,637
46527,81
82,81
7660,81
14350,3983
17523,81
3019,19024
703,81
1901,81
10895,466
50360,7224
116,13804
27083,3983
1061,541
6071,541
657,3983
349,9464
2723,1334
5593,3396
9239,19024
3019,81
9840,81
2401,541
678,81
8027,81
4133,81
51467,81
44026,81
901,3396
4133,541
12164,541
5995,5697
1062,5597
44722,81
19032,81
13434,81
843,541
12015,81
3273,541
103,541
3062,81
53297,81
3348,81
309,541
6431,81
5995,81
7394,541
8749,81
4264,81
33013,81
13434,11872
54543,81
3975,541
10172,541
1062,54567
39132,81
128,466
18879,81
44548,81
1237,541
1188,3983
1824,541
977,541
6044,11963
10172,6069
14110,541
5646,81
10296,3983
9239,541
27083,541
1062,85
12015,10952
3797,9290
6044,3983
13230,81
22761,81
3161,81
1062,2737
8075,81
6432,6431
35911,81
349,3983
3124,9290
127,18172
1885,637
82,541
3975,81
1320,541
1552,6431
2129,19024
11663,541
9,81
787,39057
9393,28715
45313,81
9080,15626
901,3983
154,6431
614,16724
1158,541
4556,5597
17461,81
18462,81
9,19024
724,81
295,9290
1885,5697
14350,81
9390,541
724,3983
58822,81
891,81
977,10365
13569,81
8459,81
40342,81
21197,81
9979,3396
6432,19024
3706,81
989,541
1188,81
2129,7909
12369,81
13569,9217
1901,637
103,7224
60282,81
3040,9290
5593,6431
901,637
9393,81
1098,637
7271,81
8516,81
5505,81
3832,541
6614,3983
3811,7224
700,3983
901,5597
13865,541
4915,81
21584,81
1824,81
5889,541
33742,81
61878,81
9080,81
1321,541
349,10365
1059,81
5593,19024
53151,81
901,81
116,81
11628,81
22782,81
10296,81
8262,81
8036,7224
23402,81
13230,541
7473,81
17792,62720
3501,9217
8036,81
14069,81
6431,541
14018,21052
10109,81
21925,81
901,10365
1321,81
6044,19024
12015,3983
3307,81
5593,7909
37443,81
1901,9290
9302,541
1256,541
63794,81
442,3983
614,17970
1098,541
5010,5597
295,9217
17850,81
11663,6431
1188,9217
3804,81
13305,3983
901,23554
13014,11963
657,6069
64380,81
103,11142
912,62720
8861,81
11628,6069
7628,81
9393,637
6044,10952
6071,81
6097,81
3501,81
1885,81
1824,1334
53547,81
12194,81
14132,81
2401,81
8796,3983
9302,81
1885,5597
20204,81
989,81
977,5597
11663,9290
700,541
3797,989
1062,3396
128,541
19288,81
9239,6431
4556,10365
10523,3983
11973,81
1188,541
14495,541
66163,81
2288,18172
2129,3396
636,5597
5505,541
4884,3983
16992,541
987,81
7836,7909
295,3983
12369,541
19991,81
9979,10796
8459,9290
65645,81
127,4432
30250,81
13134,19024
17726,6431
25570,81
42274,81
319,541
2701,637
8516,541
11628,541
39132,466
1098,81
14110,81
2342,541
1062,81
154,637
27083,81
7473,541
68063,81
89,541
10982,3983
1188,11963
8036,541
17461,541
4133,19024
3078,6757
3161,541
28548,541
9390,81
1059,541
9239,81
3501,637
103,10365
41301,81
1062,5451
700,10952
103,9290
57154,81
154,19024
5043,18172
16675,81
5501,81
3804,541
21925,10796
14945,81
10109,541
5501,541
128,81
17027,81
16343,81
5108,15626
3797,1334
11663,19024
16976,81
3124,541
10895,81
15152,541
7836,541
13569,771
10940,541
3124,81
20204,7224
103,5451
17625,81
1059,5697
319,1900
17523,466
678,541
46802,81
309,3983
14018,541
10523,541
5043,81
24473,81
987,541
25570,6431
56441,56440
1811,6431
19400,81
35736,81
8262,541
6432,81
2129,81
19665,81
1059,4432
10089,541
2216,81
1885,13804
14018,637
8036,65869
1817,81
127,541
295,8607
14838,81
772,637
1082,1900
1062,32243
8861,13804
1901,3396
89,81
2626,63318
154,7909
772,771
6437,81
2401,10952
2626,9290
127,637
1237,81
17758,81
14018,3983
10982,81
2129,1334
1062,1334
3501,541
4884,541
22130,81
56441,81
657,541
442,81
901,9464
7836,6431
69577,81
8459,15150
2288,81
7836,3396
1062,15508
891,541
43448,81
5863,81
9390,13804
62462,3983
8473,3983
3273,81
3975,9290
9274,466
700,9290
2138,541
6097,541
2723,637
13099,1334
657,81
17726,541
16992,637
3040,771
25949,81
2626,637
1062,27214
349,9290
1158,81
6097,989
35072,81
9979,541
56163,81
724,541
29078,81
700,11963
12164,81
63513,541
7271,541
5108,541
32542,541
9274,6431
6097,1334
972,81
5646,541
6044,81
3062,3983
1062,6431
11663,637
901,9290
4133,6431
127,5597
13134,14838
10172,3983
3832,81
20746,81
13099,81
13569,3396
2129,6431
13305,9217
9274,541
901,21052
724,6431
494,81
5752,541
3501,3983
8075,3396
21061,81
7660,541
2335,2334
14350,33978
465,81
17523,637
3348,541
11663,81
12277,3983
1062,62906
23990,81
9360,81
349,39057
10982,21052
1157,541
3019,541
1811,19024
1059,637
5705,81
4884,81
19665,33978
74336,81
2723,541
319,81
6432,17365
6069,81
10172,33978
22385,81
6044,9464
972,466
9979,81
13099,9290
349,21052
8459,10365
7679,81
3040,3983
8796,81
3062,9217
13980,19024
1059,18172
2288,541
15152,81
3982,81
614,81
1237,6431
103,81
2401,3983
13980,6431
3307,63513
636,59462
494,5597
63513,81
771,81
15216,81
3078,541
9393,541
3797,81
5010,637
2626,16560
234,10796
787,6069
7473,771
6614,81
32542,81
9840,466
636,541
5646,11872
1884,81
70196,81
349,637
442,9217
7473,13804
642,541
18682,81
127,81
8473,81
1237,637
3040,9217
13865,3983
13980,541
65869,541
8749,466
1062,10365
19665,3983
494,1900
13655,81
11834,81
65869,81
11628,18172
10296,541
5922,81
6069,541
912,81
8516,637
3307,637
3040,81
703,466
38232,81
349,81
13569,9290
7473,3983
2701,5597
5922,541
22385,2334
2701,81
4556,9290
15355,541
90,5597
1885,541
2701,541
8943,466
128,1098
5697,81
4736,81
128,90
4597,541
31564,466
8075,5597
5705,7224
4597,81
8075,541
4556,5697
1062,7909
52372,81
17792,541
4556,4432
9,541
31564,81
4556,81
1884,466
5010,4432
1061,637
2701,13804
11665,81
13305,81
9080,3396
7660,6431
50163,81
642,637
6323,81
245,989
772,5597
10940,81
69574,81
14495,81
14350,541
12015,541
22268,81
10523,81
4556,637
1062,23554
3040,637
