personmovedtostateorprovince_1,personmovedtostateorprovince_2
1442,321
159,2366
6268,321
6485,321
6566,321
9760,321
10749,321
9120,321
12057,6
12880,6
13112,321
13288,3726
13308,844
12345,321
4928,321
8843,321
17342,3726
5682,321
3627,321
12826,321
9760,23537
6903,6
13288,23537
187,4047
3912,321
9019,321
159,3370
26486,321
2967,17
20087,321
935,904
4850,8443
30501,21728
31223,3726
10562,321
16454,17
1858,4299
4850,1568
12116,1270
496,6
15977,321
10938,3262
13807,321
13288,37863
4604,3726
25100,321
10236,6
9048,17
1442,844
3230,1724
16454,321
39832,321
6607,321
6903,321
1234,321
5733,321
9771,1627
14087,1568
43161,321
1995,321
9771,321
26469,6
187,321
935,2366
3504,6
4604,3370
935,1868
34081,1868
9771,1270
4850,6
8359,321
13308,6
3229,321
34155,321
3995,4089
3627,1627
19047,321
30197,321
49013,321
19685,321
7,321
14612,3370
1866,321
5325,321
55437,321
27875,3005
5325,7905
14753,321
57877,321
5795,6
6370,3005
1973,321
5325,243
9777,1627
6358,1627
15068,3370
36687,321
2393,321
9296,1270
31456,17
14087,6
9073,321
11436,321
1995,6
5411,6
9586,1868
22932,4047
3504,844
49454,321
41112,321
10352,3805
2875,321
13288,819
30099,321
7841,321
6607,17
11387,321
14612,321
29351,321
16005,321
10164,321
9296,321
66577,17
18874,321
44360,1270
18826,321
13308,1270
11987,321
67328,321
10990,6
51338,321
27418,321
4879,321
3995,1627
47774,321
43347,321
36098,321
8556,6
7437,3262
12345,6
7437,243
778,1724
3627,2366
13308,321
38305,21728
1920,1092
32776,321
15531,321
15068,6
5325,3262
15133,321
10352,1868
6274,321
1858,5802
2641,321
1858,1724
8061,3726
11360,321
3995,3005
19627,321
12874,321
3627,3726
10352,321
14087,321
13288,321
42232,321
8704,321
22937,321
15068,1568
71763,321
3230,321
41725,321
7456,321
5325,3370
9586,321
10659,321
73721,321
3627,904
13288,6
5793,321
1973,6
74228,321
16863,321
10085,321
10938,321
5847,321
7437,6
34081,321
3932,321
18378,321
33823,321
709,321
17170,321
9046,6
9771,1953
25512,321
935,321
19409,321
6607,6
8061,321
51751,321
18200,321
69511,321
18200,6
18153,321
16004,321
874,321
9771,4299
5795,321
7,6
1990,321
9771,1016
1442,6
29591,321
4850,321
15068,1953
22069,321
15009,321
64621,321
3212,321
28945,321
14621,321
3504,321
4604,1724
8061,6
34081,6288
53513,321
23543,321
8359,3805
7437,321
