animalthatfeedoninsect_1,animalthatfeedoninsect_2
386,387
108,27
386,1933
2088,959
386,2766
27,2922
386,3290
2999,2922
959,5290
386,3696
386,5663
6970,5291
2882,386
1029,6750
9967,27
386,2916
27,4829
27,11025
13752,386
1160,2774
886,6127
2999,2998
27,3696
2999,2916
886,885
108,995
10207,27
27,21291
6128,1300
10134,27
16019,27
386,2922
27,1029
2273,23840
27,1933
1160,1159
108,1159
1159,27
996,1159
784,5291
27,1300
9350,27
996,6273
2088,27
996,2462
27,20723
386,17940
27,1159
2273,2272
386,2774
108,9229
996,27
27,29787
386,12501
2999,27
27,30660
959,27
27,32176
6958,5291
386,14385
27,32969
996,9229
3696,386
3696,31549
26,3696
3681,2922
386,5318
35620,5613
1977,4829
20059,27
26256,17940
2088,2272
6128,6127
27428,27
959,2922
37826,6127
996,22044
784,15870
2088,6127
996,26256
386,7153
27,18653
23693,2998
39549,386
2882,6750
386,3120
2462,3696
1159,996
2916,3696
2882,6498
27,3120
2916,996
5318,27
9350,1793
2088,44365
2999,886
10873,5291
32490,386
108,5290
6127,27
27,994
386,9229
27,3290
108,5291
9041,27
996,11325
386,39549
46410,886
108,10949
27,23004
386,16019
27,20624
11325,27
2999,4829
52140,1300
9041,3696
27,6273
1029,5290
37826,27
2882,27
2882,1159
3696,2462
27,53692
108,2922
9350,1300
386,51638
2916,20624
4178,386
6864,1300
1160,9229
27,2462
27,5565
2462,27
1977,6750
108,6127
386,8298
2999,1159
2088,1793
27,14798
4178,10013
386,32490
108,3696
386,5613
27,29492
33263,27
386,6615
27,6864
12501,27
996,3696
3696,27
9350,5612
6864,1793
5613,5612
386,2462
2882,34167
27,10949
2461,1159
1759,9041
108,2998
2882,10013
27,23598
26256,59585
27,1793
386,6750
12877,27
386,20624
26256,2462
2882,886
27428,6864
11025,27
2882,6864
386,9041
2462,386
1159,1160
386,5841
386,837
2461,3696
2088,23840
27,5290
27,20899
1159,7052
2273,52306
2916,386
2462,2461
784,2922
2088,3696
27,15430
108,3290
27,5612
27,11325
108,2774
996,837
2882,1300
959,6127
15483,8298
10425,386
16755,27
386,6391
8501,5291
959,3696
2088,54184
15483,2774
2088,63326
2088,10013
996,2774
996,386
5318,386
27,2998
784,5290
2882,6127
108,9041
784,6127
27,386
27,20704
27,6750
27,8737
1160,8298
18505,27
996,3120
6127,386
996,886
27,5256
2088,6128
2088,66616
386,6864
1759,27
27,10134
3696,16755
12501,386
996,2916
27,5318
52140,1793
27,8298
6273,27
108,837
1159,3696
996,8298
6750,386
5525,2774
386,885
3696,1159
27,51638
996,6498
387,27
2999,3696
2999,5291
386,1793
386,995
386,996
12263,5291
2088,885
27,7669
386,23598
2916,5290
108,1300
16755,3696
386,23004
108,19345
386,11325
2916,6750
4178,1793
1159,2461
27,5613
2999,5613
2882,24612
27,6615
9041,17940
2088,52306
2461,996
27,6391
2882,996
27,837
996,6127
6391,27
2088,44479
386,7739
27,387
5612,5613
108,8298
13752,27
27,17940
4178,27
108,35620
27,16019
16755,386
27,996
27,995
996,10949
2882,20624
12101,386
27,73237
996,5256
2999,16755
386,29946
996,5290
5256,27
6615,386
886,8298
27,885
5565,27
386,6127
23004,27
886,9229
27,9967
27,14385
2916,20899
15430,27
996,12501
27,30562
386,27
15483,8612
386,14798
784,1160
996,19577
27,12501
27,19577
386,58286
31549,3696
2882,2462
39270,5291
2882,3696
15483,1159
886,6273
27,22165
1159,386
12101,27
27,5486
386,1300
27,9101
27,10058
31527,5290
108,996
2916,2766
27,8612
2882,10949
996,2461
23004,386
27,9229
27,6127
6498,386
1029,27
108,4829
386,16070
386,4829
784,2998
27,2461
7052,1159
2088,1300
386,16060
27,10207
27,1788
2088,9041
27,22044
22044,27
386,6273
2088,4803
2882,5949
386,886
2999,386
11907,2922
6498,27
27,2766
387,386
27,26256
27,6498
2882,5291
996,20624
996,6750
27,2774
386,8612
2461,2462
2916,26256
27,9041
2088,5612
2999,6127
2088,65653
386,6498
996,995
27,886
959,2998
386,10949
27,7153
1977,6127
