academicfieldsuchasacademicfie_1,academicfieldsuchasacademicfie_2
1594,1595
1902,1903
927,573
1594,4282
1594,5071
5828,5829
1902,2484
573,1902
1902,7680
1594,7688
1902,8633
927,5334
1902,9140
1594,9520
1902,10068
10431,573
1902,2529
10652,10653
1594,10732
10822,573
927,11228
1594,12211
1902,927
1902,13223
927,2891
12356,13944
1594,13990
1902,10682
573,5566
10652,927
1902,15865
573,16253
927,543
1594,16904
1902,2891
927,6742
1594,10445
21518,573
1594,13223
927,5843
1594,17466
1902,24005
10652,24017
1902,5566
927,15975
1594,24540
1594,24601
25435,5334
25502,25503
573,927
1902,26495
1594,1903
27253,573
1902,25231
1594,23070
1902,28773
573,28805
1594,20216
12356,29442
927,10653
1902,12356
1902,30107
1902,10653
573,543
1594,13680
1902,31491
10652,1594
1902,32331
1594,23330
1594,32370
1594,32438
1594,1902
927,32943
1594,32982
573,32370
1902,10969
1594,26561
927,26289
1594,34528
1594,2891
573,5829
573,34753
1594,33867
25647,5334
10652,23330
927,35709
1902,5828
14683,5829
1902,10320
1594,10370
927,12801
12356,38461
1594,39035
1594,28805
927,40173
1902,16253
1902,23078
12356,27030
1902,32370
1594,12664
1594,574
927,20216
1902,29386
1902,7230
1594,2524
1902,11011
23122,1594
5056,5829
1902,12488
1594,27678
927,10114
12356,27678
1594,26078
1594,8372
32438,1902
1902,28495
1902,4029
1594,39771
27678,31832
1594,24005
1594,38141
927,10652
1902,574
1594,5056
1902,31832
927,4029
1902,49370
1594,10653
1594,12804
1594,32937
1594,44804
1594,12488
1902,40053
50687,4134
30741,5829
927,34821
1902,32943
927,51464
12356,40173
1594,17545
1594,19324
12356,52344
1594,10652
1902,21518
1902,573
10652,28923
12356,31893
927,13595
1902,41861
1594,6524
1594,15865
1902,33867
6362,5829
10653,24540
12356,12804
1902,11961
927,4282
1902,25647
1594,36755
10652,5828
1594,50290
41664,12356
1594,4134
927,8383
1594,21841
1902,56659
1594,32589
573,8633
1594,42313
1594,54668
1594,52267
927,16253
1902,11396
10652,16232
17092,23078
10732,18482
10652,39802
1594,12801
1594,43040
573,4282
1594,41302
24540,16232
1594,59305
927,19565
1902,34753
1594,50698
1902,5334
927,4134
1594,16878
1902,32589
10652,2891
10732,7308
1902,40856
927,18228
12356,4125
1902,11655
1902,29735
1594,60687
8633,5829
927,58104
32438,29735
1594,40025
1902,32698
1594,7139
1902,17048
927,60519
1902,31667
12356,53555
1594,37621
1902,22803
1594,6362
1902,27811
927,22309
12356,23284
927,51612
25502,62962
1902,15367
927,38636
1902,17545
1594,55433
5829,2529
1594,10801
927,41664
1902,37527
14683,5334
573,1594
1594,23284
1902,17141
1902,12801
573,12488
1594,53783
573,10431
927,28805
11841,5829
1594,32373
927,8633
1902,52267
573,41302
927,50722
1594,26495
1594,40856
1594,31893
22925,16253
12356,49037
927,23330
1902,41972
5335,5829
1594,18228
1902,10370
32438,23330
32589,1594
17466,5829
1594,5828
5829,32982
1594,10431
573,17545
5829,6362
1902,65041
1902,67251
1902,18880
1902,24540
1594,10969
1594,31832
1902,4282
1902,41302
1902,35532
17092,18228
1902,31539
1594,44647
1594,68026
927,22925
1594,31829
927,5566
12356,4142
1594,25502
1594,13417
1594,34753
1902,19324
1594,61057
1902,52004
1594,573
28586,5829
1902,7688
17092,5828
1594,5334
1594,22309
