atdate_inv_1,atdate_inv_2
70,71
182,183
193,194
174,202
254,255
258,259
272,273
193,274
275,276
277,278
254,339
254,346
355,356
372,373
401,402
277,403
328,532
546,547
372,575
254,620
638,639
372,642
658,703
275,760
658,767
182,818
174,826
174,852
727,864
254,946
372,991
277,992
993,377
1024,1025
277,1145
401,1176
1204,1205
275,1228
277,1237
401,1255
658,1264
1294,1295
272,1349
193,1368
1380,1381
401,1389
277,9
272,1404
1433,1434
658,1481
401,1555
1574,1575
638,1586
320,377
638,1628
277,1638
596,1655
277,1656
328,1719
182,1727
727,1730
658,1735
1755,1546
1834,1835
372,1841
638,1843
401,1890
658,1945
638,1983
2021,2022
277,2052
638,2065
2087,864
372,2238
258,2269
638,2291
596,2302
401,2308
372,2327
272,2336
182,2342
2356,2269
2389,2390
727,2394
596,2443
254,767
596,2572
2613,2269
638,595
2657,2658
272,2327
2681,2682
372,1400
727,494
254,2813
272,2830
658,2835
254,1205
280,403
182,2953
658,2971
182,2988
1755,3029
638,3075
355,3121
658,3138
727,3143
372,3151
658,3161
272,3186
658,3189
3220,759
254,3221
1755,3222
275,3034
3332,3333
638,3357
658,373
3375,3376
638,3395
3398,3399
254,3406
372,3434
3442,3443
372,3453
328,3475
254,3502
277,3540
182,3604
638,3643
182,3713
638,3720
658,3773
182,3782
3800,3801
401,3803
658,3804
401,3845
277,3752
277,3857
3139,3701
596,3877
596,3880
182,3898
596,3935
1204,3946
182,3970
372,2643
638,2563
2389,3011
2356,4047
658,1817
372,611
401,4078
182,4079
174,245
372,276
3220,2682
280,4213
275,377
193,3473
596,4238
277,4286
372,4323
182,4337
254,1158
280,4382
401,4439
4487,3701
4488,2269
401,4521
596,4565
272,4572
275,4580
3939,2676
272,2394
174,3797
193,2454
638,116
277,4706
272,341
328,4723
401,4736
272,4769
727,2708
4487,3801
401,4862
4877,30
2212,4878
4898,2563
277,30
372,4252
401,3333
277,128
272,4964
401,4977
355,4998
372,1052
5104,1295
3220,5116
254,5209
401,3275
596,5222
658,1158
254,5254
272,5301
372,3938
182,5350
1204,5363
596,5377
2389,2269
612,3752
272,5397
372,5418
638,772
658,5440
280,5443
1755,5464
254,5497
280,5537
3398,5546
1755,2157
254,5598
254,5621
658,726
174,5637
638,5677
277,5712
272,5748
3028,4556
272,5806
658,5813
2087,5817
174,1884
638,4006
1433,5836
182,5851
5852,2870
401,5228
401,278
174,5877
5893,2658
277,5917
638,395
182,5990
401,3438
277,3975
6114,6115
328,6167
1755,6177
658,5737
193,6210
6232,6101
1755,6233
372,5301
277,6251
658,6263
4898,351
277,2738
401,3540
658,6401
1896,6483
658,4693
272,6522
174,5754
272,2682
280,6614
596,6617
277,6637
372,5116
277,6672
401,6681
638,5501
174,1216
401,1404
1755,6738
277,4565
401,6773
280,6831
596,6846
401,700
658,6855
372,6891
658,6910
174,6911
277,6963
277,1890
182,194
658,6973
401,7014
7028,7029
277,7032
277,7128
658,1459
372,4997
638,7151
7184,377
277,7192
372,2390
254,6413
4971,3399
277,7240
182,628
638,6911
182,7328
658,4201
182,7344
401,7376
280,3579
372,1255
727,7420
401,5397
658,7432
254,7436
254,4586
596,7192
277,7462
401,7478
1204,7479
254,299
638,6963
372,7548
277,7568
401,991
277,7620
6624,6846
277,7708
328,7712
277,7718
658,4973
277,729
254,7759
658,7766
638,7810
612,7819
277,7821
272,7854
277,7868
401,7892
658,7898
658,5568
658,7928
277,7943
658,5086
5331,628
182,7971
6114,2523
328,103
658,8029
8035,3701
280,763
401,8076
193,8085
401,8088
328,944
2021,103
401,8112
727,5266
372,6831
4488,1575
193,1138
658,8270
4855,5546
277,4851
658,6177
1380,2486
277,4327
277,8367
254,8390
182,7778
272,3027
1294,1472
372,7208
596,4327
174,4751
1755,8588
401,8592
8640,3701
372,5648
277,6177
272,351
596,6233
272,700
372,8755
596,8767
372,8768
355,3406
401,8781
401,8796
638,8800
6783,8812
372,2738
6114,8815
2389,377
372,3215
254,8877
254,2018
638,8957
658,8969
174,3701
193,494
182,448
1755,3916
2778,9044
372,9062
280,9080
638,9088
372,9094
1380,5397
658,2303
658,9128
401,9133
277,9144
193,9173
280,9191
658,9194
596,7240
658,9207
277,5464
658,103
9304,2269
70,3034
328,9324
277,4915
277,9416
328,9456
401,1645
277,573
280,5836
1755,9510
9521,5527
401,2075
372,4597
658,2870
280,9559
401,9565
193,8877
401,9599
193,9559
277,9624
658,9652
9673,9674
638,9682
658,2018
401,9696
401,3161
182,9743
638,9776
355,2626
277,1901
277,9812
9826,3034
182,9863
638,9864
401,5295
2212,308
658,2696
638,9888
2290,299
431,6131
5955,71
401,9916
658,9930
372,7898
280,8112
401,3104
182,9956
401,1546
658,9985
401,1061
254,6332
272,7240
10053,2205
193,5817
2389,4382
182,10174
182,10176
372,10177
9817,9044
254,10208
638,1295
1433,30
3442,2443
272,10220
272,10223
