specializationof_1,specializationof_2
107,108
1456,1457
4544,4545
4698,4699
1456,3562
7131,6961
9374,286
5797,3111
283,2882
11907,4613
4016,1759
8732,8731
16428,16429
6785,2365
1616,824
19431,2399
11815,108
605,108
9477,21081
145,824
871,22767
8732,23003
23006,23007
4698,2454
2122,4275
7198,726
283,19575
26816,26817
27072,7988
2122,3730
27911,22529
28020,726
28561,15548
4275,284
1456,22757
2122,1579
30121,19575
1456,30545
30820,1836
2122,6216
10430,1468
721,3385
1456,33111
1456,3679
18790,20337
4698,33945
9744,36128
7768,19575
3363,12717
15900,824
9745,9744
37987,9164
1456,1057
8181,2825
38842,2825
1456,39453
39697,39698
1457,40018
721,40141
41183,824
8871,982
6486,824
4719,4718
4698,42114
23693,2998
34607,363
16070,27
13768,23059
1610,3730
33111,2587
11629,108
19185,2825
14227,824
18790,4698
7783,27
1456,35247
2815,47577
4698,48102
18155,784
11292,982
7077,217
11748,824
1066,3730
1336,871
21852,19575
50926,108
1468,10430
721,33774
18790,23007
2122,11629
2122,10959
52913,958
2122,54173
4865,3111
2122,26119
47501,363
44936,108
37197,37198
28566,824
56526,9470
7148,824
32036,824
17091,2825
57007,23007
1067,386
8721,19387
7768,2882
17975,824
3730,51020
2328,5176
4698,58164
2122,25979
15166,16146
2122,6387
59036,50078
726,26423
2122,9223
28073,824
45647,59583
20337,23007
11815,1111
60110,39698
27579,824
53238,286
3730,824
15236,824
19107,824
721,9258
721,38053
2122,5570
721,3477
62545,824
62641,62642
1456,62750
30743,30742
2122,4709
8353,8352
2122,17584
2122,19066
2122,40717
15236,108
32626,784
7696,824
13925,108
14371,1216
6190,958
19196,15483
107,19575
6746,824
2122,28786
44614,25906
57743,363
283,386
40018,726
11815,5176
6962,6961
1456,51499
871,11951
2122,67016
13925,14943
26816,38074
11629,824
1456,4544
15483,8298
1456,67935
68061,39698
8772,15548
8548,824
7795,824
22162,11180
2122,7768
2122,39694
68902,286
4275,108
1456,24931
2122,10265
783,784
52983,334
12042,726
3730,5422
2825,8181
2122,7962
2122,12831
824,789
48975,824
2122,25084
48260,25133
789,217
3346,28137
4698,20337
1456,68969
721,18390
18403,2825
26816,3479
2328,386
2122,30241
4698,30442
2122,11669
39982,39981
6216,284
19495,726
5485,16644
49853,16429
8871,784
9779,2825
32664,2399
4865,824
9477,5247
38871,6961
2122,10432
2122,108
2122,32977
789,872
71640,39698
24931,726
22767,871
72154,15548
1456,36001
22767,3730
9079,824
15126,72314
15970,824
7077,16644
6492,824
31749,25133
50033,824
6216,824
4275,824
2122,3486
2122,14943
45647,16429
16755,27
3290,386
45122,363
27072,19575
72731,363
1758,3111
1997,784
2122,10560
10038,726
3346,37181
30941,363
4698,8844
1456,7759
1067,824
7962,824
2122,10374
1456,73976
1111,386
3730,1066
13925,11457
56802,824
1456,36738
54326,54325
3346,65879
24950,363
11815,386
1456,2863
8352,8353
34625,824
1927,3111
64354,363
26423,726
14251,784
34169,1836
12042,40018
23571,824
8352,4471
4698,74704
18790,18789
216,108
65853,15548
5291,784
11815,2825
15624,73966
75253,25133
14227,3111
4698,75285
10959,824
28584,824
2122,6701
3692,36457
1456,74647
8844,23007
75340,18621
1456,68748
4322,4321
63078,39698
39916,363
784,2399
2122,11457
7077,784
2122,53274
3730,36355
34167,27
4709,824
41893,21959
1758,824
605,1759
2122,8501
1456,23218
