furniturefoundinroom_1,furniturefoundinroom_2
147,716
997,998
1548,506
1838,1839
147,2028
147,2053
2186,2187
2310,2311
147,2776
2981,2982
147,3048
1838,1196
147,3202
3416,3417
1838,3470
4042,506
1838,4073
1548,1291
147,4616
147,4989
4993,4994
147,5100
5167,506
5217,5218
147,5240
1838,5341
5869,1743
5973,1584
1838,6098
4088,3417
147,921
4993,6543
1838,6556
147,6747
1838,7074
1838,7205
147,7257
1838,7399
147,7404
147,692
147,7496
1838,7675
7879,5187
147,7880
3723,1584
4993,8124
7879,6452
147,8190
1838,8313
2981,506
8371,2108
1181,506
1838,9152
2981,6249
3723,9537
1838,9572
1838,9780
10000,1584
147,4657
147,10333
1838,10423
147,2120
747,10533
147,10607
147,10632
147,10647
147,4629
10679,1584
11468,2108
147,11572
147,11585
3416,1584
1838,11676
147,11773
1838,11861
1838,7880
2310,3417
12214,1291
147,7087
3723,506
147,1196
147,12663
147,12725
147,12766
1838,12907
147,12938
3723,8442
147,13080
1838,13370
13371,10751
147,13485
13622,1584
12617,13778
13862,1584
4088,506
147,14119
147,13500
14403,1291
14420,1584
147,14663
147,14906
147,15063
147,6756
15243,506
147,15292
1838,15295
3416,13111
3416,15296
4993,15436
1838,15652
13106,8442
4993,15753
147,15834
1838,15995
1838,16050
1838,16341
147,16401
147,10130
4993,16646
147,17016
1548,17408
7034,13781
997,2120
1838,2120
747,2838
3211,1584
12617,17964
17998,1584
7879,12470
147,18160
18412,6249
1838,18520
147,2538
147,7741
147,18665
147,18974
14865,16430
147,15296
1838,13285
1838,19724
1838,8930
147,19826
18412,20241
147,20269
1838,12938
147,20487
1838,10333
147,20641
147,19959
20890,1291
15592,15995
3723,18489
1838,14663
1838,11773
1838,9839
147,21690
1838,21722
147,4761
147,21912
22125,7033
1838,2447
147,22226
1838,22250
22257,10135
147,22377
1838,22571
147,22614
147,22640
1838,8706
1838,18781
1838,22754
3723,3274
1838,22825
147,16751
1838,15813
1838,23357
