countryalsoknownas_inv_1,countryalsoknownas_inv_2
127,128
972,127
127,1256
127,2455
1811,127
1320,127
4884,127
128,1188
127,7836
90,3348
127,8036
128,127
9302,127
234,127
90,89
10089,127
127,3832
127,10089
11252,787
127,13134
5010,127
127,13434
14132,1157
5501,127
14945,787
8075,90
15216,127
127,6432
127,4884
614,127
127,4736
636,127
2288,127
3797,127
977,127
2288,1320
6069,127
90,128
3348,127
7836,127
724,127
12277,127
127,787
127,494
127,442
127,843
4736,1157
127,5889
26964,5863
5752,16142
127,11663
1062,90
127,18879
901,127
1062,127
127,19885
29245,127
127,12164
127,3078
3124,127
657,127
10172,127
127,31564
295,127
1157,972
8036,127
1157,13655
3062,127
26964,977
908,787
127,2342
154,1157
127,13014
4915,127
843,127
127,4597
25107,614
127,5043
127,891
154,614
14350,127
614,977
127,2288
127,89
127,724
127,2626
5646,127
1098,3124
1061,127
1824,127
17461,127
13865,127
127,5752
972,1157
26964,11973
1884,127
127,23402
127,33108
8459,127
16675,127
15152,127
1188,614
703,127
103,127
127,5010
6431,127
10895,127
1188,14069
17758,127
127,103
17523,90
127,1824
14018,127
90,19400
5889,127
127,90
6071,1157
1157,45313
127,2723
908,3273
1824,908
127,3040
127,28813
127,989
35072,1157
5108,614
127,47494
127,1061
90,3804
4597,908
90,127
27083,127
127,245
127,3273
908,4597
17664,1157
912,127
3273,127
90,16992
127,9080
4884,3124
127,8943
127,13865
977,614
34342,127
12277,6069
9390,127
15355,1157
127,9979
127,6323
2342,127
127,16992
127,3804
10109,127
128,1098
13434,127
7394,127
127,8459
127,678
1059,127
127,17664
1157,154
90,3040
3811,1320
1098,2288
127,19400
127,10982
3124,614
6432,127
1157,15355
127,12194
127,901
47494,127
642,127
127,319
10940,127
9274,127
39132,127
3975,127
8075,127
17792,127
17523,614
8861,127
127,27083
1237,127
5043,1320
127,700
4597,127
3804,127
127,987
9080,127
13099,127
901,989
35072,127
127,7660
1098,295
127,13099
10982,127
127,10172
6071,127
89,127
1817,127
127,9393
90,10109
127,5995
127,636
989,614
27083,614
2401,127
908,127
127,12277
6069,787
1321,127
127,17792
1157,127
1256,127
127,10523
127,772
127,1320
10523,127
29422,614
9393,127
3040,127
5863,614
700,127
901,1901
319,127
127,2204
9840,127
8943,127
12164,90
127,13230
127,15355
1901,127
127,8861
90,3161
17523,127
12164,127
127,1901
1157,614
127,5922
10982,3124
7473,127
127,6431
127,8473
13655,127
127,6044
18879,127
1188,127
127,20515
127,908
127,2701
22130,127
724,614
127,11959
1157,1158
1157,17664
127,1059
127,21061
8262,127
21061,127
127,3161
127,295
127,642
17726,127
614,90
127,1157
6431,614
127,614
127,29245
154,127
127,9390
127,465
901,1188
13230,127
11628,908
127,3124
15355,127
127,657
127,1062
127,14110
20204,45360
8554,127
127,3348
90,6323
1885,127
5505,127
127,3797
67440,787
127,1158
127,309
3832,127
8027,614
13014,127
1098,127
2138,127
127,17523
6069,1824
1321,1320
20746,127
127,3706
8749,127
127,5646
4133,127
465,127
21197,127
90,2401
5995,127
13099,614
127,4133
1098,1188
127,7394
127,7473
1098,128
8027,127
16992,90
127,6069
908,11628
6323,127
127,1884
1157,3348
127,19665
127,22130
1157,53151
3273,908
772,127
13134,127
891,127
127,3062
70257,3501
678,127
3078,127
5593,127
3348,1157
3706,127
12194,127
1320,3811
7271,127
14018,1098
13980,127
17664,127
127,11628
127,3811
127,5108
11663,127
127,14350
8749,71429
1098,614
127,12015
1157,21925
90,12164
13655,1157
2701,127
127,703
1157,6071
989,11628
10523,18462
13569,127
989,127
908,1824
1157,14132
8473,127
1320,2288
127,3975
33108,127
127,6097
13014,90
127,15216
11665,127
56038,127
20204,127
787,127
127,16675
901,6069
6069,614
908,891
17523,1098
127,15152
5752,127
127,10940
127,11665
127,8075
127,977
12015,127
127,35072
43448,614
2626,127
127,972
127,34342
14132,614
245,127
31564,127
127,17461
127,5593
3811,127
1157,703
5108,127
21925,1157
3161,127
19885,127
127,8554
127,8749
9274,614
128,90
127,1098
9979,127
2723,614
127,9274
787,908
81,614
127,9360
127,2335
127,13569
22268,787
9360,127
16992,127
9274,1157
1157,4736
11628,127
90,17523
1157,9274
3348,90
90,9
295,1098
127,17726
10109,90
127,4915
127,10895
908,70058
6614,127
90,13014
1098,17523
127,154
127,9302
2204,127
987,127
127,2401
494,127
90,614
1320,1321
5043,127
442,127
28384,614
703,1157
127,13655
127,8262
4736,127
127,13980
2723,127
6069,12277
127,33013
4556,127
7660,127
127,17758
1158,127
127,14132
127,234
33013,127
11959,127
127,56038
127,6071
127,1811
28813,127
614,1098
989,787
127,9840
14132,127
127,5505
19665,127
127,5501
127,20746
14110,127
6431,1188
127,912
2455,127
6044,127
5922,127
127,14069
127,8027
9,90
1188,901
53151,1157
127,4556
127,1817
127,2138
127,20204
2335,127
3124,1098
127,21197
127,7271
127,1885
1158,1157
1320,5043
23402,127
127,1321
19400,127
127,1188
6097,127
309,127
90,772
127,1237
