persongraduatedschool_inv_1,persongraduatedschool_inv_2
188,778
2614,2615
188,3191
188,3787
188,3807
188,4044
4259,2039
2929,4578
188,6228
439,8236
188,8184
9770,9771
188,9777
188,2333
439,11844
188,12204
188,4850
14574,4578
188,1234
439,14753
188,9934
439,253
188,16454
439,1995
188,10749
439,8061
2929,18702
188,18827
439,10260
188,19535
188,19746
439,20207
188,2967
3913,3995
188,16315
188,22262
188,8843
188,3912
188,15133
188,12874
188,9186
188,8359
188,24998
188,13155
188,10260
188,26324
188,1973
188,27710
188,27892
188,12056
439,1684
188,19627
188,17883
439,21609
7622,5847
31694,7621
188,13866
7622,8683
3913,11230
188,33066
188,13308
439,33636
188,1995
17432,33896
188,385
188,26018
188,2641
188,7
188,187
188,30548
188,9322
36678,36679
439,3504
1694,778
439,18826
188,11230
188,19367
439,9777
28339,23498
188,17555
188,25100
439,4850
188,2552
188,42421
188,20087
188,42798
188,20915
439,9120
439,8683
188,4725
439,31239
188,15068
188,44542
3913,12056
439,11570
45359,18826
188,23616
23769,45478
188,22402
26257,23498
7622,2039
5326,5325
188,25233
46470,18052
188,47414
188,1684
439,10990
188,19071
188,48149
188,7050
439,12137
1461,5325
9770,7841
439,11230
4259,18052
188,5847
188,19692
12269,1858
14574,49182
188,10990
188,30099
439,26709
49455,49456
188,1149
439,7621
439,9296
18429,51288
439,1858
188,9046
2614,45478
188,19670
188,10085
439,18378
18429,14631
439,42167
439,14741
188,51891
439,32748
439,8594
9770,4850
17467,187
188,39529
188,53893
439,17770
188,6358
188,253
188,51751
188,35126
439,14631
439,7437
188,29351
188,8556
188,8117
439,30559
188,23310
439,21377
188,43525
188,7456
439,9845
188,3995
56121,4578
188,23938
7622,13178
56988,4578
5326,14753
188,18153
28339,57675
188,25699
439,2967
188,42406
439,17883
188,11436
439,34582
188,2039
188,15009
7622,18052
188,12116
439,1234
188,4080
439,778
188,10352
188,32776
188,22937
439,10360
188,5733
439,6274
439,17496
188,26321
439,15977
188,52188
439,26321
188,9296
439,43680
188,7459
188,5534
439,11436
188,7193
51209,2641
45582,45581
7622,33178
188,3212
439,835
2525,10164
188,1442
439,27892
439,6358
188,43573
3913,1858
6468,778
50704,37074
2525,1858
23769,2615
7959,61492
188,8704
188,12083
7622,7621
188,5682
18429,11844
188,16717
188,2393
188,9586
439,65004
188,4879
439,27181
439,7456
48584,27710
188,9771
188,28569
439,57809
188,3264
8438,3504
188,15174
188,8061
439,20478
439,41462
439,187
188,12321
188,13830
7959,4578
188,25495
9770,58882
188,15531
439,24998
4259,796
439,2875
1751,7621
439,22937
22343,18052
188,29591
188,1784
188,11471
188,36687
188,3667
188,47402
439,67868
439,9771
188,3627
17432,4578
7622,32748
439,68222
188,7437
26257,68280
188,26486
439,20133
188,8498
188,40414
439,39514
188,17287
188,5793
188,6566
7622,26709
188,20699
439,14485
188,6485
188,18800
188,47942
7622,35531
439,22069
188,43449
188,4955
188,1990
439,42218
439,61605
188,12480
188,28945
20750,13308
188,42167
439,59563
188,24664
188,5216
1751,18052
188,12564
20750,5630
9770,25782
439,11387
188,935
188,32717
56121,33896
439,42896
188,38280
188,1858
11846,4850
439,27282
188,13122
1751,2039
439,12345
188,2875
439,6670
12269,935
439,30777
188,18663
188,1376
188,19409
188,13807
7622,27939
439,15807
36273,1858
9770,4578
56988,61492
188,5795
439,18340
439,1198
1694,1858
439,22517
9188,1858
439,22402
439,8734
439,35319
188,6607
17532,1858
188,18826
439,42726
188,14087
29904,2641
439,4711
439,6857
439,12177
188,45442
439,25030
439,5216
46407,46406
439,13308
188,16005
188,69954
188,49266
439,25495
188,56929
188,27363
188,27418
188,10164
188,6670
439,16863
439,48724
188,13994
49455,4011
439,17287
7622,187
188,13288
439,12056
439,1376
439,3627
439,26892
439,6370
188,30469
4259,7621
188,44924
34332,1858
188,2345
439,15068
188,41112
3913,778
188,19047
49539,40371
3913,5325
2929,5325
439,46098
439,496
188,874
439,3995
188,9120
188,9019
439,11052
188,10562
439,3645
439,19632
439,12321
439,19830
188,42232
188,47774
49455,19632
188,12567
439,75116
48584,61317
188,18378
188,9953
188,15156
188,61803
188,34155
188,36098
188,19772
188,52221
439,12826
439,23543
5326,7841
188,11367
439,67322
188,19632
439,10352
188,1303
188,58279
188,7841
439,20087
188,6274
188,26842
439,69521
439,8669
439,6607
439,18052
188,11387
188,5630
188,43452
188,12345
188,30118
439,8556
188,35319
1461,187
188,11944
188,12633
439,15472
188,11987
439,5630
22343,22342
188,6268
188,15472
188,25030
188,45536
188,15734
188,23543
188,3504
188,48347
439,14087
439,62491
