animaldevelopdisease_1,animaldevelopdisease_2
1610,1611
1974,1975
1610,2963
3462,2976
1610,3895
1610,5132
5561,5562
3730,5801
5937,5938
2386,6012
2386,6218
1610,6236
1610,6428
3462,7212
2362,7279
7343,7156
7802,7803
2386,10355
1610,10792
7802,11030
784,5562
11084,5562
1610,11251
1610,11739
1610,12233
12424,12425
12944,12945
1610,13118
3462,2881
1610,13514
1610,13677
1610,13856
3462,7156
3462,14792
5937,10792
5937,12425
1610,16608
2386,16732
6644,5938
1610,17018
1610,17515
2386,16582
1610,2336
1911,5562
3462,16582
16960,6236
1610,18964
3462,19541
1610,8101
6644,9392
20328,7156
2386,12945
1610,13861
3730,21981
1610,15119
1610,22102
6810,22671
2386,6236
1612,2281
5937,2881
1610,21352
1610,23573
1610,23676
1610,11914
5937,1975
1612,1848
3462,9392
1610,3425
2386,15106
25555,1975
1610,26019
6644,26038
7343,12945
26110,18763
2386,26176
2386,5938
6810,13734
2386,5801
1610,1660
1610,28146
20328,12945
2386,22062
1610,28242
1610,25759
1610,28557
1610,15190
1610,13682
7802,23582
1610,29081
1610,29754
1610,29992
1610,30247
1610,30606
2386,23582
30705,12945
1610,31209
2386,31814
6387,5801
1610,25878
2386,6145
1610,32312
1974,12425
1610,32405
1610,32486
1610,3809
3462,17319
2386,33828
1610,23619
6644,12776
11815,28969
2386,35685
6644,35763
1610,36617
1610,18580
1610,16582
1610,25342
2362,3456
1612,7212
3462,5938
6644,7212
3462,15155
1610,39096
2386,2336
12944,16582
1612,7279
1610,8130
1612,7156
16960,2881
1610,40091
1610,27970
1610,831
6644,11030
1610,40659
1610,33286
7802,41003
2386,41358
3462,21781
1610,30301
2386,41671
1610,31435
20328,12425
3462,5132
6644,1848
1610,5300
1610,42469
3111,5562
2362,5562
1610,42744
16960,1637
7343,2976
1610,43528
1610,23753
1610,32713
1067,29521
8181,10691
23832,12425
1610,44046
7343,16582
16960,17319
2362,5801
16960,1975
1612,2881
1612,12945
4694,12425
8181,16582
6644,12945
1610,42063
16960,12945
5937,23573
1610,45699
1610,1848
2386,26019
1610,5073
1612,1975
6644,6236
1610,47074
1612,6236
1610,47322
1610,47543
1610,23582
1610,42634
16960,7156
2386,44624
1610,14587
3730,3809
3462,12425
1610,30855
1610,12945
2386,38567
41121,26038
2361,16582
1610,28181
1610,50835
6810,50944
6644,36315
1612,9666
1610,40320
6644,13924
7802,15155
1612,6849
30705,16582
1610,6540
3730,52391
7343,12425
1610,52625
1610,18763
4694,12945
6644,7156
7802,36315
1610,52858
12944,7156
1610,53098
2386,9392
1610,10098
1610,15106
1610,53657
49111,7156
52140,12425
1610,52613
1610,20013
1610,43093
2386,45280
2900,54230
3730,1637
16960,5938
25555,12425
2386,380
1610,54836
1610,55149
1610,55297
6644,15155
1610,55361
1610,21606
18735,7156
6810,35763
2386,14961
1974,12945
20564,16582
1610,18131
3730,307
2362,16582
1610,26176
30705,7156
1610,31000
7802,7212
6644,1975
1610,5938
17785,5562
5561,16582
6644,22204
1610,54560
1610,57545
1610,57699
6644,17319
1610,46928
1610,58054
1610,58147
3462,11030
14355,12945
2386,13734
2362,1637
1610,58545
2386,58608
1610,58837
1610,58908
5937,9666
1610,35632
11815,59039
59070,5562
6644,23573
1610,59151
1610,380
1612,32713
7343,11030
3730,5562
5937,7156
8181,3817
6644,6643
6644,16582
32082,12425
