invertebratefeedonfood_inv_1,invertebratefeedonfood_inv_2
3130,3131
4188,4979
8858,9350
10424,10425
3996,6864
12828,27
8622,13372
13546,9229
8963,27
16324,386
16674,782
3130,9041
3996,17837
8858,17940
18995,3696
3545,27
6699,13372
3847,386
11382,3131
363,6864
1023,386
363,6127
3269,30189
11382,29492
11382,31527
363,2088
32319,386
8858,32356
5389,19196
8858,2088
3130,17940
6699,12877
11382,27
363,27
4188,996
13546,40918
8858,4829
3996,5256
4188,35620
39895,1159
6699,2273
8858,45337
45609,386
16674,2774
17942,782
6318,1976
48082,27
3996,6463
8858,27
6699,1159
8858,1976
363,16019
3545,2088
8858,39501
10424,6127
12828,2088
6699,6864
8858,21846
701,2273
6699,30121
13546,8298
6699,8871
6699,6128
13815,386
4188,3696
363,17837
32319,6864
50036,9041
13984,13372
3996,2462
8858,12877
3996,1300
3996,2461
6699,30420
8858,7153
16674,1159
1636,386
7306,27
701,3696
7306,996
59880,386
11165,2088
4188,9041
701,6864
2754,2462
13546,886
10824,60941
4188,23424
3996,5318
11382,2916
11382,1976
4188,2273
61850,3696
8858,9041
6699,23813
2423,27
3996,386
62824,27
8858,6127
27630,1160
6699,63204
7306,2462
3269,386
6699,996
11382,23390
13984,24721
13546,11381
5389,38017
4188,1793
701,2088
6699,59089
26878,13372
3996,24721
11382,1029
64229,27
24908,386
18995,27
67045,996
4139,2088
3269,17373
6699,386
3269,2461
11382,23832
43511,386
3269,44301
8858,60397
363,9041
3996,34167
11382,5486
3269,6864
12828,2916
4188,386
3996,996
42048,2088
7306,2273
6699,38120
6699,24721
11382,886
6699,2461
3130,16019
11382,5290
11382,36376
8858,22288
5389,3131
13546,70165
34609,3696
3996,9041
13546,5612
3269,996
6699,37397
223,2088
52838,27
11382,32119
12828,7669
34609,24721
363,2462
6699,3696
17942,1159
8858,386
3130,24721
3269,67773
701,386
32319,2462
3996,72312
3269,64401
3269,23673
701,27
12828,1029
363,17373
11382,1300
363,2461
57018,27
10824,49726
11382,7885
701,1159
3130,37397
701,2462
3996,74335
13546,27
4188,27
3996,12501
6699,12501
6699,27
19501,9041
363,386
33659,386
6699,6127
6699,5841
12733,386
10424,386
69143,3696
34609,27
3996,1159
12828,1976
32319,2088
8858,996
8858,3696
6699,9350
11382,7669
8858,35095
8858,19993
12828,5486
6699,10425
17942,2774
13546,996
8858,72979
1139,386
8858,8857
701,1300
3269,17837
32319,27
18995,2088
3303,2922
