emotionassociatedwithdisease_1,emotionassociatedwithdisease_2
11,380
1342,1343
2880,2881
2975,2976
8344,380
2070,9499
11,11311
1849,8101
11,11914
6350,3817
12118,2142
2070,12813
2070,17478
11,17599
18718,7156
2070,19266
11,19404
1849,3817
2070,20363
11,21593
23685,1975
11,24712
1849,1848
12843,1975
25990,7156
11,2281
1342,26403
26608,7156
25990,8278
1342,27970
2070,28479
1342,28533
7157,2881
28953,1343
11,8101
23685,30301
1849,16582
2070,30912
2880,7156
31047,2142
24416,2142
2070,32335
1342,29805
1342,5132
1849,33793
2070,15268
28953,2142
1342,24712
11,35632
9834,1975
1342,19541
11,2976
2070,2069
38016,2142
2070,38778
33444,7156
25990,2142
11,40059
11,14279
2880,2976
11,40458
23725,1637
2070,41033
7897,7156
11,7156
9834,18580
9834,22102
9834,2976
42495,1975
18718,2281
42995,2142
26733,1848
9834,14203
1342,45077
42495,2142
2070,33589
38358,2142
1849,45327
2070,45422
2143,33589
25990,19541
2070,45632
25990,26542
2070,1343
46622,36114
39217,2142
2070,43528
2070,2976
1342,47128
2070,31296
2070,22565
1342,48500
23685,1848
1849,32539
18718,2142
49443,2142
11,49591
2143,213
2070,25192
2070,49919
18718,2881
2070,18131
11,32713
46622,23582
48338,2142
13531,33793
50909,2142
18718,2976
20547,20546
2070,51253
51645,2142
11,51689
1342,35632
23685,32539
1342,1848
23685,11279
2070,36114
2070,54264
2070,5556
23685,14557
2975,7156
13395,2142
26608,2142
9834,42072
9834,28533
2070,15284
1342,13322
25990,1975
23725,33589
11,57612
57950,7156
11,12425
7897,2142
11,15268
2070,58494
25990,18580
11,57938
2070,2881
26733,7212
7897,2281
8344,7156
2070,801
58269,16582
2070,57029
25990,380
2070,28238
33444,2281
11,13322
25990,2881
1342,38567
11,60908
7157,1975
2070,7279
11,36114
33444,1975
17564,62061
2070,29048
2070,47196
38358,7156
11,30301
2070,62950
6350,7156
2070,63007
63416,7156
49045,2142
60521,11279
2070,36008
25990,2976
34373,2142
39217,1848
11,58518
9834,2281
11,60042
46622,62422
2070,2142
48338,2976
65284,7156
50413,2142
65284,2142
35873,1975
2070,25093
11,51855
6350,36335
2070,13702
46622,63328
11,22102
1342,7156
11,1975
2070,66930
1342,8278
9834,29805
2070,7890
15129,2142
7157,2142
11,30855
8344,1975
11,67662
11,42072
23685,8101
11,67930
1342,2881
1342,2281
2070,41408
68755,7156
11,23923
18718,1975
2070,69005
11,14203
1342,42072
2070,22357
2070,69180
23685,33793
64335,1975
23685,30971
1342,20546
18595,2142
2070,65934
8344,2976
46622,66887
2070,855
2070,380
2070,29961
7897,380
2070,22827
2070,8101
23685,3817
2070,30890
2070,33484
2070,70783
1342,3817
9834,16582
9834,8278
1849,11279
18718,12425
46622,380
2880,1975
1849,36624
2070,38745
11,71887
1849,7156
2070,71862
1849,16009
7897,2976
6350,2142
48338,7156
1342,26542
7157,2281
11,21097
13531,2142
25990,2281
1342,15268
2070,14203
11,62248
11,2142
1342,1975
2070,66287
11,48500
2070,54368
1342,2976
11,47368
46622,2142
11,9666
2070,73313
9834,2142
46622,2281
7897,1975
11,5132
2070,53163
2143,22102
25990,13322
2070,59039
50413,7156
46622,1975
2975,2881
2070,213
26733,20546
1849,2142
39217,2281
73959,2142
2070,18042
11,71291
2070,60259
23685,6849
25990,29805
23725,2142
11,33589
2070,70812
28953,7279
9834,70278
2070,12425
70449,7156
15129,33589
70203,2142
1849,15560
11,48536
11,70278
2070,2583
2070,74583
65284,2281
11,18580
1342,12425
17564,2142
58269,2142
11,28065
48338,380
7157,2976
11,55297
1849,1975
48338,12425
46622,7156
72598,1975
28953,60280
11,33286
7157,7156
46622,16582
50481,1975
74949,2142
1342,2142
35873,7156
75146,1975
2070,15119
11,26025
1342,18580
1342,10118
25990,12425
2070,60280
57950,2281
33444,2142
1849,380
11,42393
11,2881
13531,30971
48338,33589
6350,1637
75370,3817
11,19300
11,10
2143,2142
9834,26542
11,10487
2143,7279
2070,7156
11,30971
9834,27970
1342,380
2143,22357
11,19541
46622,61587
9834,7156
2880,5132
1342,36335
25990,5132
