drughassideeffect_1,drughassideeffect_2
643,213
750,213
2144,213
2530,213
3415,213
2042,2041
3535,213
4268,213
4969,213
5729,213
6443,213
7275,213
8080,213
8324,213
9221,213
9323,213
9494,213
9827,213
10005,213
10139,213
10239,213
10390,213
10555,213
10717,213
11262,213
12136,213
12209,213
12616,213
13022,213
13173,213
13237,213
13445,213
13701,213
13890,213
14696,213
14842,213
412,15106
8131,15119
15544,213
15875,213
15960,213
13254,213
16486,213
11886,213
16909,213
16030,213
17932,213
11500,213
18016,213
18026,213
18086,213
412,16582
18598,213
18832,213
18956,213
19077,213
11220,213
17882,213
19184,213
19318,213
20166,213
20196,20197
20338,213
20513,213
20939,213
20963,213
21110,213
21200,213
21379,213
22133,213
22318,213
22531,213
23044,213
23063,213
23181,213
23461,213
23564,213
2280,213
23722,213
24116,213
24493,213
24717,213
24940,213
15223,213
25406,213
25645,213
25701,213
25822,213
25940,213
25941,213
26101,213
26331,213
17922,213
18864,213
26937,213
26858,213
26953,213
19152,213
27341,213
27388,213
27526,213
27542,213
27600,213
28059,213
9592,213
28615,213
20744,213
24859,213
27383,213
23101,213
29087,213
29186,213
29457,213
29500,213
29516,213
22648,213
30084,213
12694,213
9854,213
30642,213
412,22310
31064,213
31128,213
31241,213
11976,3425
31352,213
11614,213
23506,213
16030,31296
31948,213
5999,855
32952,213
33000,213
33036,213
12408,213
33299,213
33346,213
20851,213
33433,213
33671,213
33752,213
33854,213
33859,213
31358,213
34451,213
34616,213
30611,32675
22312,213
9363,213
6474,20197
35116,213
35650,213
35713,213
35814,213
35900,213
18811,213
36485,213
36757,213
36973,213
6106,213
37299,213
37374,213
37433,213
32516,213
37918,213
3426,213
2042,22357
8574,37194
38076,213
32274,213
38588,213
38713,213
38798,213
17291,213
38922,213
24849,213
39238,213
39390,213
28695,213
39610,213
39654,213
39905,213
22510,213
40318,213
40333,213
11744,213
40532,213
40651,213
32714,32713
40940,213
41061,213
41293,213
31217,213
34017,213
37557,213
40332,213
33498,213
42512,213
42624,213
42763,213
42865,213
5999,42874
16576,855
30412,213
43235,213
27979,213
43491,213
43612,213
23397,213
43673,213
43681,213
10939,213
20517,213
44108,213
31621,213
44431,213
5899,213
8291,213
28326,213
44799,213
44842,213
32398,213
44965,213
41841,213
45085,213
43661,9591
45281,213
45385,213
24801,213
16576,213
45791,213
45850,213
46433,213
46517,213
30382,213
46736,213
26953,20197
46818,213
45104,213
16576,2583
47035,213
47249,213
29936,213
22103,33544
39085,213
40279,213
8945,213
47826,213
14895,213
13882,213
48070,213
30503,32675
48156,213
39194,213
48264,213
8636,213
11976,213
26875,213
45398,213
48600,213
48654,213
9665,213
48965,213
49018,213
49244,213
38663,213
20786,213
31866,213
30689,213
49642,213
39222,213
47242,213
20196,213
50238,213
50256,213
50403,213
20175,213
16576,22357
51064,213
51201,213
