agriculturalproductgrowinginst1_1,agriculturalproductgrowinginst1_2
6,1139
866,1139
7763,3620
2158,13815
7905,1139
8882,3076
17,13815
1627,2423
2079,1139
3805,1139
3262,3076
3538,1139
717,1139
3538,3076
5802,3076
459,1139
5802,13815
1724,31884
2424,2423
904,13815
43175,3620
2417,1139
8272,1139
4089,13815
1092,1139
7905,2423
717,11635
2625,1139
344,3076
31215,3620
4299,1139
2625,3076
2158,1139
3262,1139
819,1139
17,3076
42171,3076
2079,3269
844,3076
25159,13815
978,1139
3738,3076
1868,3076
1724,58056
4047,31884
2349,1139
1953,1139
4089,1139
3163,3076
1050,3076
3005,1139
7905,3269
36944,3620
1270,1139
6288,3076
1724,1139
1627,1139
4047,1139
321,3269
3370,1139
3738,60772
3005,31884
1374,1139
2424,1139
6329,31884
7339,31884
2366,1139
21535,13815
13292,13815
1868,1139
904,3076
8272,3269
978,2423
321,1023
9241,3076
6329,3076
4047,810
2158,3076
3726,1139
1568,2423
1016,1139
1966,1139
3738,244
243,2423
