televisionstationincity_1,televisionstationincity_2
1078,1079
3789,2307
3961,80
4648,4649
4707,4708
4953,751
6795,6796
8463,751
8684,7368
11724,1079
12726,3026
12899,555
13096,13097
13346,5459
15543,731
16753,133
17495,11225
18496,18497
18925,9462
19207,9462
19521,6181
19751,10528
22375,133
23222,408
22796,1936
26476,3518
9848,11225
21413,3115
28048,207
22332,3090
28408,555
18363,18362
28734,914
30217,30218
32048,1421
29342,8647
34719,1816
34771,914
35112,751
35224,914
35874,914
37414,555
37721,114
37725,408
20242,5790
28961,6289
11855,10528
28243,17455
32847,3115
40043,4393
40394,408
33594,250
33028,31113
41505,6379
34153,408
42298,11225
79,80
3126,1079
20045,917
7861,7860
27038,751
12066,16490
20490,1421
27343,2307
41927,4499
44957,16337
37093,5708
14619,2307
21385,1421
47835,9422
47890,42
47996,28299
7424,30604
48561,27814
48595,31113
37385,5963
48926,9468
49748,751
22678,6325
50338,751
50444,5790
40455,3518
12913,50793
4526,4499
26209,3930
11209,17790
27882,3115
35774,1916
21654,16705
30460,6698
43609,3115
15737,3930
30908,731
7800,14475
53960,26348
14665,14664
14692,7957
28485,8310
29867,22428
13307,6972
54705,7939
28392,235
24955,20003
54944,6481
55645,1421
42372,24282
39859,1894
37513,1916
30100,17301
39550,555
53222,5459
24107,751
56436,5017
56942,751
14401,914
26962,8698
53388,8698
39207,14475
16792,16432
59404,8647
35988,8091
9297,1421
52239,1131
43152,235
31360,20003
37618,2839
18380,1593
30282,24652
17492,10872
54610,21274
35250,1454
22136,16490
3450,751
62210,914
62534,751
55758,751
24094,6379
63025,80
32625,751
47783,114
26333,9422
25256,3115
43375,17595
9526,3820
19965,5790
37998,3534
22617,1131
1497,3115
14940,8310
1937,1936
44153,6064
16612,12308
34769,34770
1754,207
52448,17595
41198,1131
5985,5984
31668,2760
61647,6796
55382,23939
6898,914
28703,751
27737,16270
44272,556
22682,22141
5020,5019
61009,5459
58132,1936
34063,1916
19870,5459
68630,5790
49926,207
42370,17301
38543,80
34697,9365
53659,3695
35260,7650
25339,3
42356,7957
8788,3518
37675,37674
17574,1131
5789,5790
70786,9785
47208,4561
31966,751
45821,7452
15787,15788
53106,48299
16715,4499
37944,6698
1132,1131
21955,4499
44625,5790
10531,751
7833,7057
70132,1916
33242,16270
42577,2760
70204,555
9757,731
70736,4272
68406,20003
49758,207
32372,556
16938,5984
60254,8310
72618,4649
33456,1916
11330,3488
70960,5017
66441,7057
17710,17709
66804,114
65585,556
4742,4708
73108,7452
23095,9365
58464,2113
44893,133
2691,235
32276,1454
27667,3115
43162,2307
25815,5790
11918,1593
40883,1131
3025,3026
30781,1916
20193,17351
34264,5790
55534,6064
14757,4708
64570,917
25024,18497
71938,235
69640,751
33298,751
25366,751
34363,20995
30920,8310
14092,3
74109,751
72133,1916
1537,555
17760,4665
20004,20003
15540,7312
31354,3115
54210,12308
12389,6972
3454,5790
42716,7057
28125,8647
17737,114
45028,21106
36072,7957
49669,12870
16780,12920
66281,36892
28180,649
55819,3782
57562,9785
62665,21077
55254,2307
24233,556
34353,4649
11529,731
37220,2760
75301,80
49895,13323
18518,235
46434,3930
8808,16705
6427,24282
22961,6379
